ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_159262_888130,159262.28240000,888129.64260000,BC,4190140,59,WALL STREET,,,,,,,,01562,,SPENCER,SPENCER,MA,,59,59,,,,,,,,,WALL,STREET,ST,,,45324,,303,280,280,2015-01-22,-71.99359906590286,42.24256800727203,726200
M_161671_889563,161671.16060000,889563.25960000,BC,4207801,389,MAIN STREET,,,,,,,,01562,,SPENCER,SPENCER,MA,,389,389,,,,,,,,,MAIN,STREET,ST,,,45170,,303,280,280,2015-06-03,-71.9645070534859,42.25559644359899,726100
M_159426_889015,159425.71320000,889014.51220000,BC,1028841,63,GROVE STREET,,,,,,,,01562,,SPENCER,SPENCER,MA,,63,63,,,,,,,,,GROVE,STREET,ST,,,45114,,303,280,280,2013-12-19,-71.99168070108239,42.25054284735848,726200
M_162004_882576,162004.41360000,882576.11100000,BC,1032200,62,BORKUM ROAD,,,,,,,,01562,,SPENCER,SPENCER,MA,,62,62,,,,,,,,,BORKUM,ROAD,RD,,,45032,,303,280,280,2013-12-19,-71.96001177029478,42.19270811822956,726100
M_159458_888794,159457.58640000,888793.62300000,BC,1032231,9,BROWN STREET,,,,,,,,01562,,SPENCER,SPENCER,MA,,9,9,,,,,,,,,BROWN,STREET,ST,,,45280,,303,280,280,2013-12-19,-71.99127905196121,42.24855587098656,726200
M_159052_888670,159051.68580000,888669.86340000,BC,1028247,47,PLEASANT STREET,,,,,,,,01562,,SPENCER,SPENCER,MA,,47,47,,,,,,,,,PLEASANT,STREET,ST,,,45222,,303,280,280,2013-12-19,-71.9961887817892,42.24742053030732,726200
M_159352_888120,159352.08420000,888119.76060000,BC,1032800,18,CHERRY STREET,,,,,3F,,,01562,,SPENCER,SPENCER,MA,,18,18,,,,,,,,,CHERRY,STREET,ST,,,45281,,303,280,280,2013-12-19,-71.99251031411903,42.2424837145481,726200
M_159112_888058,159112.41880000,888058.05220000,BC,1033727,23,ELM STREET,,,,,2,,,01562,,SPENCER,SPENCER,MA,,23,23,,,,,,,,,ELM,STREET,ST,,,45097,,303,280,280,2013-12-19,-71.99540981126756,42.241915667618414,726200
M_161449_884582,161449.29420000,884581.64700000,PC,1029088,21,MARBLE ROAD,,,,,,,,01562,,SPENCER,SPENCER,MA,,21,21,,,,,,,,,MARBLE,ROAD,RD,,,45174,,303,280,280,2013-12-19,-71.9668653559907,42.21073667159864,726100
M_159302_888151,159301.98600000,888151.04140000,BMP,1033858,25,MECHANIC STREET,,,,,2,,,01562,,SPENCER,SPENCER,MA,,25,25,,,,,,,,,MECHANIC,STREET,ST,,,45183,,303,280,280,2013-12-19,-71.99311950640495,42.24276272495741,726200
