ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_178429_909509,178429.46540000,909508.89020000,BC,1505725,1,MAIN STREET,,,,,,,,01564,,STERLING,STERLING,MA,,1,1,,,,,,,,,MAIN,STREET,ST,,,67335,,305,282,282,2014-02-01,-71.76215792349757,42.435804271376995,719100
M_178618_910143,178618.48560000,910142.54340000,BC,1505942,24,MEETINGHOUSE HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,24,24,,,,,,,,,MEETINGHOUSE HILL,ROAD,RD,,,67340,,305,282,282,2014-02-01,-71.75988414106997,42.44151398838151,719100
M_179514_908825,179513.88700000,908825.23980000,BMP,1507021,5,CHAMBERLAIN ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,5,5,,,,,,,,,CHAMBERLAIN,ROAD,RD,,,67513,,305,282,282,2014-02-01,-71.748954209964,42.42967889802695,719100
M_174135_909801,174134.81160000,909801.27100000,BMP,1505440,267,REDEMPTION ROCK TRAIL,,,,,,,,01564,,STERLING,STERLING,MA,,267,267,,,,,,,,,REDEMPTION ROCK,TRAIL,TRL,,,46282,,305,282,282,2014-02-01,-71.81436574741595,42.43830578590655,719100
M_175589_908503,175588.88020000,908502.73940000,BMP,1504853,139,GREENLAND ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,139,139,,,,,,,,,GREENLAND,ROAD,RD,,,67564,,305,282,282,2014-02-01,-71.7966382435963,42.42666254749888,719100
M_180058_907768,180057.73340000,907767.95500000,BMP,1505851,14,SWETT HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,14,14,,,,,,,,,SWETT HILL,ROAD,RD,,,67437,,305,282,282,2014-02-01,-71.74230873981493,42.42017467602515,719100
M_173727_907233,173727.43960000,907232.57380000,BC,1505819,19,BIRCH DRIVE,,,,,,,,01564,,STERLING,STERLING,MA,,19,19,,,,,,,,,BIRCH,DRIVE,DR,,,67497,,305,282,282,2014-02-01,-71.81920007194377,42.415167263381136,719100
M_177979_912164,177979.17380000,912164.04180000,BC,1506610,1,SKY FARM LANE,,,,,,,,01564,,STERLING,STERLING,MA,,1,1,,,,,,,,,SKY FARM,LANE,LN,,,67417,,305,282,282,2014-02-01,-71.76773180464235,42.459694819703,719100
M_176892_906584,176891.51620000,906583.51980000,BC,1504925,22,GRIFFIN ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,22,22,,,,,,,,,GRIFFIN,ROAD,RD,,,67566,,305,282,282,2014-02-01,-71.78073227337543,42.409424253502216,719100
M_181812_911718,181811.61640000,911717.96100000,ABC,1505407,22,SANDY RIDGE ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,22,22,,,,,,,,,SANDY RIDGE,ROAD,RD,,,67411,,305,282,282,2014-02-01,-71.72112268590105,42.455777830737,719100
M_180725_911056,180724.52840000,911056.28140000,BC,1506604,45,CHOCKSETT ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,45,45,,,,,,,,,CHOCKSETT,ROAD,RD,,,67516,,305,282,282,2014-02-01,-71.73431664060631,42.44979489793637,719100
M_177967_905616,177967.35500000,905615.84660000,PC,1503686,8,FAIRBANKS STREET,,,,,,,,01564,,STERLING,STERLING,MA,,8,8,,,,,,,,,FAIRBANKS,STREET,ST,,,67545,,305,282,282,2014-02-01,-71.76762570198302,42.400743770820284,719100
M_179530_911636,179529.70820000,911636.32180000,BMP,1503692,84,LAURELWOOD ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,84,84,,,,,,,,,LAURELWOOD,ROAD,RD,,,67606,,305,282,282,2014-02-01,-71.74886161574393,42.45498627379725,719100
M_178321_909247,178320.74100000,909246.85660000,BC,1504437,221,WORCESTER ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,221,221,,,,,,,,,WORCESTER,ROAD,RD,,,67457,,305,282,282,2014-02-01,-71.76346946236049,42.433442276520054,719100
M_175612_912766,175611.88120000,912766.45340000,BC,1504956,28,JUSTICE HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,28,28,,,,,,,,,JUSTICE HILL,ROAD,RD,,,67591,,305,282,282,2014-02-01,-71.7965388699786,42.4650475449871,719100
M_179886_912464,179886.20540000,912463.58180000,PC,1504810,183,LEOMINSTER ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,183,183,,,,,,,,,LEOMINSTER,ROAD,RD,,,67608,,305,282,282,2014-02-01,-71.74455646407743,42.462442991931276,719100
M_177090_906144,177089.67660000,906143.90080000,BMP,1503771,10,SUNSET DRIVE,,,,,,,,01564,,STERLING,STERLING,MA,,10,10,,,,,,,,,SUNSET,DRIVE,DR,,,67436,,305,282,282,2014-02-01,-71.77830752293927,42.40547237000902,719100
M_178440_906203,178440.06600000,906202.80380000,BC,1504358,13,CENTRAL AVENUE,,,,,,,,01564,,STERLING,STERLING,MA,,13,13,,,,,,,,,CENTRAL,AVENUE,AVE,,,67509,,305,282,282,2014-02-01,-71.76190571357463,42.40604115055222,719100
M_179125_908393,179124.75920000,908393.00620000,BC,1506363,15,MALVERN HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,15,15,,,,,,,,,MALVERN HILL,ROAD,RD,,,67336,,305,282,282,2014-02-01,-71.7536673745087,42.42577734991034,719100
M_179604_909925,179604.38440000,909925.08020000,BC,1506404,32,REDSTONE HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,32,32,,,,,,,,,REDSTONE HILL,ROAD,RD,,,67399,,305,282,282,2014-02-01,-71.74789330503916,42.439582679240544,719100
M_175153_907241,175153.05500000,907240.83220000,BMP,1503296,101,REDEMPTION ROCK TRAIL,,,,,,,,01564,,STERLING,STERLING,MA,,101,101,,,,,,,,,REDEMPTION ROCK,TRAIL,TRL,,,46282,,305,282,282,2014-02-01,-71.80187997475066,42.41528833682231,719100
M_177293_906985,177293.04920000,906985.04860000,BC,1505895,31,BOUTELLE ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,31,31,,,,,,,,,BOUTELLE,ROAD,RD,,,67500,,305,282,282,2014-02-01,-71.775870080432,42.413050862354105,719100
M_173736_911951,173736.49480000,911950.80580000,BMP,1506058,395,REDEMPTION ROCK TRAIL,,,,,,,,01564,,STERLING,STERLING,MA,,395,395,,,,,,,,,REDEMPTION ROCK,TRAIL,TRL,,,46282,,305,282,282,2014-02-01,-71.81930464866996,42.457643723472565,719100
M_179151_911167,179150.67720000,911167.03880000,BMP,1503782,104,MEETINGHOUSE HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,104,104,,,,,,,,,MEETINGHOUSE HILL,ROAD,RD,,,67340,,305,282,282,2014-02-01,-71.75345259538479,42.45075148506147,719100
M_175197_913929,175197.22340000,913928.79460000,BMP,1504548,340,UPPER NORTH ROW ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,340,340,,,,,,UPPER,NORTH,,ROW,ROAD,RD,,,67446,,305,282,282,2014-02-01,-71.80163069432484,42.47549841900458,719100
M_181168_907457,181168.37140000,907457.43520000,BC,1503277,1,BETHANY WAY,,,,,,,,01564,,STERLING,STERLING,MA,,1,1,,,,,,,,,BETHANY,WAY,WAY,,,67495,,305,282,282,2014-02-01,-71.72880386580236,42.41740679534551,719100
M_178417_906154,178416.83440000,906154.33340000,BC,1506778,16,LAUREL AVENUE,,,,,,,,01564,,STERLING,STERLING,MA,,16,16,,,,,,,,,LAUREL,AVENUE,AVE,,,67605,,305,282,282,2014-02-01,-71.76218611467523,42.40560414621118,719100
M_179446_907258,179446.30240000,907257.54120000,BMP,1505002,64,NORTH COVE ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,64,64,,,,,,,NORTH,,COVE,ROAD,RD,,,67353,,305,282,282,2014-02-01,-71.74971974057011,42.41556373617149,719100
M_178101_911230,178101.05340000,911229.78800000,BC,1506041,35,KILBURN ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,35,35,,,,,,,,,KILBURN,ROAD,RD,,,67597,,305,282,282,2016-05-18,-71.76621453637289,42.451287602595286,719100
M_180423_907782,180422.54560000,907781.73860000,BC,1504365,133,KENDALL HILL ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,133,133,,,,,,,,,KENDALL HILL,ROAD,RD,,,67595,,305,282,282,2014-02-01,-71.73787657524522,42.42030800917863,719100
M_178706_908486,178706.38660000,908486.36940000,BC,1503581,6,JAMES ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,6,6,,,,,,,,,JAMES,ROAD,RD,,,67582,,305,282,282,2014-02-01,-71.75875467772296,42.42660654808607,719100
M_176888_911634,176887.77700000,911634.07160000,PC,1506186,97,OSGOOD ROAD,,,,,,,,01564,,STERLING,STERLING,MA,,97,97,,,,,,,,,OSGOOD,ROAD,RD,,,67369,,305,282,282,2014-02-01,-71.78097981631849,42.45489214512812,719100
M_175414_906085,175413.91180000,906084.78880000,BC,1503933,32,REDEMPTION ROCK TRAIL,,,,,,,,01564,,STERLING,STERLING,MA,,32,32,,,,,,,,,REDEMPTION ROCK,TRAIL,TRL,,,46282,,305,282,282,2014-02-01,-71.79866152042518,42.404889181667265,719100
