ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_50630_893687,50629.62140000,893687.00880000,BMP,752612,9,PARK STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_51721_900370,51720.55700000,900369.86740000,BC,752198,19,WHEATLEY DRIVE,,,,,,,,01240,,STOCKBRIDGE,STOCKBRIDGE,MA,,19,19,,,,,,,,,WHEATLEY,DRIVE,DR,,,30935,,306,283,283,2013-12-11,-73.29951216262674,42.33974450633703,924100
M_47841_895294,47840.55420000,895293.64360000,BMP,752231,8A,MOHAWK LAKE ROAD,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,8,8,A,,,,,,,,MOHAWK LAKE,ROAD,RD,,,30869,,306,283,283,2013-12-11,-73.34525265535065,42.293308105716505,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753725,9,PARK STREET,,,,,4,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753726,9,PARK STREET,,,,,5,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_52182_896254,52182.14180000,896253.56280000,BMP,752293,2,DEVON ROAD,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,2,2,,,,,,,,,DEVON,ROAD,RD,,,30774,,306,283,283,2013-12-11,-73.29286217516481,42.302781718969975,924100
M_49930_898738,49929.59120000,898737.74000000,BMP,752476,15,BEACHWOOD DRIVE,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,15,15,,,,,,,,,BEACHWOOD,DRIVE,DR,,,30789,,306,283,283,2013-12-11,-73.32081790687891,42.32471188203436,924100
M_50008_898655,50007.69700000,898654.60680000,BC,752533,3,PARTRIDGE WAY,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,3,3,,,,,,,,,PARTRIDGE,WAY,WAY,,,30888,,306,283,283,2013-12-11,-73.31984901250932,42.32397862210413,924100
M_49951_898918,49951.08800000,898918.43000000,BC,751884,16,GROVE ROAD,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,16,16,,,,,,,,,GROVE,ROAD,RD,,,30824,,306,283,283,2013-12-11,-73.32060395059032,42.3263423672468,924100
M_49859_895100,49858.88780000,895099.74220000,BC,752165,48,CHURCH STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,48,48,,,,,,,,,CHURCH,STREET,ST,,,30803,,306,283,283,2013-12-11,-73.32073342196377,42.29195328980224,924100
M_49386_898835,49385.92080000,898834.90300000,PC,752127,26,LAKE DRIVE,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,26,26,,,,,,,,,LAKE,DRIVE,DR,,,30840,,306,283,283,2013-12-11,-73.32743754792301,42.325481759178366,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753728,9,PARK STREET,,,,,LR,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753722,9,PARK STREET,,,,,1,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753723,9,PARK STREET,,,,,2,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753727,9,PARK STREET,,,,,6,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_49275_893914,49275.47700000,893914.38280000,BMP,751985,6,CHERRY STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,6,6,,,,,,,,,CHERRY,STREET,ST,,,30801,,306,283,283,2013-12-11,-73.3274982407788,42.281171713010934,924100
M_50589_898832,50589.35220000,898832.24980000,BC,752360,4,MAHKEENAC HEIGHTS ROAD,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,4,4,,,,,,,,,MAHKEENAC HEIGHTS,ROAD,RD,,,30856,,306,283,283,2013-12-11,-73.31283975004497,42.325689054990455,924100
M_46193_894687,46192.64520000,894686.59460000,BC,752813,7,DUGWAY ROAD,,,,,,,,01236,,STOCKBRIDGE,STOCKBRIDGE,MA,,7,7,,,,,,,,,DUGWAY,ROAD,RD,,,30808,,306,283,283,2013-12-11,-73.36506973002894,42.287521534666624,924100
M_47978_894414,47977.52700000,894414.03440000,BC,752081,13,GLENDALE ROAD,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,13,13,,,,,,,,,GLENDALE,ROAD,RD,,,30820,,306,283,283,2013-12-11,-73.34336159545533,42.285417569253184,924100
M_50398_893523,50398.24880000,893523.04160000,BMP,752682,1,DEPOT STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,1,1,,,,,,,,,DEPOT,STREET,ST,,,30807,,306,283,283,2013-12-11,-73.31378814072968,42.27786503998401,924100
M_50630_893687,50629.62140000,893687.00880000,BMP,753724,9,PARK STREET,,,,,3,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,9,9,,,,,,,,,PARK,STREET,ST,,,30780,,306,283,283,2013-12-11,-73.31102599985697,42.27938515101406,924100
M_50713_893702,50713.14600000,893701.94220000,BC,752296,2,LAUREL LANE,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,2,2,,,,,,,,,LAUREL,LANE,LN,,,30848,,306,283,283,2013-12-11,-73.3100174599493,42.27953552546294,924100
M_52043_895891,52043.02520000,895891.08920000,BMP,752258,11,EAST STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,11,11,,,,,,,,,EAST,STREET,ST,,,30810,,306,283,283,2013-12-11,-73.29445652578639,42.2994927928439,924100
M_50120_898800,50120.21280000,898799.88200000,BC,752390,6,BEACHWOOD DRIVE,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,6,6,,,,,,,,,BEACHWOOD,DRIVE,DR,,,30789,,306,283,283,2013-12-11,-73.31852185131781,42.325307818509245,924100
M_49580_892694,49579.69740000,892693.82160000,BMP,752509,21,SOUTH STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,21,21,,,,,,,,,SOUTH,STREET,ST,,,30906,,306,283,283,2013-12-11,-73.32349443614027,42.270244200135174,924100
M_50494_899045,50493.96280000,899045.03800000,BC,752332,3,INDIAN ROAD,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,3,3,,,,,,,,,INDIAN,ROAD,RD,,,30835,,306,283,283,2013-12-11,-73.31405168762765,42.32758606515494,924100
M_52267_896906,52267.01120000,896905.50540000,BMP,753498,27,EAST STREET,,,,,CO,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,27,27,,,,,,,,,EAST,STREET,ST,,,30810,,306,283,283,2013-12-11,-73.291999210862,42.30866584422552,924100
M_47362_895573,47361.78940000,895573.28620000,BMP,752506,20,MOHAWK LAKE ROAD,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,20,20,,,,,,,,,MOHAWK LAKE,ROAD,RD,,,30869,,306,283,283,2013-12-11,-73.35113045035419,42.29573172382383,924100
M_48535_895716,48534.87340000,895715.53660000,BC,753096,16,LUKEMAN LANE,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,16,16,,,,,,,,,LUKEMAN,LANE,LN,,,30853,,306,283,283,2013-12-11,-73.33694535583601,42.297240398257145,924100
M_46344_893664,46343.68200000,893664.47800000,BMP,753181,4,PIXLEY HILL ROAD,,,,,,,,01236,,STOCKBRIDGE,STOCKBRIDGE,MA,,4,4,,,,,,,,,PIXLEY HILL,ROAD,RD,,,30892,,306,283,283,2013-12-11,-73.3629681776294,42.2783514018064,924100
M_50590_899047,50589.71240000,899046.93060000,BC,753068,11,MAHKEENAC HEIGHTS ROAD,,,,,,,,01266,,STOCKBRIDGE,STOCKBRIDGE,MA,,11,11,,,,,,,,,MAHKEENAC HEIGHTS,ROAD,RD,,,30856,,306,283,283,2013-12-11,-73.31289073490004,42.327621426020066,924100
M_52075_896423,52075.04320000,896422.87780000,BMP,753000,17,EAST STREET,,,,,,,,01262,,STOCKBRIDGE,STOCKBRIDGE,MA,,17,17,,,,,,,,,EAST,STREET,ST,,,30810,,306,283,283,2013-12-11,-73.29420396726302,42.30428543378213,924100
