ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_233689_911179,233688.64400000,911178.83520000,BMP,2618540,25,WOODLAND ROAD,,,,,8,,,02180,,STONEHAM,STONEHAM,MA,,25,25,,,,,,,,,WOODLAND,ROAD,RD,,,124422,,307,284,284,2014-03-03,-71.09046880261302,42.45040846899857,337102
M_233051_914143,233050.90220000,914142.63240000,BC,2613220,57,PINE STREET,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,57,57,,,,,,,,,PINE,STREET,ST,,,124484,,307,284,284,2014-03-03,-71.09805152254033,42.477117236404645,337300
M_231744_915596,231744.39300000,915595.80140000,BC,2613264,7,ELIZABETH ROAD,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,7,7,,,,,,,,,ELIZABETH,ROAD,RD,,,124222,,307,284,284,2014-03-03,-71.11386040515418,42.490253605547814,337202
M_233525_914403,233525.13580000,914402.97240000,BC,2613345,8,BANCROFT PLACE,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,8,8,,,,,,,,,BANCROFT,PLACE,PL,,,124139,,307,284,284,2014-03-03,-71.09226908429395,42.479440664192225,337102
M_232941_914980,232941.06560000,914979.64820000,BMP,2610765,89,CENTRAL STREET,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,89,89,,,,,,,,,CENTRAL,STREET,ST,,,124175,,307,284,284,2014-03-03,-71.09933946530926,42.48465705600799,337300
M_232774_914167,232773.94480000,914167.13140000,BC,2616824,15,WARREN STREET,,,,,1,,,02180,,STONEHAM,STONEHAM,MA,,15,15,,,,,,,,,WARREN,STREET,ST,,,124392,,307,284,284,2014-03-03,-71.10141829787563,42.477349487145894,337300
M_234578_912170,234577.55820000,912170.01560000,BC,2614783,48,PILGRIM ROAD,,,,,,,,02176,,STONEHAM,STONEHAM,MA,,48,48,,,,,,,,,PILGRIM,ROAD,RD,,,144421,,307,178,284,2014-03-03,-71.07960363077297,42.45929261161629,337102
M_233689_911179,233688.64400000,911178.83520000,BMP,2609318,25,WOODLAND ROAD,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,25,25,,,,,,,,,WOODLAND,ROAD,RD,,,124422,,307,284,284,2014-03-03,-71.09046880261302,42.45040846899857,337102
M_233689_911179,233688.64400000,911178.83520000,BMP,2618532,25,WOODLAND ROAD,,,,,15,,,02180,,STONEHAM,STONEHAM,MA,,25,25,,,,,,,,,WOODLAND,ROAD,RD,,,124422,,307,284,284,2014-03-03,-71.09046880261302,42.45040846899857,337102
M_232848_914886,232847.90060000,914885.85220000,BC,2618578,269,MAIN STREET,,,,,REAR,,,02180,,STONEHAM,STONEHAM,MA,,269,269,,,,,,,,,MAIN,STREET,ST,,,124446,,307,284,284,2014-03-03,-71.10047795352783,42.483816599838754,337300
M_232629_913705,232629.11920000,913704.92180000,BC,2614903,56,MARBLE STREET,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,56,56,,,,,,,,,MARBLE,STREET,ST,,,124345,,307,284,284,2014-03-03,-71.10320572436952,42.473194554353405,337300
M_232774_914167,232773.94480000,914167.13140000,BC,2616825,15,WARREN STREET,,,,,2,,,02180,,STONEHAM,STONEHAM,MA,,15,15,,,,,,,,,WARREN,STREET,ST,,,124392,,307,284,284,2014-03-03,-71.10141829787563,42.477349487145894,337300
M_233125_913093,233125.07060000,913092.87800000,BC,2611505,61,GORHAM AVENUE,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,61,61,,,,,,,,,GORHAM,AVENUE,AVE,,,124271,,307,284,284,2014-03-03,-71.09720982381822,42.46766373681203,337300
M_232400_914278,232399.74900000,914277.85220000,BMP,2609999,13,PARK STREET,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,13,13,,,,,,,,,PARK,STREET,ST,,,124467,,307,284,284,2014-03-03,-71.10596281017801,42.478361895217965,337300
M_232631_913781,232631.41340000,913781.01840000,BC,2619294,3,LINCOLN STREET,,,,,31R,,,02180,,STONEHAM,STONEHAM,MA,,3,3,,,,,,,,,LINCOLN,STREET,ST,,,124333,,307,284,284,2014-03-03,-71.10317352039219,42.473879513267725,337300
M_232684_914700,232683.96800000,914700.47840000,BC,2613856,30-32,MONTVALE AVENUE,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,30,30,,,32,32,,,,,MONTVALE,AVENUE,AVE,,,124448,,307,284,284,2014-03-03,-71.10248230968105,42.48215468299574,337300
M_233689_911179,233688.64400000,911178.83520000,BMP,2618522,25,WOODLAND ROAD,,,,,115A,,,02180,,STONEHAM,STONEHAM,MA,,25,25,,,,,,,,,WOODLAND,ROAD,RD,,,124422,,307,284,284,2014-03-03,-71.09046880261302,42.45040846899857,337102
M_233689_911179,233688.64400000,911178.83520000,BMP,2618516,25,WOODLAND ROAD,,,,,110B,,,02180,,STONEHAM,STONEHAM,MA,,25,25,,,,,,,,,WOODLAND,ROAD,RD,,,124422,,307,284,284,2014-03-03,-71.09046880261302,42.45040846899857,337102
M_233689_911179,233688.64400000,911178.83520000,BMP,2618535,25,WOODLAND ROAD,,,,,19,,,02180,,STONEHAM,STONEHAM,MA,,25,25,,,,,,,,,WOODLAND,ROAD,RD,,,124422,,307,284,284,2014-03-03,-71.09046880261302,42.45040846899857,337102
M_232795_916491,232795.00200000,916491.44000000,BC,2620192,59,MAIN STREET,,,,,2,,,02180,,STONEHAM,STONEHAM,MA,,59,59,,,,,,,,,MAIN,STREET,ST,,,124446,,307,284,284,2014-03-03,-71.10102999553422,42.49827296710614,337202
M_232795_916491,232795.00200000,916491.44000000,BC,2620191,59,MAIN STREET,,,,,1,,,02180,,STONEHAM,STONEHAM,MA,,59,59,,,,,,,,,MAIN,STREET,ST,,,124446,,307,284,284,2014-03-03,-71.10102999553422,42.49827296710614,337202
M_233649_916562,233649.15480000,916561.71040000,BC,2613202,48,BELLEVUE ROAD,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,48,48,,,,,,,,,BELLEVUE,ROAD,RD,,,124428,,307,284,284,2014-03-03,-71.0906347916441,42.498869131854555,337201
M_232751_916563,232751.09320000,916563.20760000,BC,2620505,72,NORTH STREET,,,,,1,,,02180,,STONEHAM,STONEHAM,MA,,72,72,,,,,,,,,NORTH,STREET,ST,,,124380,,307,284,284,2014-03-03,-71.1015600850684,42.498920893952274,337202
M_233336_912847,233335.51060000,912847.20680000,BC,2609814,8,CAMPBELL ROAD,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,8,8,,,,,,,,,CAMPBELL,ROAD,RD,,,124165,,307,284,284,2014-03-03,-71.09466517543085,42.46544311919935,337102
M_232563_916284,232563.12580000,916283.58880000,BMP,2609827,8,MYOPIA ROAD,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,8,8,,,,,,,,,MYOPIA,ROAD,RD,,,124371,,307,284,284,2014-03-03,-71.1038626053015,42.49641154044739,337202
M_232949_916156,232948.88700000,916156.03920000,BC,2615846,7,NIXON LANE,,,,,,,,02180,,STONEHAM,STONEHAM,MA,,7,7,,,,,,,,,NIXON,LANE,LN,,,124376,,307,284,284,2014-03-03,-71.09917709796694,42.495247065780795,337201
