ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_235889_879018,235888.55200000,879017.73360000,BC,4206846,1,KAY WAY,,,,,,,,02072,,STOUGHTON,STOUGHTON,MA,,1,1,,,,,,,,,KAY,WAY,WAY,,,2317,,308,285,285,2015-02-23,-71.06571694233544,42.16077155768018,456200
M_234062_876293,234062.48200000,876292.82640000,BMP,53864,576,PLEASANT STREET,,,,,,,,02072,,STOUGHTON,STOUGHTON,MA,,576,576,,,,,,,,,PLEASANT,STREET,ST,,,2476,,308,285,285,2013-12-05,-71.08797292339287,42.13632068104813,456200
M_231819_876106,231819.57240000,876106.46560000,BC,57865,53,LACIVITA COURT,,,,,4,,,02072,,STOUGHTON,STOUGHTON,MA,,53,53,,,,,,,,,LACIVITA,COURT,CT,,,2335,,308,285,285,2013-12-05,-71.11511342892678,42.134737194046075,456302
M_232515_873953,232515.44820000,873953.43580000,BC,50669,16,KENNETH COURT,,,,,,,,02072,,STOUGHTON,STOUGHTON,MA,,16,16,,,,,,,,,KENNETH,COURT,CT,,,2321,,308,285,285,2013-12-05,-71.10681634556126,42.11532470677367,456402
M_234256_873041,234255.72700000,873040.51420000,BC,44999,59,ANDERSON ROAD,,,,,,,,02072,,STOUGHTON,STOUGHTON,MA,,59,59,,,,,,,,,ANDERSON,ROAD,RD,,,2658,,308,285,285,2013-12-05,-71.08582645288712,42.10703143289753,456101
M_230597_873474,230596.95300000,873473.94920000,BMP,46878,168,EVERETT CIRCLE,,,,,,,,02072,,STOUGHTON,STOUGHTON,MA,,168,168,,,,,,,,,EVERETT,CIRCLE,CIR,,,2832,,308,285,285,2013-12-05,-71.13004004198905,42.11108510696874,456402
M_230468_874343,230468.05540000,874343.44380000,BC,50405,98,SPARROW ROAD,,,,,,,,02072,,STOUGHTON,STOUGHTON,MA,,98,98,,,,,,,,,SPARROW,ROAD,RD,,,2565,,308,285,285,2013-12-05,-71.13155316114424,42.11891828464243,456402
M_234011_874411,234011.27240000,874410.90940000,BC,56825,36,BELMONT AVENUE,,,,,3,,,02072,,STOUGHTON,STOUGHTON,MA,,36,36,,,,,,,,,BELMONT,AVENUE,AVE,,,2685,,308,285,285,2013-12-05,-71.08870212369894,42.1193798741252,456101
M_232733_875826,232732.50480000,875825.76860000,BC,56827,36,BENNETT DRIVE,,,,,1,,,02072,,STOUGHTON,STOUGHTON,MA,,36,36,,,,,,,,,BENNETT,DRIVE,DR,,,2687,,308,285,285,2013-12-05,-71.104086599999,42.132172438728894,456301
M_232733_875826,232732.50480000,875825.76860000,BC,56829,36,BENNETT DRIVE,,,,,3,,,02072,,STOUGHTON,STOUGHTON,MA,,36,36,,,,,,,,,BENNETT,DRIVE,DR,,,2687,,308,285,285,2013-12-05,-71.104086599999,42.132172438728894,456301
M_232733_875826,232732.50480000,875825.76860000,BC,56830,36,BENNETT DRIVE,,,,,4,,,02072,,STOUGHTON,STOUGHTON,MA,,36,36,,,,,,,,,BENNETT,DRIVE,DR,,,2687,,308,285,285,2013-12-05,-71.104086599999,42.132172438728894,456301
M_234014_873832,234014.06300000,873831.68120000,BMP,56948,380,SUMNER STREET,,,,,117A,,,02072,,STOUGHTON,STOUGHTON,MA,,380,380,,,,,,,,,SUMNER,STREET,ST,,,2588,,308,285,285,2013-12-05,-71.08870215348523,42.11416491160258,456101
M_235159_878311,235158.77280000,878311.21740000,BC,58107,6,CABOT PLACE,,,,,3,,,02072,,STOUGHTON,STOUGHTON,MA,,6,6,,,,,,,,,CABOT,PLACE,PL,,,2723,,308,285,285,2013-12-05,-71.0745904044992,42.15444388938434,456200
M_235159_878311,235158.77280000,878311.21740000,BC,58108,6,CABOT PLACE,,,,,4,,,02072,,STOUGHTON,STOUGHTON,MA,,6,6,,,,,,,,,CABOT,PLACE,PL,,,2723,,308,285,285,2013-12-05,-71.0745904044992,42.15444388938434,456200
M_234014_873832,234014.06300000,873831.68120000,BMP,56955,380,SUMNER STREET,,,,,214A,,,02072,,STOUGHTON,STOUGHTON,MA,,380,380,,,,,,,,,SUMNER,STREET,ST,,,2588,,308,285,285,2013-12-05,-71.08870215348523,42.11416491160258,456101
M_233272_874973,233271.81920000,874972.75660000,BC,55187,154,WALNUT STREET,,,,,1,,,02072,,STOUGHTON,STOUGHTON,MA,,154,154,,,,,,,,,WALNUT,STREET,ST,,,2622,,308,285,285,2013-12-05,-71.09761213481812,42.12446998455961,456102
M_233272_874973,233271.81920000,874972.75660000,BC,55191,154,WALNUT STREET,,,,,REAR,,,02072,,STOUGHTON,STOUGHTON,MA,,154,154,,,,,,,,,WALNUT,STREET,ST,,,2622,,308,285,285,2013-12-05,-71.09761213481812,42.12446998455961,456102
