ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_197336_908426,197336.00020000,908426.15260000,BC,1507947,112,HUDSON ROAD,,,,,,,,01775,,STOW,STOW,MA,,112,112,,,,,,,,,HUDSON,ROAD,RD,,,67698,,309,286,286,2014-02-02,-71.53237208099272,42.42635065637588,323100
M_200910_909136,200910.30840000,909136.19760000,BC,1510002,12,LANES END,,,,,,,,01775,,STOW,STOW,MA,,12,12,,,,,,,,,LANES END,,,,,67708,,309,286,286,2014-02-02,-71.48893710136875,42.432746952655066,323100
M_201161_909493,201160.97200000,909492.59080000,BMP,1509603,45,SAMUEL PRESCOTT DRIVE,,,,,,,,01775,,STOW,STOW,MA,,45,45,,,,,,,,,SAMUEL PRESCOTT,DRIVE,DR,,,67757,,309,286,286,2014-02-02,-71.48589009205654,42.435955094083376,323100
M_199896_909464,199896.28480000,909464.36500000,BC,1507751,320,GREAT ROAD,,,,,,,,01775,,STOW,STOW,MA,,320,320,,,,,,,,,GREAT,ROAD,RD,,,67682,,309,286,286,2014-02-02,-71.50126050072875,42.43570184545678,323100
M_199173_910272,199172.99540000,910271.58800000,BC,1507912,14,CARRIAGE LANE,,,,,,,,01775,,STOW,STOW,MA,,14,14,,,,,,,,,CARRIAGE,LANE,LN,,,67637,,309,286,286,2014-02-02,-71.5100521409522,42.44296853093688,323100
M_196428_906694,196427.52840000,906694.10360000,BMP,1508031,22,BILLADELL ROAD,,,,,,,,01775,,STOW,STOW,MA,,22,22,,,,,,,,,BILLADELL,ROAD,RD,,,67623,,309,286,286,2014-02-02,-71.54340083120897,42.41075397689101,323100
M_199443_908049,199443.03100000,908049.38560000,BC,1508091,6,MIDDLEMOST WAY,,,,,,,,01775,,STOW,STOW,MA,,6,6,,,,,,,,,MIDDLEMOST,WAY,WAY,,,67722,,309,286,286,2014-02-02,-71.50676774775498,42.42296310836309,323100
M_198811_907662,198810.56180000,907662.02200000,BC,1509609,56,WHITMAN STREET,,,,,,,,01775,,STOW,STOW,MA,,56,56,,,,,,,,,WHITMAN,STREET,ST,,,67786,,309,286,286,2014-02-02,-71.51445210318923,42.419475099581916,323100
M_197777_911894,197776.93700000,911894.04780000,BC,1508058,27,ADAMS DRIVE,,,,,,,,01775,,STOW,STOW,MA,,27,27,,,,,,,,,ADAMS,DRIVE,DR,,,67614,,309,286,286,2014-02-02,-71.52702731011142,42.45757213875827,323100
M_196239_908214,196239.43000000,908213.93580000,BC,1509167,88,KETTELL PLAIN ROAD,,,,,,,,01775,,STOW,STOW,MA,,88,88,,,,,,,,,KETTELL PLAIN,ROAD,RD,,,67702,,309,286,286,2014-02-02,-71.545695870693,42.424435626305275,323100
M_197787_905387,197786.67120000,905387.44200000,BC,1507583,15,HIGH STREET,,,,,,,,01775,,STOW,STOW,MA,,15,15,,,,,,,,,HIGH,STREET,ST,,,67692,,309,286,286,2014-02-02,-71.52688403192829,42.39899555049989,323100
M_196538_906825,196537.95580000,906824.93440000,BC,1507633,355,HUDSON ROAD,,,,,,,,01775,,STOW,STOW,MA,,355,355,,,,,,,,,HUDSON,ROAD,RD,,,67698,,309,286,286,2014-02-02,-71.54206006751592,42.41193230202652,323100
M_198447_907850,198447.27460000,907849.86480000,BC,1509749,232,GLEASONDALE ROAD,,,,,,,,01775,,STOW,STOW,MA,,232,232,,,,,,,,,GLEASONDALE,ROAD,RD,,,67680,,309,286,286,2014-02-02,-71.51886667842479,42.421165544912235,323100
M_200657_905312,200657.33840000,905312.11160000,BMP,1508819,7,HALE ROAD,,,,,,,,01775,,STOW,STOW,MA,,7,7,,,,,,,,,HALE,ROAD,RD,,,67684,,309,286,286,2014-02-02,-71.49201577393418,42.39832023651261,323100
M_199989_905173,199988.80340000,905173.05640000,BC,1508856,159,NORTH SHORE DRIVE,,,,,,,,01775,,STOW,STOW,MA,,159,159,,,,,,,NORTH,,SHORE,DRIVE,DR,,,67727,,309,286,286,2014-02-02,-71.5001359945131,42.39706864049732,323100
M_199372_907440,199372.07860000,907439.92800000,BC,1509582,56,APPLE BLOSSOM WAY,,,,,,,,01775,,STOW,STOW,MA,,56,56,,,,,,,,,APPLE BLOSSOM,WAY,WAY,,,67616,,309,286,286,2014-02-02,-71.50762923020217,42.41747631712243,323100
M_200623_909617,200623.06760000,909617.21800000,BC,1509692,40,DEER FIELD LANE,,,,,,,,01775,,STOW,STOW,MA,,40,40,,,,,,,,,DEER FIELD,LANE,LN,,,67655,,309,286,286,2014-02-02,-71.49242739475731,42.43707768096113,323100
M_200811_905529,200811.09700000,905529.18700000,BC,1509979,10,CARDINAL COURT,,,,,,,,01775,,STOW,STOW,MA,,10,10,,,,,,,,,CARDINAL,COURT,CT,,,67799,,309,286,286,2014-02-02,-71.49014787209977,42.400274356765664,323100
M_199372_907440,199372.07860000,907439.92800000,BC,1510687,56,APPLE BLOSSOM WAY,,,,,4,,,01775,,STOW,STOW,MA,,56,56,,,,,,,,,APPLE BLOSSOM,WAY,WAY,,,67616,,309,286,286,2014-02-02,-71.50762923020217,42.41747631712243,323100
M_195883_908513,195882.74480000,908512.52000000,BC,1508768,26,KETTELL PLAIN ROAD,,,,,,,,01775,,STOW,STOW,MA,,26,26,,,,,,,,,KETTELL PLAIN,ROAD,RD,,,67702,,309,286,286,2014-02-02,-71.55003219215924,42.427121871290204,323100
M_200970_905162,200969.65980000,905162.47420000,PC,1508884,50,HALLOCKS POINT ROAD,,,,,,,,01775,,STOW,STOW,MA,,50,50,,,,,,,,,HALLOCKS POINT,ROAD,RD,,,67685,,309,286,286,2014-02-02,-71.48822247710443,42.39697276945931,323100
M_199465_906216,199465.22000000,906215.66820000,BC,1509987,104,PINE POINT ROAD,,,,,,,,01775,,STOW,STOW,MA,,104,104,,,,,,,,,PINE POINT,ROAD,RD,,,67739,,309,286,286,2014-02-02,-71.50649643148411,42.40645477441613,323100
M_196912_909844,196911.67200000,909844.14420000,BMP,1508565,26,HILEY BROOK ROAD,,,,,,,,01775,,STOW,STOW,MA,,26,26,,,,,,,,,HILEY BROOK,ROAD,RD,,,67693,,309,286,286,2014-02-02,-71.53753596492088,42.43911474202805,323100
M_200635_910725,200635.23420000,910725.17160000,BC,1508389,25,WETHERBEE LANE,,,,,,,,01775,,STOW,STOW,MA,,25,25,,,,,,,,,WETHERBEE,LANE,LN,,,67780,,309,286,286,2014-02-02,-71.49227830596082,42.44705214321755,323100
M_197244_908468,197243.52020000,908467.73660000,BC,1508658,118,HUDSON ROAD,,,,,,,,01775,,STOW,STOW,MA,,118,118,,,,,,,,,HUDSON,ROAD,RD,,,67698,,309,286,286,2014-02-02,-71.53349606695924,42.4267247007712,323100
M_199844_906606,199844.39020000,906605.69880000,BC,1508772,268,SUDBURY ROAD,,,,,,,,01775,,STOW,STOW,MA,,268,268,,,,,,,,,SUDBURY,ROAD,RD,,,67766,,309,286,286,2014-02-02,-71.50189043076215,42.40996626382654,323100
M_201364_909470,201363.83740000,909469.77640000,BMP,1509936,49,RED ACRE ROAD,,,,,,,,01775,,STOW,STOW,MA,,49,49,,,,,,,,,RED ACRE,ROAD,RD,,,67746,,309,286,286,2014-02-02,-71.48342461528686,42.435749376157055,323100
M_199394_909435,199393.86840000,909434.90340000,BMP,1510251,18,CENTER PLACE,,,,,,,,01775,,STOW,STOW,MA,,18,18,,,,,,,,,CENTER,PLACE,PL,,,67639,,309,286,286,2014-02-02,-71.50736657803675,42.43543638505195,323100
M_200082_905213,200082.29480000,905212.93200000,BC,1509303,147,NORTH SHORE DRIVE,,,,,,,,01775,,STOW,STOW,MA,,147,147,,,,,,,NORTH,,SHORE,DRIVE,DR,,,67727,,309,286,286,2014-02-02,-71.49900043720348,42.39742762452707,323100
M_199104_910880,199104.09700000,910879.55620000,BC,1509590,166,PACKARD ROAD,,,,,,,,01775,,STOW,STOW,MA,,166,166,,,,,,,,,PACKARD,ROAD,RD,,,67810,,309,286,286,2014-02-02,-71.51089053618954,42.44844174926776,323100
M_199091_910500,199090.74420000,910500.22880000,BC,1509667,119,PACKARD ROAD,,,,,,,,01775,,STOW,STOW,MA,,119,119,,,,,,,,,PACKARD,ROAD,RD,,,67810,,309,286,286,2014-02-02,-71.5110522544385,42.445026801858695,323100
M_198217_906199,198217.05980000,906199.24280000,BC,1507818,42,FOREST ROAD,,,,,,,,01775,,STOW,STOW,MA,,42,42,,,,,,,,,FOREST,ROAD,RD,,,67674,,309,286,286,2014-02-02,-71.52165885322461,42.406305047123034,323100
M_201346_909359,201346.13840000,909358.53040000,BC,1508071,29,RED ACRE ROAD,,,,,,,,01775,,STOW,STOW,MA,,29,29,,,,,,,,,RED ACRE,ROAD,RD,,,67746,,309,286,286,2014-02-02,-71.4836399792303,42.43474790110064,323100
