ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_111483_913397,111482.98020000,913397.34160000,BC,2994584,34,AMHERST ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,34,34,,,,,,,,,AMHERST,ROAD,RD,,,141936,,312,289,289,2014-03-06,-72.57633600246811,42.46608089301968,040800
M_112120_909556,112119.50800000,909556.49880000,BMP,2994962,254,PLUMTREE ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,254,254,,,,,,,,,PLUMTREE,ROAD,RD,,,142006,,312,289,289,2014-03-06,-72.56801210654088,42.43157811024896,040800
M_114851_917699,114850.84100000,917698.98840000,BMP,2994406,8,HEMLOCK DRIVE,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,8,8,,,,,,,,,HEMLOCK,DRIVE,DR,,,141966,,312,289,289,2014-03-06,-72.53602339261508,42.50517895314538,040800
M_115034_917714,115034.18100000,917714.21800000,BC,2994403,15,BAYBERRY DRIVE,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,15,15,,,,,,,,,BAYBERRY,DRIVE,DR,,,141938,,312,289,289,2014-03-06,-72.53379513004575,42.505336072345905,040800
M_112891_911841,112891.00560000,911841.16860000,BMP,2994429,34,CLARK MOUNTAIN ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,34,34,,,,,,,,,CLARK MOUNTAIN,ROAD,RD,,,141946,,312,289,289,2014-03-06,-72.55898176194498,42.452231095542935,040800
M_114738_917905,114738.29740000,917904.84380000,BC,2994602,470,MONTAGUE ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,470,470,,,,,,,,,MONTAGUE,ROAD,RD,,,141982,,312,289,289,2014-03-06,-72.53742305550728,42.50701970693848,040800
M_114172_909384,114172.04880000,909384.03860000,BC,2994378,667,AMHERST ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,667,667,,,,,,,,,AMHERST,ROAD,RD,,,141936,,312,289,289,2014-03-06,-72.54304445467864,42.43025429386144,040800
M_113709_909505,113709.36580000,909504.72220000,BMP,2994898,45,PLUMTREE ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,45,45,,,,,,,,,PLUMTREE,ROAD,RD,,,142006,,312,289,289,2014-03-06,-72.54868478493576,42.43128960966551,040800
M_111689_914330,111689.47020000,914330.15280000,BC,2994952,230,NORTH MAIN STREET,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,230,230,,,,,,,NORTH,,MAIN,STREET,ST,,,141989,,312,289,289,2014-03-06,-72.57396823059567,42.47450133085926,040800
M_110948_912931,110947.86840000,912931.13520000,BMP,2995123,0,SOUTH MAIN STREET,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,0,0,,,,,,,SOUTH,,MAIN,STREET,ST,,,142024,,312,289,289,2014-03-06,-72.58277011912826,42.46182320905242,040800
M_111918_912527,111917.83020000,912527.48580000,BMP,2994205,153,AMHERST ROAD,,,,,,,,01375,,SUNDERLAND,SUNDERLAND,MA,,153,153,,,,,,,,,AMHERST,ROAD,RD,,,141936,,312,289,289,2014-03-06,-72.57091614355292,42.45829985614968,040800
