ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_179671_871537,179671.07760000,871537.12860000,BC,1513851,8A,WHITINS ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,8,8,A,,,,,,,,WHITINS,ROAD,RD,,,68145,,313,290,290,2014-02-02,-71.7457384970456,42.09398126544253,751101
M_179671_871537,179671.07760000,871537.12860000,BC,1516491,8,WHITINS ROAD,,,,,B,,,01590,,SUTTON,SUTTON,MA,,8,8,,,,,,,,,WHITINS,ROAD,RD,,,68145,,313,290,290,2014-02-02,-71.7457384970456,42.09398126544253,751101
M_181408_879988,181407.79340000,879988.32860000,BC,1516181,2,OLD BOSTON ROAD,,,,,A,,,01590,,SUTTON,SUTTON,MA,,2,2,,,,,,,,,OLD BOSTON,ROAD,RD,,,68016,,313,290,290,2014-02-02,-71.72501446561579,42.170111708160185,751101
M_179671_871537,179671.07760000,871537.12860000,BC,1513835,8,WHITINS ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,8,8,,,,,,,,,WHITINS,ROAD,RD,,,68145,,313,290,290,2014-02-02,-71.7457384970456,42.09398126544253,751101
M_174043_876011,174042.94820000,876010.92520000,BC,1513518,197,EIGHT LOTS ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,197,197,,,,,,,,,EIGHT LOTS,ROAD,RD,,,67903,,313,290,290,2014-02-02,-71.81397052935182,42.134093261157474,751102
M_180742_878647,180741.59320000,878647.05800000,BMP,1515123,190,WORCESTER PROVIDENCE TURNPIKE,,,,,,,,01590,,SUTTON,SUTTON,MA,,190,190,,,,,,,,,WORCESTER PROVIDENCE,TURNPIKE,TPKE,,,68156,,313,290,290,2014-02-02,-71.73303284704936,42.15802002146373,751102
M_181121_880392,181121.21320000,880391.64960000,PC,1513767,51,PROVIDENCE ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,51,51,,,,,,,,,PROVIDENCE,ROAD,RD,,,68048,,313,290,290,2014-02-02,-71.72849589736633,42.173735980541394,751101
M_176482_877258,176481.92340000,877257.82280000,BC,1513136,51,HUTCHINSON ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,51,51,,,,,,,,,HUTCHINSON,ROAD,RD,,,67949,,313,290,290,2014-02-02,-71.78451978543941,42.14539624685936,751102
M_180832_880956,180832.19000000,880956.16100000,BMP,1513327,105,PROVIDENCE ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,105,105,,,,,,,,,PROVIDENCE,ROAD,RD,,,68048,,313,290,290,2014-02-02,-71.73201260382068,42.17881129362787,751101
M_183930_879481,183930.20440000,879481.36360000,PC,1513343,181R,HARTNESS ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,181,181,R,,,,,,,,HARTNESS,ROAD,RD,,,67930,,313,290,290,2014-02-02,-71.69447280154908,42.16560329888205,751101
M_181317_879947,181316.65520000,879947.09520000,BC,1511746,4,HOUGHTON ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,4,4,,,,,,,,,HOUGHTON,ROAD,RD,,,67946,,313,290,290,2014-02-02,-71.72611614881784,42.16973831051613,751101
M_177201_879815,177201.41720000,879814.87260000,BC,1515233,19,HEMLOCK DRIVE,,,,,,,,01527,,SUTTON,SUTTON,MA,,19,19,,,,,,,,,HEMLOCK,DRIVE,DR,,,67934,,313,186,290,2014-02-02,-71.77591553751584,42.16843886671245,751102
M_183219_880153,183218.68740000,880152.57240000,BMP,1512887,22,LELAND HILL ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,22,22,,,,,,,,,LELAND HILL,ROAD,RD,,,67976,,313,290,290,2014-02-02,-71.70310271890527,42.171631324801545,751101
M_183144_879730,183143.77340000,879730.18580000,BC,1515700,92,DODGE ROAD,,,,,,,,01590,,SUTTON,SUTTON,MA,,92,92,,,,,,,,,DODGE,ROAD,RD,,,67889,,313,290,290,2014-02-02,-71.70399716658297,42.167826930673534,751101
