ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_249910_914553,249909.72340000,914553.07520000,BC,3760629,16,SUMNER STREET,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,16,16,,,,,,,,,SUMNER,STREET,ST,,,170764,,314,291,291,2014-03-17,-70.89299323491016,42.479914555359386,202200
M_247962_914356,247962.10400000,914356.20960000,BC,3763184,104,STETSON AVENUE,,,,,1,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,104,104,,,,,,,,,STETSON,AVENUE,AVE,,,170758,,314,291,291,2014-03-17,-70.91669598565632,42.47826465073611,202102
M_247824_914302,247823.74840000,914302.31720000,BMP,3764508,197,ESSEX STREET,,,,,B,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,197,197,,,,,,,,,ESSEX,STREET,ST,,,170578,,314,291,291,2014-03-17,-70.9183830513856,42.47778799973345,202102
M_248981_913464,248981.12960000,913464.34540000,BMP,3763112,9,ARBUTUS ROAD,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,9,9,,,,,,,,,ARBUTUS,ROAD,RD,,,170473,,314,291,291,2014-03-17,-70.90437897152702,42.47017240618489,202200
M_247261_914352,247260.69820000,914352.41420000,BC,3759059,91,ROY STREET,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,91,91,,,,,,,,,ROY,STREET,ST,,,170735,,314,291,291,2014-03-17,-70.92522637164123,42.4782733489782,202102
M_247640_913658,247639.65760000,913658.46500000,BC,3758565,14,NORFOLK AVENUE,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,14,14,,,,,,,,,NORFOLK,AVENUE,AVE,,,170681,,314,291,291,2014-03-17,-70.9206750173374,42.47200311146844,202102
M_249831_914573,249831.35480000,914573.22620000,BC,3763042,63,LINDEN AVENUE,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,63,63,,,,,,,,,LINDEN,AVENUE,AVE,,,170639,,314,291,291,2014-03-17,-70.89394458778268,42.48010097738107,202200
M_248831_913082,248830.74100000,913082.13820000,BMP,3762303,70,PURITAN ROAD,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,70,70,,,,,,,,,PURITAN,ROAD,RD,,,170723,,314,291,291,2014-03-17,-70.90624002299816,42.466741090372246,202200
M_248440_914608,248440.15080000,914608.38140000,BC,3763106,87,EASTMAN AVENUE,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,87,87,,,,,,,,,EASTMAN,AVENUE,AVE,,,170567,,314,291,291,2014-03-17,-70.910861092635,42.480505201804114,202102
M_248257_914748,248257.26100000,914747.80860000,BC,3762815,28,EASTMAN AVENUE,,,,,,,,01907,,SWAMPSCOTT,SWAMPSCOTT,MA,,28,28,,,,,,,,,EASTMAN,AVENUE,AVE,,,170567,,314,291,291,2014-03-17,-70.91307369671073,42.48177171864719,202102
