ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_155269_921250,155269.02890000,921250.29130000,BMP,1025329,26,CLUB ROAD,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,26,26,,,,,,,,,CLUB,ROAD,RD,,,44814,,317,294,294,2017-05-31,-72.04454409701641,42.54051923878294,705100
M_155120_921699,155120.48140000,921699.24570000,BC,1026652,90,RAINBOW DRIVE,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,90,90,,,,,,,,,RAINBOW,DRIVE,DR,,,44974,,317,294,294,2017-05-31,-72.0463874392833,42.5445522577346,705100
M_155299_921300,155299.06700000,921300.42490000,BC,1025909,23,CLUB ROAD,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,23,23,,,,,,,,,CLUB,ROAD,RD,,,44814,,317,294,294,2017-05-31,-72.04418232403698,42.54097227679388,705100
M_154051_918876,154051.42260000,918876.39320000,BC,1025906,22,WHITE CIRCLE,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,22,22,,,,,,,,,WHITE,CIRCLE,CIR,,,44733,,317,294,294,2013-12-19,-72.05917707154227,42.519077983723825,705100
M_152332_928940,152332.01060000,928939.82200000,BC,1025893,21,COLUMBUS AVENUE,,,,,,,,01436,,TEMPLETON,TEMPLETON,MA,,21,21,,,,,,,,,COLUMBUS,AVENUE,AVE,,,44815,,317,294,294,2013-12-19,-72.08093513549964,42.60956665132521,705100
M_155987_921879,155986.69780000,921879.11280000,BMP,1024608,21,PAIL FACTORY ROAD,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,21,21,,,,,,,,,PAIL FACTORY,ROAD,RD,,,44947,,317,294,294,2013-12-19,-72.03585569114018,42.54622092443447,705100
M_156931_921766,156931.13600000,921765.72620000,BC,1024655,149,PAIL FACTORY ROAD,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,149,149,,,,,,,,,PAIL FACTORY,ROAD,RD,,,44947,,317,294,294,2013-12-19,-72.02434909714194,42.54525303642911,705100
M_152901_929674,152901.27300000,929673.79560000,BMP,1023963,65,WINCHESTER STREET,,,,,,,,01436,,TEMPLETON,TEMPLETON,MA,,65,65,,,,,,,,,WINCHESTER,STREET,ST,,,44743,,317,294,294,2013-12-19,-72.07405788220625,42.61620856252954,705100
M_150832_924124,150831.82840000,924123.61780000,BMP,1024473,32,DRURY LANE,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,32,32,,,,,,,,,DRURY,LANE,LN,,,44831,,317,294,294,2013-12-19,-72.09880537704719,42.56611760698465,705100
M_155031_922186,155031.00800000,922185.94540000,BMP,1023735,19,FIRST STREET,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,19,19,,,,,,,,,FIRST,STREET,ST,,,44845,,317,294,294,2013-12-19,-72.04751474100732,42.54892844807971,705100
M_149789_923418,149789.26520000,923418.12600000,BC,1026601,54,PHILLIPSTON ROAD,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,54,54,,,,,,,,,PHILLIPSTON,ROAD,RD,,,44957,,317,294,294,2013-12-19,-72.1114404412728,42.55970012175066,705100
M_154471_925289,154471.34460000,925289.42200000,BC,1025566,326,OTTER RIVER ROAD,,,,,,,,01468,,TEMPLETON,TEMPLETON,MA,,326,326,,,,,,,,,OTTER RIVER,ROAD,RD,,,44946,,317,294,294,2013-12-19,-72.05457433920442,42.576833798568494,705100
