ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_226158_927451,226157.67840000,927451.24140000,BMPC,4185286,1057,SOUTH STREET,BEHIND,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,1057,1057,,,,,,,,,SOUTH,STREET,ST,,,96600,,318,295,295,2016-12-14,-71.1812777823585,42.59718750915667,315402
M_222057_929301,222056.91780000,929301.07610000,BC,2040440,96,QUAIL RUN,,PATTEN GREEN CONDOMINIUMS,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,96,96,,,,,,,,,QUAIL,RUN,RUN,,,96077,16478,318,295,295,2016-12-15,-71.2311727253508,42.613967148000846,315200
M_221114_928389,221113.59060000,928388.56520000,BC,2047263,305,PLEASANT STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,305,305,,,,,,,,,PLEASANT,STREET,ST,,,96058,,318,295,295,2014-02-13,-71.24270336992701,42.60577877711998,315200
M_222124_929584,222124.08200000,929583.90980000,BMP,2047455,133,NORTH STREET,,,NORTH STREET SCHOOL,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,133,133,,,,,,,,,NORTH,STREET,ST,,,96010,,318,295,295,2016-12-12,-71.23034324310666,42.616511346522024,315200
M_225248_930539,225247.80320000,930539.30300000,BC,2037917,10,KIMBERLY DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,10,10,,,,,,,,,KIMBERLY,DRIVE,DR,,,96510,,318,295,295,2014-02-13,-71.19222842957662,42.6250167215357,315402
M_225664_928812,225664.13540000,928811.91260000,BC,2038848,69,BRECKENRIDGE ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,69,69,,,,,,,,,BRECKENRIDGE,ROAD,RD,,,96230,,318,295,295,2014-02-13,-71.18723058393208,42.60945292216536,315402
M_224583_924876,224582.77100000,924875.76260000,BC,2038897,85,WOLCOTT STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,85,85,,,,,,,,,WOLCOTT,STREET,ST,,,96704,,318,295,295,2014-02-13,-71.20057747904303,42.574053908277115,315500
M_223759_927905,223759.38260000,927905.36270000,BC,2042598,20,SAUNDERS CIRCLE,,ROBERT FLUCKER HEIGHTS,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,20,20,,,,,,,,,SAUNDERS,CIRCLE,CIR,,,96134,17753,318,295,295,2016-12-12,-71.21048116560651,42.60135256255072,315401
M_223759_927905,223759.38260000,927905.36270000,BC,2040142,23,SAUNDERS CIRCLE,,ROBERT FLUCKER HEIGHTS,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,23,23,,,,,,,,,SAUNDERS,CIRCLE,CIR,,,96134,17753,318,295,295,2016-12-12,-71.21048116560651,42.60135256255072,315401
M_221938_927460,221938.46240000,927459.57260000,BC,2043381,9,BOISVERT ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,9,9,,,,,,,,,BOISVERT,ROAD,RD,,,96220,,318,295,295,2014-02-13,-71.23268677539679,42.59739298871284,315500
M_218296_928193,218296.21240000,928193.31760000,BMP,2040375,81,HEIDENRICH DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,81,81,,,,,,,,,HEIDENRICH,DRIVE,DR,,,96445,,318,295,295,2014-02-13,-71.27704284766334,42.60409252589971,315100
M_224749_925943,224748.59900000,925943.00090000,BC,2045476,15,DECAROLIS DRIVE,,TEWKSBURY TOWNHOUSES,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,15,15,,,,,,,,,DECAROLIS,DRIVE,DR,,,96324,16115,318,295,295,2016-12-12,-71.19851173452746,42.58365616434879,315500
M_222060_927219,222059.57540000,927219.44140000,BC,2045022,28,EUCLID ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,28,28,,,,,,,,,EUCLID,ROAD,RD,,,96378,,318,295,295,2014-02-13,-71.23122028150824,42.59522785673579,315500
M_224508_930597,224508.37320000,930597.15720000,BC,2045094,385,PINNACLE STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,385,385,,,,,,,,,PINNACLE,STREET,ST,,,96056,,318,295,295,2014-02-13,-71.20123956111826,42.625561197239726,315402
M_219990_929642,219989.67200000,929641.87260000,BC,2039220,35,SENECA ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,35,35,,,,,,,,,SENECA,ROAD,RD,,,96141,,318,295,295,2014-02-13,-71.25635607989742,42.61709095008076,315100
M_225242_928250,225242.00600000,928249.64640000,BMP,2047025,171,LOWE STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,171,171,,,,,,,,,LOWE,STREET,ST,,,95919,,318,295,295,2014-02-13,-71.19239975108978,42.60440514102279,315401
M_226076_927623,226076.02680000,927622.83620000,BMP,2040780,1087,SOUTH STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,1087,1087,,,,,,,,,SOUTH,STREET,ST,,,96600,,318,295,295,2014-02-13,-71.18226488103828,42.598734975929325,315402
M_222544_926020,222543.96840000,926020.38120000,BC,2039562,15,CLAIRE STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,15,15,,,,,,,,,CLAIRE,STREET,ST,,,96280,,318,295,295,2014-02-13,-71.22536538884684,42.58441978414872,315500
M_225295_926017,225295.09180000,926016.71040000,BMP,2047520,6,BROOK STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,6,6,,,,,,,,,BROOK,STREET,ST,,,96238,,318,295,295,2014-02-13,-71.19185115421307,42.584302131241465,315403
M_224749_925943,224748.59900000,925943.00090000,BC,2045545,16,DECAROLIS DRIVE,,TEWKSBURY TOWNHOUSES,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,16,16,,,,,,,,,DECAROLIS,DRIVE,DR,,,96324,16115,318,295,295,2016-12-12,-71.19851173452746,42.58365616434879,315500
M_225024_925352,225024.48780000,925352.19400000,BC,2043623,344,SOUTH STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,344,344,,,,,,,,,SOUTH,STREET,ST,,,96600,,318,295,295,2014-02-13,-71.19517659706273,42.57832876703869,315500
M_218748_929756,218747.67140000,929756.17420000,PC,2049370,34,FRENCH STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,34,34,,,,,,,,,FRENCH,STREET,ST,,,96408,,318,295,295,2014-02-13,-71.27149038483279,42.61815085411133,315100
M_221236_932340,221236.49460000,932340.49560000,BMP,2043529,30,INTERNATIONAL PLACE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,30,30,,,,,,,,,INTERNATIONAL,PLACE,PL,,,96474,,318,295,295,2014-02-13,-71.24105943228663,42.64135116268118,315100
M_221376_931474,221375.63480000,931473.92160000,BC,2040864,110,GERMANO DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,110,110,,,,,,,,,GERMANO,DRIVE,DR,,,96416,,318,295,295,2014-02-13,-71.23939516332162,42.63354638227644,315200
M_222323_928494,222322.89060000,928494.05300000,BMP,2040949,11,JAY STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,11,11,,,,,,,,,JAY,STREET,ST,,,96481,,318,295,295,2014-02-13,-71.22796247003066,42.606694615715,315200
M_222961_931739,222961.25220000,931738.73100000,BMP,2041795,80,CARDIGAN ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,80,80,,,,,,,,,CARDIGAN,ROAD,RD,,,96252,,318,295,295,2014-02-13,-71.22005336605088,42.635884988514455,315200
M_223505_930229,223504.82200000,930228.74380000,BC,2048783,308,LANCASTER DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,308,308,,,,,,,,,LANCASTER,DRIVE,DR,,,96522,,318,295,295,2014-02-13,-71.2134879796196,42.622275696403854,315200
M_225297_928805,225297.19700000,928804.98160000,BC,2046276,8,KEARSAGE STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,8,8,,,,,,,,,KEARSAGE,STREET,ST,,,96501,,318,295,295,2014-02-13,-71.19170273683616,42.60940255433386,315402
M_224637_927055,224636.67800000,927055.14780000,BC,2047568,7,EDGEWOOD ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,7,7,,,,,,,,,EDGEWOOD,ROAD,RD,,,96359,,318,295,295,2014-02-13,-71.19982747015804,42.593671480699875,315401
M_219531_928768,219531.09460000,928768.03860000,BC,2038444,50,WINDSOR DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,50,50,,,,,,,,,WINDSOR,DRIVE,DR,,,96699,,318,295,295,2014-02-13,-71.26197513819403,42.60923622200902,315100
M_224657_927250,224657.22880000,927250.47640000,BC,2043226,67,ALGONQUIN DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,67,67,,,,,,,,,ALGONQUIN,DRIVE,DR,,,96557,,318,295,295,2014-02-13,-71.19956869949338,42.59542921243166,315401
M_224991_928407,224991.23100000,928406.65660000,BC,2042324,115,STARR AVENUE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,115,115,,,,,,,,,STARR,AVENUE,AVE,,,96605,,318,295,295,2014-02-13,-71.1954488491323,42.60582667110115,315401
M_224615_925206,224614.87300000,925206.46660000,BC,2047875,91,BROWN STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,91,91,,,,,,,,,BROWN,STREET,ST,,,96241,,318,295,295,2014-02-13,-71.20017231513961,42.57702996642771,315500
M_217775_929335,217775.34120000,929335.18660000,BC,2040246,71,FOREST AVENUE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,71,71,,,,,,,,,FOREST,AVENUE,AVE,,,96398,,318,295,295,2014-02-13,-71.28335480001871,42.61438390313622,315100
M_219496_933015,219496.47960000,933014.90280000,BC,2045407,11,COBLEIGH DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,11,11,,,,,,,,,COBLEIGH,DRIVE,DR,,,96289,,318,295,295,2014-02-13,-71.26225272668906,42.6474678233788,315100
M_221953_927238,221953.23060000,927237.67060000,BC,2042748,27,BOISVERT ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,27,27,,,,,,,,,BOISVERT,ROAD,RD,,,96220,,318,295,295,2014-02-13,-71.23251530972296,42.595394968873634,315500
M_222028_929248,222027.97440000,929247.60430000,BC,2048664,2,QUAIL RUN,,PATTEN GREEN CONDOMINIUMS,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,2,2,,,,,,,,,QUAIL,RUN,RUN,,,96077,16478,318,295,295,2016-12-15,-71.23152753324774,42.61348660807107,315200
M_219811_933207,219810.97560000,933206.96420000,BC,2041773,78,HOOD ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,78,78,,,,,,,,,HOOD,ROAD,RD,,,96464,,318,295,295,2014-02-13,-71.2584110330931,42.64918881523137,315100
M_220551_933542,220550.79560000,933541.63080000,BC,2045171,487,RIVER ROAD,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,487,487,,,,,,,,,RIVER,ROAD,RD,,,96103,,318,295,295,2014-02-13,-71.24937720726655,42.652182282788395,315100
M_225288_925783,225288.10660000,925783.38180000,BMP,2040013,465,SOUTH STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,465,465,,,,,,,,,SOUTH,STREET,ST,,,96600,,318,295,295,2014-02-13,-71.19194651397504,42.58220188622094,315403
M_224626_927226,224625.68560000,927225.86480000,BC,2040306,66,ALGONQUIN DRIVE,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,66,66,,,,,,,,,ALGONQUIN,DRIVE,DR,,,96557,,318,295,295,2014-02-13,-71.19995408329137,42.595208653969564,315401
M_223775_925235,223774.53700000,925234.59000000,BC,2043721,109,HEATH STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,109,109,,,,,,,,,HEATH,STREET,ST,,,96444,,318,295,295,2014-02-13,-71.21040699717771,42.57730927759743,315500
M_221943_928602,221942.96040000,928601.93220000,BC,2041866,97,HELVETIA STREET,,,,,,,,01876,,TEWKSBURY,TEWKSBURY,MA,,97,97,,,,,,,,,HELVETIA,STREET,ST,,,96446,,318,295,295,2014-02-13,-71.23258833080305,42.60767657655615,315200
