ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_275535_800076,275534.76460000,800075.61500000,BMP,1746666,14,HINES POINT ROAD,,,,,,,,02568,,TISBURY,TISBURY,MA,,14,14,,,,,,,,,HINES POINT,ROAD,RD,,,80592,,321,296,296,2014-02-07,-70.59611234088412,41.447241642124816,200100
M_273419_800108,273419.08240000,800108.37020000,BMP,1744855,325,WEST SPRING STREET,,,,,,,,02568,,TISBURY,TISBURY,MA,,325,325,,,,,,,WEST,,SPRING,STREET,ST,,,80882,,321,296,296,2014-02-07,-70.62142382339782,41.44773556521757,200100
M_274660_801623,274660.11520000,801622.50760000,BC,1747062,94,TASHMOO AVENUE,,,,,,,,02568,,TISBURY,TISBURY,MA,,94,94,,,,,,,,,TASHMOO,AVENUE,AVE,,,80801,,321,296,296,2014-02-07,-70.60638414808642,41.46125126712108,200100
M_275245_802496,275244.69260000,802496.14140000,BC,1747832,527,MAIN STREET,,,,,,,,02568,,TISBURY,TISBURY,MA,,527,527,,,,,,,,,MAIN,STREET,ST,,,80634,,321,296,296,2014-02-07,-70.59927737182849,41.46906122505869,200100
M_272866_800445,272865.61540000,800444.53020000,BMP,1748435,31,WATER GATE ROAD,,,,,,,,02568,,TISBURY,TISBURY,MA,,31,31,,,,,,,,,WATER GATE,ROAD,RD,,,80869,,321,296,296,2014-02-07,-70.62800535061938,41.45081315101987,200100
M_270750_801430,270749.75940000,801430.32280000,BC,1745275,200,CUTTYHUNK AVENUE,,,,,,,,02568,,TISBURY,TISBURY,MA,,200,200,,,,,,,,,CUTTYHUNK,AVENUE,AVE,,,80982,,321,296,296,2014-02-07,-70.65320734000898,41.45988020359552,200100
M_274675_801316,274674.57380000,801315.78040000,BC,1748099,144,FRANKLIN STREET,,,,,,,,02568,,TISBURY,TISBURY,MA,,144,144,,,,,,,,,FRANKLIN,STREET,ST,,,80860,,321,296,296,2014-02-07,-70.60624957084458,41.458488440521535,200100
M_274578_798934,274578.02660000,798934.49980000,BMP,1747823,500,EDGARTOWN ROAD,,,,,,,,02568,,TISBURY,TISBURY,MA,,500,500,,,,,,,,,EDGARTOWN,ROAD,RD,,,81005,,321,296,296,2014-02-07,-70.6077031607353,41.43705890134397,200100
M_274339_801487,274338.90840000,801487.22560000,BC,1748173,116,FRANKLIN TERRACE,,,,,,,,02568,,TISBURY,TISBURY,MA,,116,116,,,,,,,,,FRANKLIN,TERRACE,TER,,,81020,,321,296,296,2014-02-07,-70.6102453211487,41.460063556183364,200100
M_273808_800259,273808.20940000,800258.64640000,BMP,1746510,77,COLONIAL DRIVE,,,,,,,,02568,,TISBURY,TISBURY,MA,,77,77,,,,,,,,,COLONIAL,DRIVE,DR,,,80967,,321,296,296,2014-02-07,-70.61674901058751,41.449052319535774,200100
