ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_75949_871221,75948.82960000,871220.66980000,BMP,754429,335,WEST GRANVILLE ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,335,335,,,,,,,WEST,,GRANVILLE,ROAD,RD,,,31048,,322,297,297,2013-12-11,-72.99932815738298,42.081579453824304,813000
M_75803_869724,75803.46700000,869724.36620000,BC,754130,112,BROOK LANE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,112,112,,,,,,,,,BROOK,LANE,LN,,,30962,,322,297,297,2013-12-11,-73.00076653390214,42.06808693467807,813000
M_73229_877709,73229.20200000,877709.31000000,BMP,754385,173,LANDS END DRIVE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,173,173,,,,,,,,,LANDS END,DRIVE,DR,,,30992,,322,297,297,2013-12-11,-73.03360147177729,42.13955344137368,813000
M_73380_878031,73380.15540000,878030.63180000,BC,754275,56,LANDS END DRIVE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,56,56,,,,,,,,,LANDS END,DRIVE,DR,,,30992,,322,297,297,2013-12-11,-73.0318455185325,42.14247030527126,813000
M_75261_868838,75260.81340000,868837.95520000,BC,754313,20,OWLS NEST LANE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,20,20,,,,,,,,,OWLS NEST,LANE,LN,,,31012,,322,297,297,2013-12-11,-73.0071332500117,42.06002144839029,813000
M_75818_869946,75818.03820000,869946.25660000,BC,754182,43,PATH ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,43,43,,,,,,,,,PATH,ROAD,RD,,,31014,,322,297,297,2013-12-11,-73.00063766238715,42.0700866686554,813000
M_74397_868647,74396.53660000,868647.22140000,BC,754675,894,COLEBROOK RIVER ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,894,894,,,,,,,,,COLEBROOK RIVER,ROAD,RD,,,30969,,322,297,297,2013-12-11,-73.01753248887269,42.05816653298584,813000
M_72782_868653,72781.71140000,868652.56520000,BMP,754043,1152,BURT HILL ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,1152,1152,,,,,,,,,BURT HILL,ROAD,RD,,,30964,,322,297,297,2013-12-11,-73.03703966371803,42.05795432503542,813000
M_75963_871154,75963.39140000,871154.45980000,BMP,754174,336,WEST GRANVILLE ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,336,336,,,,,,,WEST,,GRANVILLE,ROAD,RD,,,31048,,322,297,297,2013-12-11,-72.99913813103547,42.080985745854235,813000
M_74527_874307,74526.58940000,874306.80080000,BC,754633,100,NORTH TRAIL,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,100,100,,,,,,,,,NORTH,TRAIL,TRL,,,31005,,322,297,297,2013-12-11,-73.01717766802288,42.10913381429678,813000
M_75690_871146,75690.34640000,871145.66580000,BC,754664,238,WEST GRANVILLE ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,238,238,,,,,,,WEST,,GRANVILLE,ROAD,RD,,,31048,,322,297,297,2013-12-11,-73.0024356688522,42.080863332177984,813000
M_75923_869372,75923.41980000,869372.38260000,BC,754431,35,HILL DRIVE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,35,35,,,,,,,,,HILL,DRIVE,DR,,,30986,,322,297,297,2013-12-11,-72.99924259419498,42.06493741774678,813000
M_70125_872104,70124.51860000,872104.04800000,PC,754478,1656,NEW BOSTON ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,1656,1656,,,,,,,,,NEW BOSTON,ROAD,RD,,,31000,,322,297,297,2013-12-11,-73.06990387665924,42.08858803771833,813000
M_75640_869097,75639.77020000,869096.87620000,BC,754533,5,LAKESIDE DRIVE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,5,5,,,,,,,,,LAKESIDE,DRIVE,DR,,,30990,,322,297,297,2013-12-11,-73.00261064281437,42.06241241089064,813000
M_72919_867627,72919.27760000,867627.41660000,BC,754656,1836,COLEBROOK RIVER ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,1836,1836,,,,,,,,,COLEBROOK RIVER,ROAD,RD,,,30969,,322,297,297,2013-12-11,-73.03515506639268,42.04874843519553,813000
M_75845_869760,75845.21280000,869759.96920000,BC,754247,90,BROOK LANE,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,90,90,,,,,,,,,BROOK,LANE,LN,,,30962,,322,297,297,2013-12-11,-73.00026975624256,42.06841403942732,813000
M_73595_878032,73595.42060000,878031.69920000,BC,754390,201,MOREAU ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,201,201,,,,,,,,,MOREAU,ROAD,RD,,,6106,,322,33,297,2013-12-11,-73.02924203246404,42.14251468830248,813000
M_74890_871343,74890.25180000,871343.22480000,BC,754255,30,CLUBHOUSE ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,30,30,,,,,,,,,CLUBHOUSE,ROAD,RD,,,30968,,322,297,297,2013-12-11,-73.0121461066238,42.08251443734974,813000
M_73369_867829,73369.25120000,867828.86160000,BC,754594,1714,COLEBROOK RIVER ROAD,,,,,,,,01034,,TOLLAND,TOLLAND,MA,,1714,1714,,,,,,,,,COLEBROOK RIVER,ROAD,RD,,,30969,,322,297,297,2013-12-11,-73.0297641216359,42.0506345892852,813000
