ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_185750_933116,185750.46240000,933116.10860000,BC,1519410,3,HARBOR TRACE ROAD,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,3,3,,,,,,,,,HARBOR TRACE,ROAD,RD,,,68252,,324,299,299,2014-02-03,-71.673766848429,42.64849282415853,301102
M_185183_934125,185183.29500000,934124.59500000,BMP,1517652,4,LAURIE DRIVE,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,4,4,,,,,,,,,LAURIE,DRIVE,DR,,,68273,,324,299,299,2014-02-03,-71.68070924007269,42.65756066557542,301101
M_185030_932867,185029.95680000,932867.38980000,BC,1519163,6,ASH STREET,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,6,6,,,,,,,,,ASH,STREET,ST,,,68191,,324,299,299,2014-02-03,-71.68254658026673,42.64624029245963,301102
M_185606_932667,185606.19060000,932666.52520000,BC,1519518,8,MAPLEWOOD DRIVE,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,8,8,,,,,,,,,MAPLEWOOD,DRIVE,DR,,,68283,,324,299,299,2014-02-03,-71.67551489333249,42.644442981736134,301102
M_185282_932794,185282.46900000,932793.62700000,BC,1519610,10,SPRUCE STREET,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,10,10,,,,,,,,,SPRUCE,STREET,ST,,,68341,,324,299,299,2014-02-03,-71.67946553154727,42.64558109803156,301102
M_185806_933478,185806.38900000,933477.72160000,BC,1519823,16,SOUTH STREET,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,16,16,,,,,,,,,SOUTH,STREET,ST,,,68339,,324,299,299,2014-02-03,-71.67309379874702,42.65174911139236,301102
M_180053_936911,180053.06460000,936911.16380000,BC,1519156,56,MASON ROAD,,,,,,,,01474,,TOWNSEND,TOWNSEND,MA,,56,56,,,,,,,,,MASON,ROAD,RD,,,68284,,324,299,299,2014-02-03,-71.74337583554374,42.682530548416196,301101
M_183478_934959,183477.58980000,934959.41460000,BC,1517491,221,MAIN STREET,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,221,221,,,,,,,,,MAIN,STREET,ST,,,68281,,324,299,299,2014-02-03,-71.70153654624484,42.66504133026313,301101
M_184051_934695,184051.17320000,934695.39180000,PC,1518411,177,MAIN STREET,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,177,177,,,,,,,,,MAIN,STREET,ST,,,68281,,324,299,299,2014-02-03,-71.69453278812564,42.66267657980929,301101
M_186549_931023,186549.47180000,931022.62800000,BC,1518565,32,SHIRLEY ROAD,,,,,,,,01469,,TOWNSEND,TOWNSEND,MA,,32,32,,,,,,,,,SHIRLEY,ROAD,RD,,,68335,,324,299,299,2014-02-03,-71.66397422729905,42.62966135044203,301102
