ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_318039_860330,318038.53660000,860329.74940000,BMP,1855025,44,FISHER ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,44,44,,,,,,,,,FISHER,ROAD,RD,,,87417,,325,300,300,2014-02-09,-70.07552696365174,41.984467456555585,010208
M_318316_860412,318316.20820000,860412.29300000,PC,1855144,10,SALT MARSH LANE,,,,,,,,02666,,TRURO,TRURO,MA,,10,10,,,,,,,,,SALT MARSH,LANE,LN,,,87633,,325,300,300,2014-02-09,-70.07216001230071,41.985168723339825,010208
M_317432_864254,317431.59460000,864253.51640000,PC,1855509,7,CHICKADEE LANE,,,,,,,,02652,,TRURO,TRURO,MA,,7,7,,,,,,,,,CHICKADEE,LANE,LN,,,87732,,325,300,300,2014-02-09,-70.08206301990404,42.01988055541101,010208
M_318526_864760,318525.64380000,864759.89960000,BC,1856281,8,ALDEN CIRCLE,,,,,,,,02652,,TRURO,TRURO,MA,,8,8,,,,,,,,,ALDEN,CIRCLE,CIR,,,87298,,325,300,300,2014-02-09,-70.06875271712875,42.02427453693288,010208
M_317746_863596,317746.31940000,863596.22560000,BC,1855116,6,QUAIL HILL ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,6,6,,,,,,,,,QUAIL HILL,ROAD,RD,,,87606,,325,300,300,2014-02-09,-70.0783958167686,42.01391641820019,010208
M_319179_862979,319178.63720000,862979.02580000,PC,1855934,8,LONG NOOK ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,8,8,,,,,,,,,LONG NOOK,ROAD,RD,,,87511,,325,300,300,2014-02-09,-70.06123174489912,42.00814413851017,010208
M_319126_861907,319125.91180000,861906.86720000,BMP,1856254,41A,CASTLE ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,41,41,A,,,,,,,,CASTLE,ROAD,RD,,,87359,,325,300,300,2014-02-09,-70.06208632437236,41.99850052219145,010208
M_319370_861701,319369.57900000,861701.29740000,BMP,1855748,30,CASTLE ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,30,30,,,,,,,,,CASTLE,ROAD,RD,,,87359,,325,300,300,2014-02-09,-70.05918759996398,41.99661295387384,010208
M_318304_860058,318304.47240000,860057.73480000,BMP,1857706,20,FISHER ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,20,20,,,,,,,,,FISHER,ROAD,RD,,,87417,,325,300,300,2014-02-09,-70.07237322258244,41.98197872898277,010208
M_317955_863175,317954.55180000,863175.28040000,BC,1856883,2,HIGH RIDGE ROAD EXTENSION,,,,,,,,02666,,TRURO,TRURO,MA,,2,2,,,,,,,,,HIGH RIDGE,ROAD EXTENSION,,,,87456,,325,300,300,2014-02-09,-70.07596704166649,42.010095770782215,010208
M_319985_862001,319984.89240000,862001.38240000,BMP,1856144,48,TRURO CENTER ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,48,48,,,,,,,,,TRURO CENTER,ROAD,RD,,,87698,,325,300,300,2014-02-09,-70.05170058381664,41.99922051350896,010208
M_313271_868136,313271.37500000,868135.74300000,PC,1856709,487,SHORE ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,487,487,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2014-02-09,-70.13153513947772,42.05544046370899,010208
M_320108_862241,320108.00560000,862240.70600000,BC,1857900,8,BAYBERRY LANE,,,,,,,,02666,,TRURO,TRURO,MA,,8,8,,,,,,,,,BAYBERRY,LANE,LN,,,87327,,325,300,300,2014-02-09,-70.05016571151083,42.00135608185124,010208
M_316715_865950,316715.18580000,865949.77100000,BC,1857206,11,PILGRIM POND ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,11,11,,,,,,,,,PILGRIM POND,ROAD,RD,,,87590,,325,300,300,2014-02-09,-70.09037332124895,42.035257251188874,010208
M_318154_862782,318153.56700000,862781.61200000,BC,1856143,14,PERRY ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,14,14,,,,,,,,,PERRY,ROAD,RD,,,87581,,325,300,300,2014-02-09,-70.07364430167786,42.0065220052804,010208
M_318475_859765,318475.04060000,859765.44520000,BC,1856273,7,STEPHENS WAY,,,,,,,,02666,,TRURO,TRURO,MA,,7,7,,,,,,,,,STEPHENS,WAY,WAY,,,87674,,325,300,300,2014-02-09,-70.07037440653346,41.97932179287123,010208
M_316207_866567,316206.73020000,866567.11460000,BC,1855676,118,SHORE ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,118,118,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2014-02-09,-70.09639039628513,42.04089010651093,010208
M_314467_867440,314467.24680000,867439.54260000,PC,1857403,310,SHORE ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,310,310,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2014-02-09,-70.11722632085373,42.04899956292257,010208
M_317381_865568,317380.98060000,865567.93480000,PC,1857008,3,FRANCIS ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,3,3,,,,,,,,,FRANCIS,ROAD,RD,,,87422,,325,300,300,2014-02-09,-70.08241030313724,42.03172060039414,010208
M_316925_864533,316925.23920000,864532.60080000,PC,1857586,7A,KESTREL LANE,,,,,,,,02652,,TRURO,TRURO,MA,,7,7,A,,,,,,,,KESTREL,LANE,LN,,,87487,,325,300,300,2014-02-09,-70.08812015405266,42.022468512321275,010208
M_316571_866288,316570.81560000,866288.01960000,BMP,1858221,2,BAY VILLAGE ROAD,,,,,A,,,02652,,TRURO,TRURO,MA,,2,2,,,,,,,,,BAY VILLAGE,ROAD,RD,,,87326,,325,300,300,2014-02-09,-70.09204920752151,42.03832365319264,010208
M_318338_862926,318338.05940000,862925.64620000,BC,1855378,4,PERRY ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,4,4,,,,,,,,,PERRY,ROAD,RD,,,87581,,325,300,300,2014-02-09,-70.07138839647158,42.00779081259853,010208
M_318247_862579,318247.00240000,862578.81760000,BC,1857653,16,RESOLUTION ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,16,16,,,,,,,,,RESOLUTION,ROAD,RD,,,87757,,325,300,300,2014-02-09,-70.0725575216824,42.00468236507617,010208
M_319976_862059,319975.56700000,862059.27980000,BC,1857786,5,TOWN HALL ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,5,5,,,,,,,,,TOWN HALL,ROAD,RD,,,87695,,325,300,300,2014-02-09,-70.05180126164218,41.99974313325196,010208
M_319167_860514,319166.89180000,860513.70200000,PC,1854838,28A,OLD COUNTY ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,28,28,A,,,,,,,,OLD COUNTY,ROAD,RD,,,87553,,325,300,300,2014-02-09,-70.0618752693385,41.9859529486627,010208
M_312276_868809,312275.84080000,868808.76240000,PC,1856751,647,SHORE ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,647,647,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2014-02-09,-70.1434311389887,42.06164223196705,010208
M_317636_865202,317636.18240000,865201.54540000,BMP,1857191,6,HUGHES ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,6,6,,,,,,,,,HUGHES,ROAD,RD,,,87743,,325,300,300,2014-02-09,-70.0794025328675,42.028384119249154,010208
M_318793_863841,318792.79560000,863841.22800000,BC,1856078,20,QUAIL RIDGE ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,20,20,,,,,,,,,QUAIL RIDGE,ROAD,RD,,,87608,,325,300,300,2014-02-09,-70.06571387505493,42.01596421985189,010208
M_318801_860594,318800.77320000,860593.87580000,BC,1857909,8,PERRYS HILL WAY,,,,,,,,02666,,TRURO,TRURO,MA,,8,8,,,,,,,,,PERRYS HILL,WAY,WAY,,,87583,,325,300,300,2014-02-09,-70.06627655071726,41.98673016772477,010208
M_321127_862170,321126.97400000,862170.03340000,BC,1855729,55,NORTH PAMET ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,55,55,,,,,,,NORTH,,PAMET,ROAD,RD,,,87543,,325,300,300,2014-02-09,-70.03788267570997,42.00056329444551,010208
M_320518_861710,320517.92700000,861710.39600000,BC,1856907,23,NORTH PAMET ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,23,23,,,,,,,NORTH,,PAMET,ROAD,RD,,,87543,,325,300,300,2014-02-09,-70.04532763389223,41.996519383479715,010208
M_319816_861841,319816.47620000,861840.65020000,BC,1855933,8,FIRST PARISH LANE,,,,,,,,02666,,TRURO,TRURO,MA,,8,8,,,,,,,,,FIRST PARISH,LANE,LN,,,87414,,325,300,300,2014-02-09,-70.0537659851914,41.99779932346135,010208
M_316673_865279,316673.01960000,865279.05660000,BC,1855275,13,BAY VIEW ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,13,13,,,,,,,,,BAY VIEW,ROAD,RD,,,87324,,325,300,300,2014-08-06,-70.09101628927705,42.0292257082029,010208
M_317285_865053,317285.46860000,865052.92200000,BC,1857594,10,PRIEST ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,10,10,,,,,,,,,PRIEST,ROAD,RD,,,87601,,325,300,300,2014-02-09,-70.0836668412747,42.02709871113361,010208
M_319327_862363,319326.66040000,862363.36800000,BC,1857101,8,BLACKFISH ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,8,8,,,,,,,,,BLACKFISH,ROAD,RD,,,87337,,325,300,300,2014-02-09,-70.05957059694211,42.00257946963601,010208
M_318152_859864,318152.07580000,859864.30760000,BC,1857123,1,BENSON LANE,,,,,,,,02666,,TRURO,TRURO,MA,,1,1,,,,,,,,,BENSON,LANE,LN,,,87333,,325,300,300,2014-02-09,-70.07425092236797,41.98026042891598,010208
M_318526_864760,318525.64380000,864759.89960000,BC,1858640,8,ALDEN CIRCLE,,,,,B,,,02652,,TRURO,TRURO,MA,,8,8,,,,,,,,,ALDEN,CIRCLE,CIR,,,87298,,325,300,300,2014-02-09,-70.06875271712875,42.02427453693288,010208
M_318304_860058,318304.47240000,860057.73480000,BMP,1857710,20A,FISHER ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,20,20,A,,,,,,,,FISHER,ROAD,RD,,,87417,,325,300,300,2014-08-05,-70.07237322258244,41.98197872898277,010208
M_314738_867255,314737.55040000,867255.46320000,PC,1856859,266,SHORE ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,266,266,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2014-02-09,-70.11399773574031,42.0473029665855,010208
M_316571_866288,316570.81560000,866288.01960000,BMP,1856877,2,BAY VILLAGE ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,2,2,,,,,,,,,BAY VILLAGE,ROAD,RD,,,87326,,325,300,300,2014-02-09,-70.09204920752151,42.03832365319264,010208
M_315741_866496,315741.07540000,866496.41020000,BC,1856515,21,KNOWLES HEIGHTS ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,21,21,,,,,,,,,KNOWLES HEIGHTS,ROAD,RD,,,87494,,325,300,300,2014-02-09,-70.10202782070523,42.040322468273814,010208
M_318152_859864,318152.07580000,859864.30760000,BC,1858032,1,BENSON LANE,,,,,1,,,02666,,TRURO,TRURO,MA,,1,1,,,,,,,,,BENSON,LANE,LN,,,87333,,325,300,300,2014-02-09,-70.07425092236797,41.98026042891598,010208
M_318951_863857,318950.56200000,863856.81080000,BMP,1856465,27,QUAIL RIDGE ROAD,,,,,,,,02666,,TRURO,TRURO,MA,,27,27,,,,,,,,,QUAIL RIDGE,ROAD,RD,,,87608,,325,300,300,2014-02-09,-70.06380621970432,42.016080597127484,010208
M_316880_865032,316880.47420000,865031.90260000,BC,1857276,27,PRIEST ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,27,27,,,,,,,,,PRIEST,ROAD,RD,,,87601,,325,300,300,2014-02-09,-70.08856083795985,42.0269699320601,010208
M_317615_865301,317615.44880000,865300.53460000,BMP,1856189,3,HUGHES ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,3,3,,,,,,,,,HUGHES,ROAD,RD,,,87743,,325,300,300,2014-02-09,-70.0796329651502,42.02927833357742,010208
M_320497_862421,320496.70900000,862420.88500000,BC,1856680,1,GROUSE RUN,,,,,,,,02666,,TRURO,TRURO,MA,,1,1,,,,,,,,,GROUSE,RUN,RUN,,,87438,,325,300,300,2014-02-09,-70.04543746055496,42.00291847761993,010208
M_316116_866659,316116.22560000,866658.76130000,BC,1858070,122,SHORE ROAD,,SKYLINE,,,11,,,02652,,TRURO,TRURO,MA,,122,122,,,,,,,,,SHORE,ROAD,RD,,,87649,19423,325,300,300,2015-12-11,-70.0974651638761,42.04172851924131,010208
M_312996_868266,312995.91680000,868266.13050000,BC,4216247,525,SHORE ROAD,,,,,1,,,02652,,TRURO,TRURO,MA,,525,525,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2015-12-11,-70.1348372524758,42.056653965618885,010208
M_316369_866375,316368.78180000,866375.37230000,BC,4216316,104,SHORE ROAD,,PRINCE OF WHALES COTTAGES CABINS MOTEL,,,12,,,02652,,TRURO,TRURO,MA,,104,104,,,,,,,,,SHORE,ROAD,RD,,,87649,19424,325,300,300,2015-12-11,-70.09447156054503,42.039140005579014,010208
M_312144_868797,312144.49960000,868796.79010000,BC,4216409,674,SHORE ROAD,,KAMAR VILLAGE,,,11,,,02652,,TRURO,TRURO,MA,,674,674,,,,,,,,,SHORE,ROAD,RD,,,87649,17929,325,300,300,2015-12-11,-70.14502009499446,42.06155325079427,010208
M_316405_866447,316405.43400000,866447.36830000,BC,4216266,104,SHORE ROAD,,PRINCE OF WHALES COTTAGES CABINS MOTEL,TERRA LUNA,,,,,02652,,TRURO,TRURO,MA,,104,104,,,,,,,,,SHORE,ROAD,RD,,,87649,19424,325,300,300,2015-12-11,-70.09401461458779,42.03978267987839,010208
M_317634_862411,317634.29960000,862410.62650000,BC,1858556,62,CORN HILL ROAD,,CORN HILL COTTAGES,,,6,,,02666,,TRURO,TRURO,MA,,62,62,,,,,,,,,CORN HILL,ROAD,RD,,,87385,17514,325,300,300,2015-12-13,-70.07998631496211,42.00326036955918,010208
M_318189_863863,318188.96800000,863863.32690000,BC,1858625,7,GREAT HOLLOW ROAD,,WHITMAN HOUSE CONDOMINIUMS,,,39,,,02666,,TRURO,TRURO,MA,,7,7,,,,,,,,,GREAT HOLLOW,ROAD,RD,,,87435,18040,325,300,300,2015-12-13,-70.07299857032253,42.016254334767076,010208
M_313057_868205,313056.97140000,868205.29630000,BC,4216334,522,SHORE ROAD,,,,,13,,,02652,,TRURO,TRURO,MA,,522,522,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2015-12-11,-70.13411151443397,42.056097529488966,010208
M_316791_866127,316790.64900000,866127.13130000,BC,1858659,82,SHORE ROAD,,,,,9,,,02652,,TRURO,TRURO,MA,,82,82,,,,,,,,,SHORE,ROAD,RD,,,87649,,325,300,300,2015-12-11,-70.08942666021329,42.03684262779165,010208
M_316675_865402,316671.30890000,865393.15170000,BMP,1855420,8,BAY VIEW ROAD,,,,,,,,02652,,TRURO,TRURO,MA,,8,8,,,,,,,,,BAY VIEW,ROAD,RD,,,87324,,325,300,300,2016-10-17,-70.09101418616682,42.03025305460188,010208
M_318902_858518,318902.38140000,858517.97080000,DBMP,4247330,12,PRINCE VALLEY WAY,,,,,,,,02666,,TRURO,TRURO,MA,,12,12,,,,,,,,,PRINCE VALLEY,WAY,WAY,,,87603,,325,300,300,2016-10-17,-70.06547184506013,41.96802732592614,010208
