ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_59298_892865,59297.60220000,892864.79660000,BC,757838,28,GOOSE POND ROAD,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,28,28,,,,,,,,,GOOSE POND,ROAD,RD,,,31237,,327,302,302,2013-12-11,-73.20576149831179,42.27359303528248,933200
M_59614_893031,59614.18080000,893030.77080000,BC,757935,5,LAKESIDE DRIVE,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,5,5,,,,,,,,,LAKESIDE,DRIVE,DR,,,31246,,327,302,302,2013-12-11,-73.20196472054064,42.275143923979655,933200
M_59551_889702,59550.87220000,889702.09240000,BC,758156,129B,MAIN ROAD,OFF,,,,,,,01264,,TYRINGHAM,TYRINGHAM,MA,,129,129,B,,,,,,,,MAIN,ROAD,RD,,,31248,,327,302,302,2013-12-11,-73.20192693026644,42.24517052696696,933200
M_59344_890337,59343.96140000,890337.10740000,BMP,757861,95,MAIN ROAD,,,,,,,,01264,,TYRINGHAM,TYRINGHAM,MA,,95,95,,,,,,,,,MAIN,ROAD,RD,,,31248,,327,302,302,2013-12-11,-73.20458731422252,42.25084922557842,933200
M_59969_892968,59968.81240000,892968.24700000,PC,758108,63E,GOOSE POND ROAD,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,63,63,E,,,,,,,,GOOSE POND,ROAD,RD,,,31237,,327,302,302,2013-12-11,-73.1976514034291,42.27464475905924,933200
M_59140_892758,59139.79020000,892757.88940000,BC,757916,15,STONEBRIDGE WAY,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,15,15,,,,,,,,,STONEBRIDGE,WAY,WAY,,,31259,,327,302,302,2013-12-11,-73.2076482279136,42.27260232146035,933200
M_57978_891346,57978.25520000,891345.64740000,BMP,758167,49,MAIN ROAD,,,,,B,,,01264,,TYRINGHAM,TYRINGHAM,MA,,49,49,,,,,,,,,MAIN,ROAD,RD,,,31248,,327,302,302,2013-12-11,-73.22138023935061,42.2596803481998,933200
M_59562_892800,59562.21940000,892799.55580000,PC,758058,1,COOPERTOWN ROAD,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,1,1,,,,,,,,,COOPERTOWN,ROAD,RD,,,31228,,327,302,302,2013-12-11,-73.20253856222584,42.27305338714742,933200
M_59685_893076,59684.52320000,893075.94380000,BMP,758139,14,LAKESIDE DRIVE,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,14,14,,,,,,,,,LAKESIDE,DRIVE,DR,,,31246,,327,302,302,2013-12-11,-73.2011230728386,42.275563165446485,933200
M_58222_891146,58221.92740000,891145.64580000,BMP,757853,59,MAIN ROAD,,,,,,,,01264,,TYRINGHAM,TYRINGHAM,MA,,59,59,,,,,,,,,MAIN,ROAD,RD,,,31248,,327,302,302,2013-12-11,-73.21837877046343,42.25792433691296,933200
M_57947_889854,57947.22200000,889854.27380000,BC,758120,98,JERUSALEM ROAD,,,,,,,,01264,,TYRINGHAM,TYRINGHAM,MA,,98,98,,,,,,,,,JERUSALEM,ROAD,RD,,,31241,,327,302,302,2013-12-11,-73.22139152210924,42.246250634399644,933200
M_59207_892529,59207.19660000,892529.07380000,PC,757782,24,STONEBRIDGE WAY,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,24,24,,,,,,,,,STONEBRIDGE,WAY,WAY,,,31259,,327,302,302,2013-12-11,-73.20677577930402,42.27055486424512,933200
M_59019_889024,59018.74040000,889023.94740000,BMP,757833,25,JERUSALEM ROAD,,,,,,,,01264,,TYRINGHAM,TYRINGHAM,MA,,25,25,,,,,,,,,JERUSALEM,ROAD,RD,,,31241,,327,302,302,2013-12-11,-73.208208897346,42.23897064544791,933200
M_57978_891346,57978.25520000,891345.64740000,BMP,757983,49,MAIN ROAD,,,,,,,,01264,,TYRINGHAM,TYRINGHAM,MA,,49,49,,,,,,,,,MAIN,ROAD,RD,,,31248,,327,302,302,2013-12-11,-73.22138023935061,42.2596803481998,933200
M_59605_893091,59605.01340000,893091.03920000,BC,757801,9,LAKESIDE DRIVE,,,,,,,,01238,,TYRINGHAM,TYRINGHAM,MA,,9,9,,,,,,,,,LAKESIDE,DRIVE,DR,,,31246,,327,302,302,2013-12-11,-73.20209041034562,42.27568476212694,933200
