ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_194057_881037,194056.58240000,881036.80720000,BMP,1650263,94,TAFT STREET,,,,,,,,01568,,UPTON,UPTON,MA,,94,94,,,,,,,,,TAFT,STREET,ST,,,74598,,328,303,303,2014-02-05,-71.5719417945194,42.17974949624204,743100
M_188993_883555,188993.16700000,883554.93420000,BC,1649511,45,GRAFTON ROAD,,,,,,,,01568,,UPTON,UPTON,MA,,45,45,,,,,,,,,GRAFTON,ROAD,RD,,,74481,,328,303,303,2014-02-05,-71.63327919790117,42.202365548234106,743100
M_189112_880248,189111.88880000,880248.32820000,BMP,1649009,10,WILLIAMS STREET,,,,,,,,01568,,UPTON,UPTON,MA,,10,10,,,,,,,,,WILLIAMS,STREET,ST,,,74625,,328,303,303,2014-02-05,-71.63177976646959,42.17259757776727,743100
M_188663_880783,188662.94900000,880783.34240000,BMP,1649186,49,WEST MAIN STREET,,,,,,,,01568,,UPTON,UPTON,MA,,49,49,,,,,,,WEST,,MAIN,STREET,ST,,,74614,,328,303,303,2014-02-05,-71.63722373257744,42.17740798877728,743100
M_190930_880776,190930.18040000,880775.89320000,BC,1651464,80,HIGH STREET,,,,,B,,,01568,,UPTON,UPTON,MA,,80,80,,,,,,,,,HIGH,STREET,ST,,,74492,,328,303,303,2014-02-05,-71.60978106830444,42.1773704781725,743100
M_194663_880114,194663.02600000,880114.07080000,BMP,1649137,200,EAST STREET,,,,,,,,01568,,UPTON,UPTON,MA,,200,200,,,,,,,,,EAST,STREET,ST,,,74452,,328,303,303,2014-02-05,-71.56459267374649,42.17144637429098,743100
M_191929_875938,191928.77060000,875938.27960000,BC,1648211,163,SOUTH STREET,,,,,,,,01568,,UPTON,UPTON,MA,,163,163,,,,,,,,,SOUTH,STREET,ST,,,74586,,328,303,303,2014-02-05,-71.59762712728072,42.133827746460646,743100
M_191614_879203,191614.28360000,879202.77800000,BC,1650066,1,QUAIL RUN,,,,,,,,01568,,UPTON,UPTON,MA,,1,1,,,,,,,,,QUAIL,RUN,RUN,,,74565,,328,303,303,2014-02-05,-71.60147804007678,42.16321517951393,743100
M_191662_881595,191662.03300000,881594.98720000,BMP,1648005,17,WESTBORO ROAD,,,,,,,,01568,,UPTON,UPTON,MA,,17,17,,,,,,,,,WESTBORO,ROAD,RD,,,74620,,328,303,303,2014-02-05,-71.60093446736381,42.18475299529553,743100
M_189041_881080,189041.14420000,881079.68700000,BC,1648024,26,FOWLER STREET,,,,,,,,01568,,UPTON,UPTON,MA,,26,26,,,,,,,,,FOWLER,STREET,ST,,,74472,,328,303,303,2014-02-05,-71.63265164154099,42.18008139271929,743100
