ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_188221_871078,188220.84160000,871078.30380000,BMP,1535083,311,NORTH MAIN STREET,,,,,1,,,01569,,UXBRIDGE,UXBRIDGE,MA,,311,311,,,,,,,NORTH,,MAIN,STREET,ST,,,69066,,329,304,304,2014-02-03,-71.64237890906502,42.09002550150854,749200
M_188167_871749,188166.97760000,871749.18140000,BC,1533652,11,PARKIS AVENUE,,,,,3,,,01569,,UXBRIDGE,UXBRIDGE,MA,,11,11,,,,,,,,,PARKIS,AVENUE,AVE,,,69090,,329,304,304,2015-09-21,-71.6430435805365,42.0960647416113,749200
M_185684_866360,185684.07060000,866360.33380000,BMP,1530577,40,STANPHYL ROAD,,,,,,,,01569,,UXBRIDGE,UXBRIDGE,MA,,40,40,,,,,,,,,STANPHYL,ROAD,RD,,,69183,,329,304,304,2014-02-03,-71.67292607671553,42.04750628670367,749100
M_191341_871991,191355.64370000,871909.98790000,ABC,1532618,14,DONNA COURT,,,,,,,,01569,,UXBRIDGE,UXBRIDGE,MA,,14,14,,,,,,,,,DONNA,COURT,CT,,,68890,,329,304,304,2014-02-03,-71.60449979358602,42.09755417403253,749100
M_188878_871016,188877.59620000,871016.36020000,BC,1532756,2,MOORLAND DRIVE,,,,,,,,01569,,UXBRIDGE,UXBRIDGE,MA,,2,2,,,,,,,,,MOORLAND,DRIVE,DR,,,69051,,329,304,304,2014-02-03,-71.63443931426202,42.08947740482619,749200
M_188704_870133,188703.67840000,870133.36480000,BMP,1534095,4,ARCH STREET,,,,,2,,,01569,,UXBRIDGE,UXBRIDGE,MA,,4,4,,,,,,,,,ARCH,STREET,ST,,,68800,,329,304,304,2014-02-03,-71.63652441611193,42.08152511571098,749200
M_188704_870133,188703.67840000,870133.36480000,BMP,1534099,4,ARCH STREET,,,,,6,,,01569,,UXBRIDGE,UXBRIDGE,MA,,4,4,,,,,,,,,ARCH,STREET,ST,,,68800,,329,304,304,2014-02-03,-71.63652441611193,42.08152511571098,749200
M_191313_868330,191312.76400000,868329.52240000,BMP,1530909,339,BLACKSTONE STREET,,,,,,,,01569,,UXBRIDGE,UXBRIDGE,MA,,339,339,,,,,,,,,BLACKSTONE,STREET,ST,,,68814,,329,304,304,2014-02-03,-71.6049648922407,42.065317946526335,749100
M_188704_870133,188703.67840000,870133.36480000,BMP,1528051,4,ARCH STREET,,,,,,,,01569,,UXBRIDGE,UXBRIDGE,MA,,4,4,,,,,,,,,ARCH,STREET,ST,,,68800,,329,304,304,2014-02-03,-71.63652441611193,42.08152511571098,749200
M_188221_871078,188220.84160000,871078.30380000,BMP,1535087,311,NORTH MAIN STREET,,,,,REAR,,,01569,,UXBRIDGE,UXBRIDGE,MA,,311,311,,,,,,,NORTH,,MAIN,STREET,ST,,,69066,,329,304,304,2014-02-03,-71.64237890906502,42.09002550150854,749200
M_190614_863513,190613.84760000,863512.99620000,PC,1533076,71,SOUTH STREET,,,,,,,,01569,,UXBRIDGE,UXBRIDGE,MA,,71,71,,,,,,,,,SOUTH,STREET,ST,,,69175,,329,304,304,2014-02-03,-71.6133323245272,42.0219453875622,749100
