ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_233805_917778,233804.82200000,917778.23020000,BC,2872649,8,EDWARDS AVENUE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,8,8,,,,,,,,,EDWARDS,AVENUE,AVE,,,136385,,330,305,305,2014-03-05,-71.08866965211188,42.50981393834476,335200
M_234672_916886,234671.82060000,916885.83140000,BMP,2875216,15,EMERSON STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,15,15,,,,,,,,,EMERSON,STREET,ST,,,136394,,330,305,305,2015-03-31,-71.07817405526053,42.50174213024579,335200
M_235038_919304,235037.83320000,919304.18660000,BMP,2868437,23,KING STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,23,23,,,,,,,,,KING,STREET,ST,,,135898,,330,305,305,2014-03-05,-71.07357403758276,42.52349658294786,335100
M_234577_916662,234576.65460000,916662.29280000,BC,2871440,85,CEDAR STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,85,85,,,,,,,,,CEDAR,STREET,ST,,,136497,,330,305,305,2014-03-05,-71.07934526183644,42.49973398576129,335200
M_234104_917997,234103.79560000,917997.49640000,BMP,2867965,9,WILLOW STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,9,9,,,,,,,,,WILLOW,STREET,ST,,,136199,,330,305,305,2014-03-05,-71.08501887782874,42.51177481075868,335100
M_235399_915017,235399.42400000,915017.15660000,BC,2866710,66,MERIAM STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,66,66,,,,,,,,,MERIAM,STREET,ST,,,135952,,330,305,305,2014-03-05,-71.0694367623554,42.4848868851222,335400
M_235457_913931,235457.46900000,913931.06240000,BC,2870956,29,SPRING STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,29,29,,,,,,,,,SPRING,STREET,ST,,,136107,,330,305,305,2014-03-05,-71.06879755459973,42.47510678397288,335400
M_235222_917017,235221.59180000,917016.92280000,BMP,2874946,9,FOSTER STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,9,9,,,,,,,,,FOSTER,STREET,ST,,,136423,,330,305,305,2014-03-05,-71.07147750195998,42.50289759115278,335100
M_234986_919031,234985.52680000,919030.74840000,BC,2873041,240B,LOWELL STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,240,240,B,,,,,,,,LOWELL,STREET,ST,,,135925,,330,305,305,2015-03-31,-71.07422723066196,42.52103736048077,335100
M_234808_916274,234808.20220000,916274.23240000,BC,2869353,147,BROADWAY,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,147,147,,,,,,,,,BROADWAY,,,,,136300,,330,305,305,2014-03-05,-71.07655176972952,42.49623020877374,335200
M_235502_913985,235501.63300000,913985.45020000,BC,2866413,35,CRYSTAL STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,35,35,,,,,,,,,CRYSTAL,STREET,ST,,,136358,,330,305,305,2014-03-05,-71.06825713231282,42.4755943944256,335400
M_235599_916805,235598.83440000,916804.66780000,BMP,2870731,22,JEFFERSON ROAD,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,22,22,,,,,,,,,JEFFERSON,ROAD,RD,,,135881,,330,305,305,2014-03-05,-71.06690098128695,42.50096964347306,335301
M_234795_918891,234795.31760000,918891.46320000,BMP,2866358,3,WALDEN ROAD,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,3,3,,,,,,,,,WALDEN,ROAD,RD,,,136162,,330,305,305,2014-03-05,-71.07655044773874,42.51979199569388,335100
M_234934_914912,234934.13460000,914911.74720000,BMP,2868534,79,FOREST STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,79,79,,,,,,,,,FOREST,STREET,ST,,,136421,,330,305,305,2014-03-05,-71.07510237028666,42.4839589529567,335400
M_235599_916805,235598.83440000,916804.66780000,BMP,2867193,24,JEFFERSON ROAD,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,24,24,,,,,,,,,JEFFERSON,ROAD,RD,,,135881,,330,305,305,2014-03-05,-71.06690098128695,42.50096964347306,335301
M_233843_917145,233842.74080000,917144.95220000,BC,2868208,14,FRIEND STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,14,14,,,,,,,,,FRIEND,STREET,ST,,,136430,,330,305,305,2014-03-05,-71.08824546827852,42.50411129959944,335200
M_234986_919031,234985.52680000,919030.74840000,BC,2868361,240A,LOWELL STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,240,240,A,,,,,,,,LOWELL,STREET,ST,,,135925,,330,305,305,2015-03-31,-71.07422723066196,42.52103736048077,335100
M_236905_918357,236905.41840000,918357.13780000,BC,2868930,585,LOWELL STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,585,585,,,,,,,,,LOWELL,STREET,ST,,,135925,,330,305,305,2015-03-31,-71.05090579257187,42.51488467001869,335302
M_234593_916523,234593.43160000,916522.86060000,BMP,2868569,269,ALBION STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,269,269,,,,,,,,,ALBION,STREET,ST,,,136247,,330,305,305,2014-03-05,-71.07914952805274,42.4984780209597,335200
M_234879_918745,234878.52240000,918744.59300000,BC,2875344,2,CARRIAGE LANE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,2,2,,,,,,,,,CARRIAGE,LANE,LN,,,136315,,330,305,305,2014-03-05,-71.07554677895364,42.51846610068029,335100
M_235497_918059,235496.63800000,918058.78080000,BC,2867120,16,WHITE CIRCLE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,16,16,,,,,,,,,WHITE,CIRCLE,CIR,,,136190,,330,305,305,2014-03-05,-71.06806702866481,42.512264263121686,335100
M_236905_918357,236905.41840000,918357.13780000,BC,2879069,585,LOWELL STREET,,,,,4,,,01880,,WAKEFIELD,WAKEFIELD,MA,,585,585,,,,,,,,,LOWELL,STREET,ST,,,135925,,330,305,305,2015-03-31,-71.05090579257187,42.51488467001869,335302
M_235738_917570,235737.83120000,917570.27140000,BC,2872802,103,VERNON STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,103,103,,,,,,,,,VERNON,STREET,ST,,,136157,,330,305,305,2014-03-05,-71.06516247711929,42.507855506209836,335100
M_235504_918427,235504.19960000,918427.28840000,BC,2867723,52,CORDIS STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,52,52,,,,,,,,,CORDIS,STREET,ST,,,136347,,330,305,305,2014-03-05,-71.06795230556826,42.51558134348574,335100
M_234672_916886,234671.82060000,916885.83140000,BMP,2869304,13,EMERSON STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,13,13,,,,,,,,,EMERSON,STREET,ST,,,136394,,330,305,305,2014-03-05,-71.07817405526053,42.50174213024579,335200
M_234071_917050,234070.92280000,917050.04920000,BMP,2871677,127,CHESTNUT STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,127,127,,,,,,,,,CHESTNUT,STREET,ST,,,136331,,330,305,305,2014-03-05,-71.08547490092306,42.503246998988004,335200
M_235222_917017,235221.59180000,917016.92280000,BMP,2878530,9,FOSTER STREET,,,,,C,,,01880,,WAKEFIELD,WAKEFIELD,MA,,9,9,,,,,,,,,FOSTER,STREET,ST,,,136423,,330,305,305,2014-03-05,-71.07147750195998,42.50289759115278,335100
M_236905_918357,236905.41840000,918357.13780000,BC,2879066,583,LOWELL STREET,,,,,1A,,,01880,,WAKEFIELD,WAKEFIELD,MA,,583,583,,,,,,,,,LOWELL,STREET,ST,,,135925,,330,305,305,2014-03-05,-71.05090579257187,42.51488467001869,335302
M_236905_918357,236905.41840000,918357.13780000,BC,2879071,585,LOWELL STREET,,,,,6,,,01880,,WAKEFIELD,WAKEFIELD,MA,,585,585,,,,,,,,,LOWELL,STREET,ST,,,135925,,330,305,305,2015-03-31,-71.05090579257187,42.51488467001869,335302
M_236087_914288,236086.64640000,914288.47920000,BC,2875299,18,MOREL CIRCLE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,18,18,,,,,,,,,MOREL,CIRCLE,CIR,,,135966,,330,305,305,2014-03-05,-71.06112382376331,42.478295508041825,335400
M_235527_916779,235527.29920000,916779.43060000,BC,2872950,16,HAMILTON ROAD,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,16,16,,,,,,,,,HAMILTON,ROAD,RD,,,136456,,330,305,305,2015-03-31,-71.06777282671548,42.50074571584907,335301
M_234604_915768,234604.18000000,915768.17880000,PC,2874755,58,WEST PARK DRIVE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,58,58,,,,,,,WEST,,PARK,DRIVE,DR,,,136183,,330,305,305,2014-03-05,-71.07906407796519,42.491683614097624,335200
M_235884_913919,235883.70720000,913919.49340000,BC,2874762,59,TAMWORTH HILL AVENUE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,59,59,,,,,,,,,TAMWORTH HILL,AVENUE,AVE,,,136133,,330,305,305,2014-03-05,-71.0636148314887,42.474983119960136,335400
M_235786_914583,235785.74920000,914582.87140000,BC,2876304,1014,MAIN STREET,,,,,B,,,01880,,WAKEFIELD,WAKEFIELD,MA,,1014,1014,,,,,,,,,MAIN,STREET,ST,,,135935,,330,305,305,2014-03-05,-71.06476492260273,42.48095962553052,335400
M_233786_917716,233785.54100000,917715.51260000,BC,2868090,106,ELM STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,106,106,,,,,,,,,ELM,STREET,ST,,,136390,,330,305,305,2014-03-05,-71.08890793382218,42.50925016959317,335200
M_235786_914583,235785.74920000,914582.87140000,BC,2876306,1014,MAIN STREET,,,,,RIGHT,,,01880,,WAKEFIELD,WAKEFIELD,MA,,1014,1014,,,,,,,,,MAIN,STREET,ST,,,135935,,330,305,305,2014-03-05,-71.06476492260273,42.48095962553052,335400
M_235948_914855,235948.00760000,914854.82700000,BMP,2869503,20,FRANCIS AVENUE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,20,20,,,,,,,,,FRANCIS,AVENUE,AVE,,,136427,,330,305,305,2014-03-05,-71.0627745760638,42.48340040759572,335400
M_237000_916733,236999.56700000,916733.06620000,BC,2877519,436,WATER STREET,,,,,1,,,01880,,WAKEFIELD,WAKEFIELD,MA,,436,436,,,,,,,,,WATER,STREET,ST,,,136174,,330,305,305,2014-03-05,-71.04986443437323,42.500259772818055,335302
M_235202_916912,235201.89460000,916911.73520000,BC,2873247,19,WEST WATER STREET,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,19,19,,,,,,,WEST,,WATER,STREET,ST,,,136186,,330,305,305,2014-03-05,-71.07172356906418,42.50195154568422,335100
M_236076_914359,236076.04800000,914358.94440000,BMP,2871401,74,MADISON AVENUE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,74,74,,,,,,,,,MADISON,AVENUE,AVE,,,135932,,330,305,305,2014-03-05,-71.06124830825523,42.478930355197264,335400
M_236514_916651,236513.73780000,916650.86000000,BC,2867301,30,MILLBROOK LANE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,30,30,,,,,,,,,MILLBROOK,LANE,LN,,,135958,,330,305,305,2014-03-05,-71.05578011806347,42.49954265331334,335301
M_237042_916729,237041.50220000,916729.23420000,BC,2877544,442,WATER STREET,,,,,2A,,,01880,,WAKEFIELD,WAKEFIELD,MA,,442,442,,,,,,,,,WATER,STREET,ST,,,136174,,330,305,305,2014-03-05,-71.04935450784636,42.500223282399965,335302
M_235500_918549,235500.18440000,918549.43020000,BC,2870730,22,JACKSON LANE,,,,,,,,01880,,WAKEFIELD,WAKEFIELD,MA,,22,22,,,,,,,,,JACKSON,LANE,LN,,,135878,,330,305,305,2014-03-05,-71.06799363747018,42.516681086069866,335100
M_235786_914583,235785.74920000,914582.87140000,BC,2876305,1014,MAIN STREET,,,,,LEFT,,,01880,,WAKEFIELD,WAKEFIELD,MA,,1014,1014,,,,,,,,,MAIN,STREET,ST,,,135935,,330,305,305,2014-03-05,-71.06476492260273,42.48095962553052,335400
M_236514_916651,236513.73780000,916650.86000000,BC,2877795,30,MILLBROOK LANE,,,,,1,,,01880,,WAKEFIELD,WAKEFIELD,MA,,30,30,,,,,,,,,MILLBROOK,LANE,LN,,,135958,,330,305,305,2014-03-05,-71.05578011806347,42.49954265331334,335301
