ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_138021_868125,138021.01680000,868124.74580000,BMP,1008115,18,WOODLAND DRIVE,,,,,,,,01081,,WALES,WALES,MA,,18,18,,,,,,,,,WOODLAND,DRIVE,DR,,,43586,,331,306,306,2013-12-19,-72.2488302072284,42.06107294731723,813801
M_140471_867751,140470.78240000,867750.57280000,PC,1007541,82R,UNION ROAD,,,,,,,,01081,,WALES,WALES,MA,,82,82,R,,,,,,,,UNION,ROAD,RD,,,43576,,331,306,306,2013-12-19,-72.21919544873644,42.05789409297478,813801
M_140101_871488,140100.50340000,871487.66960000,PC,1007487,101,HOLLOW ROAD,,,,,,,,01081,,WALES,WALES,MA,,101,101,,,,,,,,,HOLLOW,ROAD,RD,,,43521,,331,306,306,2013-12-19,-72.22405196766248,42.091510682835775,813801
M_141683_869592,141682.97700000,869591.98800000,BMP,1008597,9,SIZER DRIVE,,,,,,,,01081,,WALES,WALES,MA,,9,9,,,,,,,,,SIZER,DRIVE,DR,,,43563,,331,306,306,2013-12-19,-72.20473493554087,42.07456334213998,813801
M_136411_868622,136410.66580000,868622.46980000,BMP,1007586,14,LYNCH ROAD,,,,,,,,01081,,WALES,WALES,MA,,14,14,,,,,,,,,LYNCH,ROAD,RD,,,43530,,331,306,306,2013-12-19,-72.26833960005095,42.06542496746952,813801
M_136364_868199,136364.35100000,868199.20160000,BC,1008680,162A,MONSON ROAD,,,,,LEFT,,,01081,,WALES,WALES,MA,,162,162,A,,,,,,,,MONSON,ROAD,RD,,,43536,,331,306,306,2013-12-19,-72.268853085388,42.06161057176037,813801
M_140873_867062,140873.10520000,867062.46980000,BMP,1008271,141,UNION ROAD,,,,,,,,01081,,WALES,WALES,MA,,141,141,,,,,,,,,UNION,ROAD,RD,,,43576,,331,306,306,2013-12-19,-72.21426544666662,42.05172957197601,813801
M_138691_868480,138691.21120000,868480.47920000,PC,1008048,77,MONSON ROAD,,,,,,,,01081,,WALES,WALES,MA,,77,77,,,,,,,,,MONSON,ROAD,RD,,,43536,,331,306,306,2013-12-19,-72.24077065208404,42.064328272692336,813801
M_137702_869302,137702.49100000,869302.14840000,BMP,1008207,66,MCBRIDE ROAD,,,,,,,,01081,,WALES,WALES,MA,,66,66,,,,,,,,,MCBRIDE,ROAD,RD,,,43535,,331,306,306,2013-12-19,-72.25280398416379,42.07164774949407,813801
M_140348_869416,140347.62620000,869415.81720000,BMP,1007396,4,HAYNES HILL ROAD,,,,,,,,01081,,WALES,WALES,MA,,4,4,,,,,,,,,HAYNES HILL,ROAD,RD,,,43513,,331,306,306,2013-12-19,-72.22085329654752,42.07287682111172,813801
