ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_262274_838253,262274.30780000,838253.34270000,BC,3742098,64,CREST DRIVE,,ROYAL CREST,,,,,,02576,,WAREHAM,WAREHAM,MA,,64,64,,,,,,,,,CREST,DRIVE,DR,,,169189,16715,335,310,310,2017-03-17,-70.75077193240745,41.79211610286687,545100
M_263028_837572,263028.01540000,837571.90390000,BC,3744850,127,DOOLITTLE LANE,,,,,,,,02576,,WAREHAM,WAREHAM,MA,,127,127,,,,,,,,,DOOLITTLE,LANE,LN,,,169230,,335,310,310,2017-03-15,-70.74177735677647,41.78592105399725,545100
M_262436_837997,262435.85840000,837997.36350000,BC,3752144,67,TREASURE BOAT WAY,,GREENTREE ESTATES,,,,,,02576,,WAREHAM,WAREHAM,MA,,67,67,,,,,,,,,TREASURE BOAT,WAY,WAY,,,170326,18110,335,310,310,2017-03-17,-70.74885552249597,41.78979869482799,545100
M_263889_834050,263889.49840000,834049.75870000,BC,3757387,8,SWIFTS BEACH ROAD,,SWIFT BEACH,,,42,,,02571,,WAREHAM,WAREHAM,MA,,8,8,,,,,,,,,SWIFTS BEACH,ROAD,RD,,,170281,17909,335,310,310,2017-03-17,-70.73179593143671,41.75414131150335,545400
M_262071_838450,262071.31060000,838449.65150000,BC,3748430,89,CASTLE DRIVE,,ROYAL CREST,,,,,,02576,,WAREHAM,WAREHAM,MA,,89,89,,,,,,,,,CASTLE,DRIVE,DR,,,169780,16715,335,310,310,2017-03-17,-70.75319340762199,41.79389952587453,545100
M_260663_836126,260663.26120000,836126.13800000,BC,3739553,25,FARMERS LANE,,,,,,,,02576,,WAREHAM,WAREHAM,MA,,25,25,,,,,,,,,FARMERS,LANE,LN,,,169837,,335,310,310,2014-03-17,-70.77037254294599,41.77309030237073,545100
M_264820_834880,264819.92420000,834880.42220000,BC,3756739,376,MAIN STREET,,,,,3,,,02571,,WAREHAM,WAREHAM,MA,,376,376,,,,,,,,,MAIN,STREET,ST,,,169511,,335,310,310,2014-03-17,-70.72051788540492,41.76154388129036,545400
M_270818_834375,270818.14880000,834374.83260000,BMP,3751595,3074,CRANBERRY HIGHWAY,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,3074,3074,,,,,,,,,CRANBERRY,HIGHWAY,HWY,,,169184,,335,310,310,2014-03-17,-70.64845243638325,41.75647568045772,545200
M_267648_835081,267648.12140000,835080.70140000,BC,3757141,6,LADD AVENUE,,,,,B,,,02571,,WAREHAM,WAREHAM,MA,,6,6,,,,,,,,,LADD,AVENUE,AVE,,,169854,,335,310,310,2014-03-17,-70.68648688074991,41.76310923849005,545200
M_269587_832895,269586.97920000,832894.70600000,BC,3747426,24,WEST BOULEVARD,,,,,,,,02558,,WAREHAM,WAREHAM,MA,,24,24,,,,,,,,,WEST,BOULEVARD,BLVD,,,170392,,335,310,310,2014-03-17,-70.66343013688696,41.74325970161498,545300
M_261661_833280,261661.23520000,833280.01400000,BC,3745141,165,BLACKMORE POND ROAD,,,,,,,,02576,,WAREHAM,WAREHAM,MA,,165,165,,,,,,,,,BLACKMORE POND,ROAD,RD,,,169693,,335,310,310,2014-03-17,-70.7586675197931,41.74738870996194,545100
M_265789_834319,265789.46940000,834319.08020000,BC,3753599,1,MAYFLOWER AVENUE,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,1,1,,,,,,,,,MAYFLOWER,AVENUE,AVE,,,169533,,335,310,310,2014-03-17,-70.70892203530889,41.756409688759526,545200
M_268783_834343,268782.78400000,834342.95880000,BC,3754660,31,ONSET AVENUE,OFF,,,,,,,02532,,WAREHAM,WAREHAM,MA,,31,31,,,,,,,,,ONSET,AVENUE,AVE,,,170002,,335,310,310,2014-03-17,-70.6729286885138,41.75636903698263,545300
M_268432_831804,268431.99240000,831803.59300000,BMP,3754766,30,GREAT NECK ROAD,OFF,,,,,,,02538,,WAREHAM,WAREHAM,MA,,30,30,,,,,,,,,GREAT NECK,ROAD,RD,,,169362,,335,310,310,2014-03-17,-70.67744093394901,41.73353746067747,545400
M_261982_834229,261981.56020000,834229.43320000,PC,3740237,78,BLACKMORE POND ROAD,,,,,,,,02576,,WAREHAM,WAREHAM,MA,,78,78,,,,,,,,,BLACKMORE POND,ROAD,RD,,,169693,,335,310,310,2014-03-17,-70.75471682121953,41.755911348785666,545100
M_269608_832705,269608.45440000,832704.92160000,BC,3751780,4,FIFTH STREET,,,,,,,,02558,,WAREHAM,WAREHAM,MA,,4,4,,,,,,,,,FIFTH,STREET,ST,,,169289,,335,310,310,2014-03-17,-70.66319436299322,41.74154916274225,545300
M_265962_834311,265962.10120000,834311.41440000,BC,3743755,11,MAYFLOWER AVENUE,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,11,11,,,,,,,,,MAYFLOWER,AVENUE,AVE,,,169533,,335,310,310,2014-03-17,-70.70684722054663,41.75632623875491,545200
M_269308_830223,269307.73940000,830222.66920000,PC,3739382,23,ELIZABETH LANE,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,23,23,,,,,,,,,ELIZABETH,LANE,LN,,,169258,,335,310,310,2014-03-17,-70.66710059003219,41.719227756130216,545400
M_270626_832892,270625.95400000,832892.12940000,BC,3751256,23,GROVE STREET,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,23,23,,,,,,,,,GROVE,STREET,ST,,,169370,,335,310,310,2014-03-17,-70.65094078086622,41.74314407436681,545300
M_271657_838309,271657.39200000,838309.48520000,PC,3754009,65,MULBERRY ROAD,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,65,65,,,,,,,,,MULBERRY,ROAD,RD,,,169938,,335,310,310,2014-03-17,-70.63788351987911,41.791823601473865,545200
M_267034_832476,267034.17440000,832476.27180000,BMP,3739112,156,INDIAN NECK ROAD,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,156,156,,,,,,,,,INDIAN NECK,ROAD,RD,,,169425,,335,310,310,2014-03-17,-70.69416544227997,41.73971378316169,545400
M_263159_833841,263158.94260000,833840.54880000,BMP,3754380,111,HATHAWAY STREET,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,111,111,,,,,,,,,HATHAWAY,STREET,ST,,,169386,,335,310,310,2014-03-17,-70.74060202560837,41.75231666510026,545100
M_264113_834372,264112.66400000,834371.58420000,BMP,3751910,5,BOURNE TERRACE,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,5,5,,,,,,,,,BOURNE,TERRACE,TER,,,169712,,335,310,310,2014-03-17,-70.72907777214198,41.757020621148975,545400
M_271097_838591,271096.88660000,838590.68920000,PC,3752237,26,OVERLOOK TERRACE,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,26,26,,,,,,,,,OVERLOOK,TERRACE,TER,,,170012,,335,310,310,2014-03-17,-70.6445926286458,41.7944060961022,545200
M_272028_839318,272027.70400000,839317.78480000,BMP,3750371,82,PURITAN AVENUE,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,82,82,,,,,,,,,PURITAN,AVENUE,AVE,,,170075,,335,310,310,2014-03-17,-70.63330531043825,41.80086755466036,545200
M_268122_832419,268121.68560000,832419.48540000,BC,3739756,10,CORY DRIVE,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,10,10,,,,,,,,,CORY,DRIVE,DR,,,169168,,335,310,310,2014-03-17,-70.6810995490114,41.73910927680966,545400
M_264773_832252,264772.64840000,832252.30840000,BC,3757700,54,PLEASANT STREET,,,,,A,,,02571,,WAREHAM,WAREHAM,MA,,54,54,,,,,,,,,PLEASANT,STREET,ST,,,170051,,335,310,310,2014-03-17,-70.72137485082929,41.73788653112352,545400
M_272575_833757,272574.59980000,833756.72020000,PC,3741698,1,WOODSIDE AVENUE,,,,,,,,02532,,WAREHAM,WAREHAM,MA,,1,1,,,,,,,,,WOODSIDE,AVENUE,AVE,,,170433,,335,310,310,2014-03-17,-70.62740961013503,41.75075096180905,545300
M_264820_834880,264819.92420000,834880.42220000,BC,3756737,376,MAIN STREET,,,,,1,,,02571,,WAREHAM,WAREHAM,MA,,376,376,,,,,,,,,MAIN,STREET,ST,,,169511,,335,310,310,2014-03-17,-70.72051788540492,41.76154388129036,545400
M_269280_836062,269279.67020000,836061.91640000,BC,3740779,117,GLEN CHARLIE ROAD,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,117,117,,,,,,,,,GLEN CHARLIE,ROAD,RD,,,169344,,335,310,310,2014-03-17,-70.66675240065526,41.77180139064096,545200
M_268531_834118,268531.12480000,834117.96220000,PC,3752552,384,ONSET AVENUE,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,384,384,,,,,,,,,ONSET,AVENUE,AVE,,,170002,,335,310,310,2014-03-17,-70.67598068503034,41.75436530476554,545300
M_271930_834092,271930.32080000,834092.32760000,BC,3746181,7,AZTEC DRIVE,,,,,,,,02532,,WAREHAM,WAREHAM,MA,,7,7,,,,,,,,,AZTEC,DRIVE,DR,,,169642,,335,310,310,2014-03-17,-70.63511455981792,41.753831525953096,545300
M_262978_832400,262978.32020000,832400.00820000,BMP,3746197,7,HARDING AVENUE,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,7,7,,,,,,,,,HARDING,AVENUE,AVE,,,169846,,335,310,310,2014-03-17,-70.74292737276643,41.739361723277085,545100
M_262379_832802,262379.47460000,832801.56420000,PC,3751957,50,BARLOW AVENUE,,,,,,,,02576,,WAREHAM,WAREHAM,MA,,50,50,,,,,,,,,BARLOW,AVENUE,AVE,,,169648,,335,310,310,2014-03-17,-70.7500833813232,41.74302462222858,545100
M_264746_832491,264745.53260000,832490.55780000,BMP,3744564,36,BAYVIEW STREET,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,36,36,,,,,,,,,BAYVIEW,STREET,ST,,,169873,,335,310,310,2014-03-17,-70.72167465591211,41.740033749460046,545400
M_264575_835274,264574.69180000,835273.58120000,BMP,3748683,473,MAIN STREET,,,,,,,,02571,,WAREHAM,WAREHAM,MA,,473,473,,,,,,,,,MAIN,STREET,ST,,,169511,,335,310,310,2014-03-17,-70.72342368330845,41.765103679058164,545400
M_269515_832559,269515.36420000,832558.76960000,BC,3741781,10,SECOND STREET,,,,,,,,02558,,WAREHAM,WAREHAM,MA,,10,10,,,,,,,,,SECOND,STREET,ST,,,169908,,335,310,310,2014-03-17,-70.66433059844478,41.740241562819634,545300
M_272011_834395,272010.63240000,834395.03120000,BC,3754575,45,RYDER STREET,,,,,,,,02532,,WAREHAM,WAREHAM,MA,,45,45,,,,,,,,,RYDER,STREET,ST,,,170153,,335,310,310,2014-03-17,-70.63411201747218,41.756549441157006,545300
M_271408_838240,271407.56740000,838240.17920000,BC,3744251,3,GLENVIEW CIRCLE,,,,,,,,02538,,WAREHAM,WAREHAM,MA,,3,3,,,,,,,,,GLENVIEW,CIRCLE,CIR,,,169350,,335,310,310,2014-03-17,-70.6408973763462,41.79122233201803,545200
