ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_143440_886476,143439.74480000,886475.86160000,BC,999731,574,OLD WEST BROOKFIELD ROAD,,,,,,,,01585,,WARREN,WARREN,MA,,574,574,,,,,,,,,OLD WEST BROOKFIELD,ROAD,RD,,,43159,,336,311,311,2013-12-19,-72.18514499302216,42.22669505449267,761100
M_141554_879578,141553.53700000,879577.69540000,BMP,1000177,1599,BRIMFIELD ROAD,,,,,,,,01010,,WARREN,WARREN,MA,,1599,1599,,,,,,,,,BRIMFIELD,ROAD,RD,,,43062,,336,311,311,2013-12-19,-72.20729971938839,42.164453799376844,761100
M_140375_882020,140374.65760000,882019.94440000,BC,999093,1092,REED STREET,,,,,,,,01083,,WARREN,WARREN,MA,,1092,1092,,,,,,,,,REED,STREET,ST,,,43178,,336,311,311,2013-12-19,-72.22181555790621,42.18635194433958,761100
M_141396_887490,141396.15160000,887489.58100000,BC,999556,777,COY HILL ROAD,,,,,,,,01083,,WARREN,WARREN,MA,,777,777,,,,,,,,,COY HILL,ROAD,RD,,,43080,,336,311,311,2013-12-19,-72.21000123419874,42.235670818193995,761100
M_140525_888327,140524.66340000,888327.34940000,BC,999089,1059,TOWN FARM ROAD,,,,,,,,01083,,WARREN,WARREN,MA,,1059,1059,,,,,,,,,TOWN FARM,ROAD,RD,,,43015,,336,311,311,2013-12-19,-72.22064479817632,42.2431471875235,761100
M_140647_882252,140646.61100000,882252.10520000,BC,998578,971,REED STREET,,,,,,,,01083,,WARREN,WARREN,MA,,971,971,,,,,,,,,REED,STREET,ST,,,43178,,336,311,311,2013-12-19,-72.21854716203377,42.1884627067125,761100
M_140378_887303,140377.76200000,887303.11640000,BC,998533,698,TOWN FARM ROAD,,,,,,,,01083,,WARREN,WARREN,MA,,698,698,,,,,,,,,TOWN FARM,ROAD,RD,,,43015,,336,311,311,2013-12-19,-72.22231958043477,42.23391515408838,761100
M_139265_885009,139265.11960000,885008.97880000,BC,999973,46,NORTH STREET,,,,,,,,01092,,WARREN,WARREN,MA,,46,46,,,,,,,,,NORTH,STREET,ST,,,43148,,336,311,311,2013-12-19,-72.23555883655963,42.213176109727044,761100
M_143322_884606,143321.81480000,884605.96600000,BC,1000785,342,WASHINGTON STREET,,,,,A,,,01585,,WARREN,WARREN,MA,,342,342,,,,,,,,,WASHINGTON,STREET,ST,,,43027,,336,311,311,2013-12-19,-72.18639120844661,42.209852317472894,761100
M_141396_887490,141396.15160000,887489.58100000,BC,1001113,777,COY HILL ROAD,,,,,A,,,01083,,WARREN,WARREN,MA,,777,777,,,,,,,,,COY HILL,ROAD,RD,,,43080,,336,311,311,2013-12-19,-72.21000123419874,42.235670818193995,761100
