ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_67937_902305,67936.72700000,902304.73840000,BMP,774439,651,SOUTH WASHINGTON STATE ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,651,651,,,,,,,SOUTH,,WASHINGTON STATE,ROAD,RD,,,32126,,338,313,313,2013-12-12,-73.10320398472575,42.360072134237384,932200
M_69110_902033,69110.28460000,902032.80580000,BMP,774417,208,HEARTWOOD ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,208,208,,,,,,,,,HEARTWOOD,ROAD,RD,,,32089,,338,313,313,2013-12-12,-73.08889921092013,42.35782209735452,932200
M_67330_903580,67330.16260000,903579.95100000,BC,774684,217,UPPER VALLEY ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,217,217,,,,,,,,,UPPER VALLEY,ROAD,RD,,,32136,,338,313,313,2013-12-12,-73.11085805253464,42.371447665455726,932200
M_66114_901310,66114.35060000,901309.64240000,BMP,774623,1193,WASHINGTON MOUNTAIN ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,1193,1193,,,,,,,,,WASHINGTON MOUNTAIN,ROAD,RD,,,32139,,338,313,313,2013-12-12,-73.12509158001912,42.350804637526394,932200
M_70724_900525,70724.25760000,900524.92820000,BMP,774485,70,RYAN ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,70,70,,,,,,,,,RYAN,ROAD,RD,,,32116,,338,313,313,2013-12-12,-73.0689746205549,42.344518260768346,932200
M_66060_901047,66060.24660000,901046.80660000,BMP,774650,55,WATSON ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,55,55,,,,,,,,,WATSON,ROAD,RD,,,32143,,338,313,313,2013-12-12,-73.12568733308633,42.348429526825264,932200
M_69921_900062,69921.48560000,900062.07560000,BMP,774744,61,MIDDLEFIELD ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,61,61,,,,,,,,,MIDDLEFIELD,ROAD,RD,,,32103,,338,313,313,2013-12-12,-73.0786114131852,42.34021865115825,932200
M_66848_900541,66848.40420000,900540.82040000,BC,774501,1565,WASHINGTON MOUNTAIN ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,1565,1565,,,,,,,,,WASHINGTON MOUNTAIN,ROAD,RD,,,32139,,338,313,313,2013-12-12,-73.11600706404634,42.344009879095275,932200
M_68816_900679,68815.64900000,900678.55520000,BC,774538,1273,SOUTH WASHINGTON STATE ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,1273,1273,,,,,,,SOUTH,,WASHINGTON STATE,ROAD,RD,,,32126,,338,313,313,2013-12-12,-73.09216819639713,42.34558271117567,932200
M_69784_904646,69784.45020000,904645.81520000,BMP,774551,223,OLD MIDDLEFIELD ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,223,223,,,,,,,,,OLD MIDDLEFIELD,ROAD,RD,,,32111,,338,313,313,2013-12-12,-73.08130523351318,42.3814551232345,932200
M_70548_900545,70548.16800000,900545.24680000,DBMP,774474,340,MIDDLEFIELD ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,340,340,,,,,,,,,MIDDLEFIELD,ROAD,RD,,,32103,,338,313,313,2013-12-12,-73.07111581736368,42.34467197531118,932200
M_70092_900164,70091.66260000,900164.15520000,BMP,774629,148,MIDDLEFIELD ROAD,,,,,,,,01223,,WASHINGTON,WASHINGTON,MA,,148,148,,,,,,,,,MIDDLEFIELD,ROAD,RD,,,32103,,338,313,313,2013-12-12,-73.07656953896075,42.3411658331327,932200
