ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_213568_898522,213567.76940000,898521.52230000,BC,1849087,14,CUTTING CROSS WAY,,THE HILLS OF MAINSTONE,,,,,,01778,,WAYLAND,WAYLAND,MA,,14,14,,,,,,,,,CUTTING CROSS,WAY,WAY,,,86961,18122,340,315,315,2016-01-27,-71.33536127990102,42.337068538617046,366202
M_211932_896875,211931.67360000,896875.16160000,PC,1852104,290,COMMONWEALTH ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,290,290,,,,,,,,,COMMONWEALTH,ROAD,RD,,,87274,,340,315,315,2014-02-09,-71.35524842204207,42.322273351043464,366100
M_212732_898321,212731.50480000,898320.70580000,BC,1851139,122,WOODRIDGE ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,122,122,,,,,,,,,WOODRIDGE,ROAD,RD,,,87264,,340,315,315,2014-02-09,-71.34551336164029,42.335274708999606,366202
M_213567_903640,213566.54980000,903639.66640000,BC,1853117,6,JERICHO LANE,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,6,6,,,,,,,,,JERICHO,LANE,LN,,,87048,,340,315,315,2014-02-09,-71.3352561247987,42.3831460098219,366201
M_211736_899456,211735.73540000,899455.69580000,BC,1853504,3,YEAGER WAY,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,3,3,,,,,,,,,YEAGER,WAY,WAY,,,87265,,340,315,315,2014-02-09,-71.35757320757435,42.34550840885225,366202
M_211062_896943,211062.26120000,896942.50160000,BC,1853282,14,KING STREET,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,14,14,,,,,,,,,KING,STREET,ST,,,87055,,340,315,315,2014-02-09,-71.36579457577206,42.322892401797304,366100
M_210580_897076,210579.74060000,897075.52380000,BMP,1853322,113,WEST PLAIN STREET,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,113,113,,,,,,,WEST,,PLAIN,STREET,ST,,,87244,,340,315,315,2014-02-09,-71.37164599406951,42.32409666581891,366100
M_212478_903853,212477.86460000,903853.03880000,BC,1851278,165,GLEZEN LANE,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,165,165,,,,,,,,,GLEZEN,LANE,LN,,,87008,,340,315,315,2014-02-09,-71.34847181932234,42.385085112304175,366201
M_211516_898988,211515.97760000,898988.26120000,BC,1853846,38,DAVELIN ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,38,38,,,,,,,,,DAVELIN,ROAD,RD,,,86967,,340,315,315,2014-02-09,-71.360249513646,42.34130345967991,366202
M_211030_896419,211029.92720000,896419.29660000,BC,1850022,23,DAMON STREET,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,23,23,,,,,,,,,DAMON,STREET,ST,,,86965,,340,315,315,2014-02-09,-71.36619680273719,42.31818252369035,366100
M_212889_903049,212888.94340000,903048.94500000,BC,1850992,58,SEARS ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,58,58,,,,,,,,,SEARS,ROAD,RD,,,87184,,340,315,315,2014-02-09,-71.34349770489105,42.377839395298395,366201
M_212471_896689,212471.45380000,896689.07380000,BC,1851454,24,OLD TAVERN ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,24,24,,,,,,,,,OLD TAVERN,ROAD,RD,,,87119,,340,315,315,2014-02-09,-71.34870398421184,42.32058959816549,366100
M_211074_899207,211074.16120000,899206.77600000,BC,1849903,2,OLD FARM ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,2,2,,,,,,,,,OLD FARM,ROAD,RD,,,87115,,340,315,315,2014-02-09,-71.36560692571598,42.3432770980933,366202
M_213004_901623,213003.82300000,901622.95240000,BC,1852206,35,RICH VALLEY ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,35,35,,,,,,,,,RICH VALLEY,ROAD,RD,,,87162,,340,315,315,2014-02-09,-71.34213484395968,42.364999642999685,366202
M_211360_902042,211360.43100000,902042.34680000,BMP,1849060,13,BOW ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,13,13,,,,,,,,,BOW,ROAD,RD,,,86916,,340,315,315,2014-02-09,-71.36207719417597,42.36880100111039,366201
M_211309_896615,211309.14500000,896614.52640000,BC,1849938,27,WINTER STREET,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,27,27,,,,,,,,,WINTER,STREET,ST,,,87258,,340,315,315,2014-02-09,-71.36280582957073,42.31993615525501,366100
M_211643_903409,211642.51740000,903409.23620000,BC,1850451,126,CONCORD ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,126,126,,,,,,,,,CONCORD,ROAD,RD,,,86950,,340,315,315,2014-02-09,-71.35862498794053,42.381102593233145,366201
M_211222_896741,211221.55240000,896741.31300000,BMP,1853236,15,EAST PLAIN STREET,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,15,15,,,,,,,EAST,,PLAIN,STREET,ST,,,86980,,340,315,315,2014-02-09,-71.36386598149856,42.321078859273584,366100
M_211220_903168,211219.67200000,903167.53980000,BC,1848791,66,GLEZEN LANE,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,66,66,,,,,,,,,GLEZEN,LANE,LN,,,87008,,340,315,315,2014-02-09,-71.36376427562723,42.37893286074702,366201
M_213300_903048,213300.27920000,903047.94420000,BC,1852045,2,OLD WESTON ROAD,,,,,,,,01778,,WAYLAND,WAYLAND,MA,,2,2,,,,,,,,,OLD WESTON,ROAD,RD,,,87120,,340,315,315,2014-02-09,-71.33850314895743,42.377823482356035,366201
