ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_169100_866639,169100.47160000,866639.17280000,BC,4196007,13,ROBINSON STREET,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,13,13,,,,,,,,,ROBINSON,STREET,ST,,,69648,,341,316,316,2015-01-22,-71.87325683075885,42.049538706672095,754300
M_173649_865579,173648.94240000,865578.69000000,BC,1537147,10,MIKES WAY,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,10,10,,,,,,,,,MIKES,WAY,WAY,,,69538,,341,316,316,2014-02-03,-71.81826545296902,42.04015696217001,754100
M_169530_868079,169530.06420000,868079.18350000,BC,1546280,52,HARTLEY STREET,,HARTLEY TERRACE,,,4A,,,01570,,WEBSTER,WEBSTER,MA,,52,52,,,,,,,,,HARTLEY,STREET,ST,,,69444,20758,341,316,316,2016-09-12,-71.86814262562412,42.062520195025485,754200
M_169530_868079,169530.06420000,868079.18350000,BC,1546288,52,HARTLEY STREET,,HARTLEY TERRACE,,,7A,,,01570,,WEBSTER,WEBSTER,MA,,52,52,,,,,,,,,HARTLEY,STREET,ST,,,69444,20758,341,316,316,2016-09-12,-71.86814262562412,42.062520195025485,754200
M_173296_864196,173296.22120000,864195.79280000,BMP,1542006,60,SUNNY AVENUE,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,60,60,,,,,,,,,SUNNY,AVENUE,AVE,,,69690,,341,316,316,2014-02-03,-71.82246240057198,42.02769449402961,754100
M_169099_868939,169098.90300000,868938.97640000,BC,1541730,2,RIVERSIDE DRIVE,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,2,2,,,,,,,,,RIVERSIDE,DRIVE,DR,,,69783,,341,316,316,2014-02-03,-71.87339739352302,42.0702441829056,754100
M_169299_867625,169298.83340000,867625.46560000,BC,1540603,12,SLATER STREET,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,12,12,,,,,,,,,SLATER,STREET,ST,,,69668,,341,316,316,2014-02-03,-71.87091251991498,42.05842627304595,754200
M_168173_865192,168172.54740000,865191.88880000,BC,1539219,35,CUSHING ROAD,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,35,35,,,,,,,,,CUSHING,ROAD,RD,,,69369,,341,316,316,2014-02-03,-71.88438693550373,42.036471424490514,754400
M_169174_867704,169173.51580000,867704.37140000,BMP,1543546,25,SLATER STREET,,,,,1,,,01570,,WEBSTER,WEBSTER,MA,,25,25,,,,,,,,,SLATER,STREET,ST,,,69668,,341,316,316,2014-02-03,-71.87243067286028,42.05913175973632,754200
M_169240_869837,169240.14000000,869836.51060000,BC,1537374,20,NANCY DRIVE,,,,,,,,01570,,WEBSTER,WEBSTER,MA,,20,20,,,,,,,,,NANCY,DRIVE,DR,,,69548,,341,316,316,2014-02-03,-71.87173802621173,42.078330380781956,754100
