ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_218467_895567,218466.85920000,895566.63150000,BC,3017841,332,WASHINGTON STREET,,,,,200,,,02481,,WELLESLEY,WELLESLEY,MA,,332,332,,,,,,,,,WASHINGTON,STREET,ST,,,142541,,342,317,317,2016-11-18,-71.27600744768202,42.31036567791331,404202
M_218467_895567,218466.85920000,895566.63150000,BC,3017840,332,WASHINGTON STREET,,,,,125,,,02481,,WELLESLEY,WELLESLEY,MA,,332,332,,,,,,,,,WASHINGTON,STREET,ST,,,142541,,342,317,317,2016-11-18,-71.27600744768202,42.31036567791331,404202
M_218467_895567,218466.85920000,895566.63150000,BC,3017830,326,WASHINGTON STREET,,,,,A,,,02481,,WELLESLEY,WELLESLEY,MA,,326,326,,,,,,,,,WASHINGTON,STREET,ST,,,142541,,342,317,317,2016-11-18,-71.27600744768202,42.31036567791331,404202
M_218467_895567,218466.85920000,895566.63150000,BC,3017837,330,WASHINGTON STREET,,,,,A,,,02481,,WELLESLEY,WELLESLEY,MA,,330,330,,,,,,,,,WASHINGTON,STREET,ST,,,142541,,342,317,317,2016-11-18,-71.27600744768202,42.31036567791331,404202
M_218588_895736,218587.61340000,895736.30780000,BC,3017686,310,WASHINGTON STREET,,,,,203,,,02481,,WELLESLEY,WELLESLEY,MA,,310,310,,,,,,,,,WASHINGTON,STREET,ST,,,142541,,342,317,317,2015-05-19,-71.27453733427043,42.311890383318094,404202
M_216561_894261,216561.32840000,894260.77120000,BC,3013529,43,CURVE STREET,,,,,,,,02482,,WELLESLEY,WELLESLEY,MA,,43,43,,,,,,,,,CURVE,STREET,ST,,,142753,,342,317,317,2014-03-06,-71.29915766370867,42.29865192044294,404302
M_218588_895736,218587.61340000,895736.30780000,BC,3017687,310,WASHINGTON STREET,,,,,206,,,02481,,WELLESLEY,WELLESLEY,MA,,310,310,,,,,,,,,WASHINGTON,STREET,ST,,,142541,,342,317,317,2015-05-19,-71.27453733427043,42.311890383318094,404202
M_218004_895641,218004.32840000,895640.53940000,BC,3014259,9,EDMUNDS ROAD,,,,,,,,02481,,WELLESLEY,WELLESLEY,MA,,9,9,,,,,,,,,EDMUNDS,ROAD,RD,,,142785,,342,317,317,2014-03-06,-71.28161536450595,42.311041857814246,404201
M_216449_893151,216449.15720000,893150.86160000,BC,3009998,4,SERVICE DRIVE,,,,,,,,02482,,WELLESLEY,WELLESLEY,MA,,4,4,,,,,,,,,SERVICE,DRIVE,DR,,,143070,,342,317,317,2014-03-06,-71.30054945402271,42.28866190141405,404400
M_216671_894238,216670.84860000,894237.85160000,BC,3012006,84,CREST ROAD,,,,,,,,02482,,WELLESLEY,WELLESLEY,MA,,84,84,,,,,,,,,CREST,ROAD,RD,,,142746,,342,317,317,2014-03-06,-71.29783015545667,42.298443248774184,404302
M_217839_896545,217839.39680000,896545.46420000,BMP,3007410,85,LEDGEWAYS,,,,,,,,02481,,WELLESLEY,WELLESLEY,MA,,85,85,,,,,,,,,LEDGEWAYS,,,,,142893,,342,317,317,2014-03-06,-71.28358805514016,42.31919253626155,404201
M_215278_895665,215277.84360000,895665.24120000,BMP,3008279,33,CAVANAGH ROAD,,,,,,,,02481,,WELLESLEY,WELLESLEY,MA,,33,33,,,,,,,,,CAVANAGH,ROAD,RD,,,142712,,342,317,317,2014-03-06,-71.31468566932797,42.31132233200571,404301
