ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_320866_855398,320866.41960000,855398.39680000,BMP,1846494,170,OLD CHEQUESSETT NECK ROAD,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,170,170,,,,,,,,,OLD CHEQUESSETT NECK,ROAD,RD,,,86362,,343,318,318,2014-02-09,-70.0424238750946,41.93964490033159,010206
M_322581_854226,322580.87100000,854225.78520000,BC,1845387,90,SANDPIPER HILL ROAD,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,90,90,,,,,,,,,SANDPIPER HILL,ROAD,RD,,,86607,,343,318,318,2014-02-09,-70.02199774464607,41.92882337251278,
M_320414_854345,320413.76680000,854344.68460000,PC,1846939,549,CHEQUESSETT NECK ROAD,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,549,549,,,,,,,,,CHEQUESSETT NECK,ROAD,RD,,,86724,,343,318,318,2014-02-09,-70.0480978173122,41.93022880134418,010206
M_325176_851346,325175.76840000,851345.75440000,BC,1845726,310,EASTWIND CIRCLE,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,310,310,,,,,,,,,EASTWIND,CIRCLE,CIR,,,86777,,343,318,318,2014-02-09,-69.99133072367961,41.90248824943247,010206
M_318513_857012,318513.04280000,857012.20180000,BMP,1845054,199,BOUND BROOK WAY,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,199,199,,,,,,,,,BOUND BROOK,WAY,WAY,,,86696,,343,318,318,2014-02-09,-70.07047267762565,41.95453109400232,010206
M_323100_855711,323100.11020000,855710.85320000,BC,1846292,35,QUEENS WAY,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,35,35,,,,,,,,,QUEENS,WAY,WAY,,,86428,,343,318,318,2014-02-09,-70.01542672789408,41.94211082000564,010206
M_322884_853436,322883.68780000,853436.24620000,BC,1846455,75,WILLIAMS WAY,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,75,75,,,,,,,,,WILLIAMS,WAY,WAY,,,86578,,343,318,318,2014-02-09,-70.01851263546389,41.92166861218784,
M_324378_850310,324377.55640000,850310.06200000,BC,1843548,98,CATBOAT ROAD,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,98,98,,,,,,,,,CATBOAT,ROAD,RD,,,86717,,343,318,318,2014-02-09,-70.00116843535966,41.89329161723575,010206
M_320845_856859,320845.12820000,856858.80280000,PC,1843480,60,OAK RIDGE DRIVE,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,60,60,,,,,,,,,OAK RIDGE,DRIVE,DR,,,86354,,343,318,318,2014-02-09,-70.0423796516232,41.95279484716575,010206
M_325707_848632,325707.28480000,848631.78060000,BC,1844469,196,VILLAGE LANE,,,,,,,,02667,,WELLFLEET,WELLFLEET,MA,,196,196,,,,,,,,,VILLAGE,LANE,LN,,,86514,,343,318,318,2014-02-09,-69.98550674329645,41.87797222369008,010206
