ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_126786_922186,126785.59480000,922186.23860000,BC,907671,9,DAVIS TURN ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,9,9,,,,,,,,,DAVIS TURN,ROAD,RD,,,37392,,344,319,319,2013-12-15,-72.39139331812846,42.54678634992313,040400
M_123183_927258,123183.26680000,927257.60380000,BC,907878,346,FARLEY ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,346,346,,,,,,,,,FARLEY,ROAD,RD,,,37400,,344,319,319,2013-12-15,-72.43592609141062,42.59209032313998,040400
M_124388_919310,124387.97080000,919309.68920000,BMP,907770,247,LOCKES VILLAGE ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,247,247,,,,,,,,,LOCKES VILLAGE,ROAD,RD,,,37419,,344,319,319,2013-12-15,-72.420204601472,42.52066277574702,040400
M_129658_925392,129657.91100000,925391.55180000,PC,908066,149,KENTFIELD ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,149,149,,,,,,,,,KENTFIELD,ROAD,RD,,,37412,,344,319,319,2013-12-15,-72.35681695825056,42.5759050763833,040400
M_124204_921644,124204.15260000,921643.59520000,BMP,908137,153,MONTAGUE ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,153,153,,,,,,,,,MONTAGUE,ROAD,RD,,,37426,,344,319,319,2013-12-15,-72.42274877589608,42.54165442313306,040400
M_126748_922051,126747.54280000,922051.49840000,BMP,907947,15,DAVIS TURN ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,15,15,,,,,,,,,DAVIS TURN,ROAD,RD,,,37392,,344,319,319,2013-12-15,-72.39183941970043,42.54556985560015,040400
M_126332_922281,126331.72280000,922280.67280000,BC,907696,2,CENTER STREET,,,,,,,,01379,,WENDELL,WENDELL,MA,,2,2,,,,,,,,,CENTER,STREET,ST,,,37383,,344,319,319,2013-12-15,-72.3969309425543,42.54759360158057,040400
M_123812_919062,123812.33020000,919062.13880000,BC,907715,163,WEST STREET,,,,,,,,01379,,WENDELL,WENDELL,MA,,163,163,,,,,,,,,WEST,STREET,ST,,,37468,,344,319,319,2013-12-15,-72.42717689787047,42.518378234338215,040400
M_126291_922547,126290.73700000,922547.01960000,BC,907912,11,WENDELL DEPOT ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,11,11,,,,,,,,,WENDELL DEPOT,ROAD,RD,,,37464,,344,319,319,2013-12-15,-72.39746403794882,42.54998733607257,040400
M_126271_923421,126271.36360000,923420.95340000,BMP,908044,68,WENDELL DEPOT ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,68,68,,,,,,,,,WENDELL DEPOT,ROAD,RD,,,37464,,344,319,319,2013-12-15,-72.39781190479442,42.55785251486585,040400
M_126094_924408,126094.13120000,924407.82660000,BC,908133,131,WENDELL DEPOT ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,131,131,,,,,,,,,WENDELL DEPOT,ROAD,RD,,,37464,,344,319,319,2013-12-15,-72.40009675810695,42.56671935408857,040400
M_123013_926381,123013.28260000,926380.92420000,BMP,908155,313,FARLEY ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,313,313,,,,,,,,,FARLEY,ROAD,RD,,,37400,,344,319,319,2013-12-15,-72.4378795491729,42.584181900493405,040400
M_124706_920866,124705.92780000,920865.73860000,BMP,907740,87,BULLARD PASTURE ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,87,87,,,,,,,,,BULLARD PASTURE,ROAD,RD,,,37380,,344,319,319,2013-12-15,-72.41653881736694,42.53470097135146,040400
M_128133_925080,128132.75940000,925079.68820000,PC,908042,63,NEW SALEM ROAD,,,,,,,,01379,,WENDELL,WENDELL,MA,,63,63,,,,,,,,,NEW SALEM,ROAD,RD,,,37433,,344,319,319,2013-12-15,-72.37535412189459,42.57295832626833,040400
