ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_252905_927824,252904.62520000,927823.53160000,PC,990505,7,DODGES ROW,,,,,,,,01984,,WENHAM,WENHAM,MA,,7,7,,,,,,,,,DODGES,ROW,ROW,,,42425,,345,320,320,2013-12-18,-70.85535052367169,42.59917915633672,216100
M_250773_929113,250773.38840000,929113.18580000,BC,991274,45,PORTER STREET,,,,,,,,01984,,WENHAM,WENHAM,MA,,45,45,,,,,,,,,PORTER,STREET,ST,,,42497,,345,320,320,2013-12-18,-70.88120497823954,42.61093066558133,216100
M_249994_928420,249994.48700000,928420.35760000,BMP,991303,19,MONUMENT STREET,,,,,,,,01984,,WENHAM,WENHAM,MA,,19,19,,,,,,,,,MONUMENT,STREET,ST,,,42474,,345,320,320,2013-12-18,-70.89075773708387,42.604744324943255,216100
M_250389_928721,250388.86360000,928720.64020000,BC,991454,4,ELLIS AVENUE,,,,,,,,01984,,WENHAM,WENHAM,MA,,4,4,,,,,,,,,ELLIS,AVENUE,AVE,,,42428,,345,320,320,2013-12-18,-70.88592561067343,42.60742200202033,216100
M_256406_926400,256406.38240000,926400.16620000,BC,990320,27,PARSONS HILL ROAD,,,,,,,,01984,,WENHAM,WENHAM,MA,,27,27,,,,,,,,,PARSONS HILL,ROAD,RD,,,42491,,345,320,320,2013-12-18,-70.8128226894199,42.586119963935616,216100
M_249304_929322,249303.58680000,929321.78020000,BMP,990726,74,PLEASANT STREET,,,,,,,,01984,,WENHAM,WENHAM,MA,,74,74,,,,,,,,,PLEASANT,STREET,ST,,,42496,,345,320,320,2013-12-18,-70.89909951084813,42.61290302472121,216100
M_251686_927642,251685.66180000,927641.93060000,BMP,990405,100,LARCH ROW,,,,,,,,01984,,WENHAM,WENHAM,MA,,100,100,,,,,,,,,LARCH,ROW,ROW,,,42460,,345,320,320,2013-12-18,-70.87021953706649,42.59762636624292,216100
M_250377_929078,250376.52300000,929077.98400000,BMP,990851,11,PORTER STREET,,,,,,,,01984,,WENHAM,WENHAM,MA,,11,11,,,,,,,,,PORTER,STREET,ST,,,42497,,345,320,320,2013-12-18,-70.88604465141616,42.61063959740939,216100
M_249360_929635,249360.06320000,929634.96200000,BC,989935,13,LONGFELLOW ROAD,,,,,,,,01984,,WENHAM,WENHAM,MA,,13,13,,,,,,,,,LONGFELLOW,ROAD,RD,,,42467,,345,320,320,2013-12-18,-70.89838429083707,42.61571869044679,216100
M_251844_928759,251843.85740000,928759.14260000,BC,990030,4,CHESTNUT STREET,,,,,,,,01984,,WENHAM,WENHAM,MA,,4,4,,,,,,,,,CHESTNUT,STREET,ST,,,42418,,345,320,320,2013-12-18,-70.8681911893817,42.607672940379594,216100
