ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_175819_902454,175818.51200000,902454.08160000,BC,1548611,28,LYNWOOD LANE,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,28,28,,,,,,,,,LYNWOOD,LANE,LN,,,69892,,347,321,321,2014-02-03,-71.79359483599521,42.37221577030574,729100
M_176855_898207,176855.74480000,898207.22660000,BC,1547405,8,HILLSIDE VILLAGE DRIVE,,HILLSIDE VILLAGE,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,8,8,,,,,,,,,HILLSIDE VILLAGE,DRIVE,DR,,,69865,16088,347,321,321,2014-02-03,-71.78083180343256,42.33401386048515,729100
M_176966_904440,176965.51700000,904440.12280000,BC,1547139,180,PRESCOTT STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,180,180,,,,,,,,,PRESCOTT,STREET,ST,,,69935,,347,321,321,2014-02-03,-71.77974788435081,42.39013018570089,729100
M_175227_898361,175227.47860000,898360.97760000,BMP,1548849,574,PROSPECT STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,574,574,,,,,,,,,PROSPECT,STREET,ST,,,69936,,347,321,321,2014-02-03,-71.80059556050452,42.33534808489156,729200
M_176536_899222,176536.25680000,899221.75900000,BMP,1548873,8,YORKTOWN ROAD,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,8,8,,,,,,,,,YORKTOWN,ROAD,RD,,,69996,,347,321,321,2014-02-03,-71.78474953028837,42.34313793187053,729200
M_176359_901686,176359.28800000,901685.82800000,BC,1546716,53,SCARLETT STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,53,53,,,,,,,,,SCARLETT,STREET,ST,,,69954,,347,321,321,2014-02-03,-71.7869977747269,42.365315973251086,729100
M_176742_899824,176742.00880000,899824.28020000,BC,1548868,78,PIERCE STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,78,78,,,,,,,,,PIERCE,STREET,ST,,,69928,,347,321,321,2014-02-03,-71.78227679714024,42.348568443169384,729200
M_177137_900826,177136.64400000,900825.69040000,BC,1547214,15,TEMPLE STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,15,15,,,,,,,,,TEMPLE,STREET,ST,,,69973,,347,321,321,2014-02-03,-71.77752678096795,42.35759554541959,729200
M_177045_897947,177045.41560000,897947.87220000,BC,1549087,134,HILLSIDE VILLAGE DRIVE,,HILLSIDE VILLAGE,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,134,134,,,,,,,,,HILLSIDE VILLAGE,DRIVE,DR,,,69865,16088,347,321,321,2014-02-03,-71.77852008322887,42.331684546807324,729100
M_175326_900240,175326.35940000,900240.35760000,BC,1548496,6,LEE STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,6,6,,,,,,,,,LEE,STREET,ST,,,69885,,347,321,321,2014-02-03,-71.79947579550719,42.3522708214748,729100
M_175414_905399,175413.52300000,905399.33260000,BC,1547641,132,HOSMER STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,132,132,,,,,,,,,HOSMER,STREET,ST,,,69871,,347,321,321,2014-02-03,-71.7986370903987,42.398718253439256,729100
M_176887_903371,176887.41680000,903370.64740000,BC,1547343,41,WINTHROP STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,41,41,,,,,,,,,WINTHROP,STREET,ST,,,69988,,347,321,321,2014-02-03,-71.78065364784445,42.380499728880146,729100
M_176540_899474,176540.24060000,899473.95260000,BC,1546654,364,WORCESTER STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,364,364,,,,,,,,,WORCESTER,STREET,ST,,,69994,,347,321,321,2014-02-03,-71.78471140019174,42.345408490972105,729200
M_176356_901900,176355.72200000,901900.37400000,BMP,1548861,64,NEWTON STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,64,64,,,,,,,,,NEWTON,STREET,ST,,,69908,,347,321,321,2014-02-03,-71.78704983083955,42.367247362540574,729200
M_177289_903327,177289.12920000,903327.06680000,BMP,1548831,28,PRESCOTT STREET,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,28,28,,,,,,,,,PRESCOTT,STREET,ST,,,69935,,347,321,321,2014-02-03,-71.77577402009271,42.38011918222915,729100
M_176277_899630,176276.96680000,899630.42640000,BC,1548601,22,CAROL DRIVE,,,,,,,,01583,,WEST BOYLSTON,WEST BOYLSTON,MA,,22,22,,,,,,,,,CAROL,DRIVE,DR,,,69818,,347,321,321,2014-02-03,-71.78791291902752,42.346809230937545,729200
