ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_241177_865572,241177.49700000,865571.71310000,BC,2906385,35,VICTORIAN WAY,,MATFIELD WOODS,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,35,35,,,,,,,,,VICTORIAN,WAY,WAY,,,137326,16125,348,322,322,2016-11-07,-71.00266610575498,42.039455950999184,524102
M_241555_864934,241554.99700000,864934.04620000,BC,2906900,32,VITAL AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,32,32,,,,,,,,,VITAL,AVENUE,AVE,,,137346,,348,322,322,2014-03-05,-70.99815215080106,42.03369504269546,524102
M_239691_864740,239691.23120000,864740.21800000,BMP,2906771,40,MAOLIS AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,40,40,,,,,,,,,MAOLIS,AVENUE,AVE,,,137233,,348,322,322,2014-03-05,-71.02067298810408,42.0320464905333,524101
M_239352_863947,239352.49300000,863946.73420000,BMP,2906067,57,FRANCIS AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,57,57,,,,,,,,,FRANCIS,AVENUE,AVE,,,137201,,348,322,322,2014-03-05,-71.02481702262378,42.0249196946693,524102
M_242313_864303,242313.18440000,864303.29620000,BMP,2907019,16,UNION STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,16,16,,,,,,,,,UNION,STREET,ST,,,137324,,348,322,322,2014-03-05,-70.9890415856373,42.02797578671586,524102
M_239373_864133,239372.95580000,864132.86620000,BC,2905859,16,FRANCIS AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,16,16,,,,,,,,,FRANCIS,AVENUE,AVE,,,137201,,348,322,322,2014-03-05,-71.02455741079444,42.02659444461708,524102
M_240012_865251,240012.40700000,865250.72520000,BC,2907243,59,TIFFANY CIRCLE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,59,59,,,,,,,,,TIFFANY,CIRCLE,CIR,,,137320,,348,322,322,2014-03-05,-71.01675949709413,42.03662634696071,524101
M_236153_865268,236152.64520000,865268.13740000,BC,2906075,6,COWEESET LANE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,6,6,,,,,,,,,COWEESET,LANE,LN,,,137183,,348,322,322,2014-03-05,-71.06337293474343,42.03697049304987,524101
M_241138_865660,241137.66340000,865660.10290000,BC,2906211,13,AMERICAN AVENUE,,MATFIELD WOODS,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,13,13,,,,,,,,,AMERICAN,AVENUE,AVE,,,137347,16125,348,322,322,2016-11-07,-71.00314097887193,42.04025382621979,524102
M_242265_866082,242265.22980000,866082.32760000,BC,2908761,7,TERESA ROAD,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,7,7,,,,,,,,,TERESA,ROAD,RD,,,137316,,348,322,322,2014-03-05,-70.98949207725003,42.04399522140551,524102
M_236088_864521,236087.97540000,864520.54560000,BMP,2907675,0,SOARES FARM ROAD,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,0,0,,,,,,,,,SOARES FARM,ROAD,RD,,,137298,,348,322,322,2014-03-05,-71.06420008967193,42.03024277048904,524101
M_242072_864611,242071.72560000,864611.11920000,BC,2907316,10,CORNERSTONE LANE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,10,10,,,,,,,,,CORNERSTONE,LANE,LN,,,137180,,348,322,322,2014-03-05,-70.99193514297444,42.03076014522744,524102
M_241457_861843,241456.53160000,861842.91380000,BMP,2907700,117,BEDFORD STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,117,117,,,,,,,,,BEDFORD,STREET,ST,,,137150,,348,322,322,2014-03-05,-70.9995602823711,42.005870313362124,524102
M_238753_865228,238753.46660000,865227.67060000,BC,2907943,5,ROBERTS WAY,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,5,5,,,,,,,,,ROBERTS,WAY,WAY,,,137285,,348,322,322,2014-03-05,-71.0319652734833,42.036481987963185,524101
M_240917_862073,240916.98340000,862072.66380000,BMP,2907062,207,SOUTH STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,207,207,,,,,,,,,SOUTH,STREET,ST,,,137301,,348,322,322,2014-03-05,-71.0060571949761,42.007967107054874,524101
M_242073_863264,242072.88740000,863264.18760000,BMP,2906303,250,EAST CENTER STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,250,250,,,,,,,EAST,,CENTER,STREET,ST,,,137190,,348,322,322,2014-03-05,-70.99201798311958,42.01863346456475,524102
M_239466_863635,239465.70300000,863634.87480000,BMP,2908481,134,NORTH ELM STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,134,134,,,,,,,NORTH,,ELM,STREET,ST,,,137247,,348,322,322,2014-03-05,-71.02347107355814,42.02210628693169,524102
M_242634_865032,242633.93420000,865031.89020000,BMP,2906871,73,THAYER AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,73,73,,,,,,,,,THAYER,AVENUE,AVE,,,137317,,348,322,322,2014-03-05,-70.9851153136369,42.03451804997178,524102
M_238745_864502,238744.57760000,864502.24800000,BC,2906925,5,MILL POND ROAD,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,5,5,,,,,,,,,MILL POND,ROAD,RD,,,137241,,348,322,322,2014-03-05,-71.03212068316982,42.02995133259874,524101
M_242332_866158,242331.50720000,866158.14880000,BMP,2908032,48,PLAIN STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,48,48,,,,,,,,,PLAIN,STREET,ST,,,137265,,348,322,322,2014-03-05,-70.98868606343048,42.04467427452672,524102
M_239652_862838,239651.83460000,862838.14640000,BMP,2908006,35,CHARLES STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,35,35,,,,,,,,,CHARLES,STREET,ST,,,137169,,348,322,322,2014-03-05,-71.02127766533661,42.01492382295475,524102
M_238950_865316,238950.12140000,865315.54360000,BMP,2907922,45,PROGRESSIVE AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,45,45,,,,,,,,,PROGRESSIVE,AVENUE,AVE,,,137268,,348,322,322,2014-03-05,-71.02958442236493,42.03726338212269,524101
M_239410_864426,239409.55280000,864425.61060000,BMP,2906359,304,NORTH ELM STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,304,304,,,,,,,NORTH,,ELM,STREET,ST,,,137247,,348,322,322,2014-03-05,-71.02409577494515,42.02922823167861,524101
M_241543_865702,241543.06560000,865702.01010000,BC,2906204,24,VICTORIAN WAY,,MATFIELD WOODS,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,24,24,,,,,,,,,VICTORIAN,WAY,WAY,,,137326,16125,348,322,322,2016-11-07,-70.99824168259705,42.0406097561566,524102
M_238773_861882,238772.95960000,861881.89780000,BMP,2907280,340,SOUTH ELM STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,340,340,,,,,,,SOUTH,,ELM,STREET,ST,,,137299,,348,322,322,2014-03-05,-71.03195158522773,42.00635846015392,524101
M_242023_864995,242023.01220000,864995.03700000,BC,2906433,5,ARBORVIEW TERRACE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,5,5,,,,,,,,,ARBORVIEW,TERRACE,TER,,,137143,,348,322,322,2014-03-05,-70.99249581486762,42.03421921994529,524102
M_238400_860980,238400.46680000,860980.45600000,BMP,2908589,359,PLEASANT STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,359,359,,,,,,,,,PLEASANT,STREET,ST,,,137266,,348,322,322,2014-03-05,-71.03650717941075,41.99826091903587,524101
M_241109_864626,241109.48480000,864625.80520000,BC,2908798,90,MATFIELD STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,90,90,,,,,,,,,MATFIELD,STREET,ST,,,137237,,348,322,322,2014-03-05,-71.0035540183719,42.03094337809005,524102
M_242097_865043,242097.47080000,865042.55620000,BC,2906162,1,ARBORVIEW TERRACE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,1,1,,,,,,,,,ARBORVIEW,TERRACE,TER,,,137143,,348,322,322,2014-03-05,-70.99159319276217,42.034643049424226,524102
M_241685_864982,241684.51140000,864981.51360000,BMP,2906138,9,VITAL AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,9,9,,,,,,,,,VITAL,AVENUE,AVE,,,137346,,348,322,322,2014-03-05,-70.99658469531724,42.0341155268975,524102
M_239374_864912,239374.18200000,864912.48260000,BC,2906411,42,SUNSET AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,42,42,,,,,,,,,SUNSET,AVENUE,AVE,,,137345,,348,322,322,2014-03-05,-71.02449012266399,42.03361339214013,524101
M_239462_864659,239462.21540000,864659.13700000,BC,2906324,354,NORTH ELM STREET,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,354,354,,,,,,,NORTH,,ELM,STREET,ST,,,137247,,348,322,322,2014-03-05,-71.0234440864194,42.03132805922026,524101
M_241394_864922,241394.03560000,864921.65120000,BC,2908221,31,NORMAN AVENUE,,,,,,,,02379,,WEST BRIDGEWATER,WEST BRIDGEWATER,MA,,31,31,,,,,,,,,NORMAN,AVENUE,AVE,,,137246,,348,322,322,2014-03-05,-71.0000968684288,42.03359195864551,524102
