ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_246206_949471,246203.66550000,949471.99070000,DBMP,2881046,51,ROGERS STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,51,51,,,,,,,,,ROGERS,STREET,ST,,,136625,,351,324,324,2016-10-11,-70.93525347680237,42.794480149642666,263100
M_241277_949489,241276.87100000,949489.18480000,BC,2881422,11,MAPLE STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,11,11,,,,,,,,,MAPLE,STREET,ST,,,136588,,351,324,324,2014-03-05,-70.99547086055671,42.79491290252425,263100
M_242422_949438,242422.48580000,949438.01340000,BMP,2881170,83,BACHELOR STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,83,83,,,,,,,,,BACHELOR,STREET,ST,,,136531,,351,324,324,2014-03-05,-70.98147209949204,42.79439043963608,263100
M_241979_948201,241979.03840000,948201.38640000,BC,2880040,42,GEORGETOWN ROAD,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,42,42,,,,,,,,,GEORGETOWN,ROAD,RD,,,136568,,351,324,324,2014-03-05,-70.9869831133861,42.783283076334676,263100
M_241133_947615,241133.45680000,947615.49580000,BC,2881153,7,HILLTOP CIRCLE,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,7,7,,,,,,,,,HILLTOP,CIRCLE,CIR,,,136575,,351,324,324,2014-03-05,-70.99735873726438,42.7780544800758,263100
M_239811_948570,239811.22900000,948570.11220000,BC,2881165,8,MEADOW SWEET ROAD,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,8,8,,,,,,,,,MEADOW SWEET,ROAD,RD,,,136590,,351,324,324,2014-03-05,-71.0134491562113,42.78671651004951,263100
M_246072_951578,246071.95340000,951578.20960000,BC,2880508,961,MAIN STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,961,961,,,,,,,,,MAIN,STREET,ST,,,136587,,351,324,324,2014-03-05,-70.93669332816069,42.81344695351978,263100
M_246572_948266,246571.63240000,948265.79700000,BMP,2880429,31,TURKEY HILL ROAD,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,31,31,,,,,,,,,TURKEY HILL,ROAD,RD,,,136639,,351,324,324,2014-03-05,-70.93085433186533,42.78360062026464,263100
M_244933_947081,244933.20480000,947081.00620000,BMP,2881652,121,MOULTON STREET,,,,,1,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,121,121,,,,,,,,,MOULTON,STREET,ST,,,136598,,351,324,324,2014-03-05,-70.95096997005915,42.77303238945513,263100
M_245753_948289,245753.49560000,948288.63560000,BMP,2879916,110,INDIAN HILL STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,110,110,,,,,,,,,INDIAN HILL,STREET,ST,,,136577,,351,324,324,2014-03-05,-70.94085055324462,42.783854910747785,263100
M_243458_949381,243457.64680000,949380.59600000,BC,2879974,2,AVON LANE,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,2,2,,,,,,,,,AVON,LANE,LN,,,136513,,351,324,324,2014-03-05,-70.96882407254311,42.793816261032234,263100
M_241864_950595,241863.79700000,950595.31660000,BMP,2881670,24,BRIDGE STREET,,,,,2,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,24,24,,,,,,,,,BRIDGE,STREET,ST,,,136538,,351,324,324,2014-03-05,-70.98821588524129,42.804838241259574,263100
M_244641_951733,244641.49480000,951733.06880000,BMP,2880024,34,WAY TO THE RIVER,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,34,34,,,,,,,,WAY,TO THE RIVER,,,,,136643,,351,324,324,2014-03-05,-70.95417047521742,42.81492462003879,263100
M_245382_950178,245382.48100000,950178.19420000,BMP,2880736,81,GARDEN STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,81,81,,,,,,,,,GARDEN,STREET,ST,,,136566,,351,324,324,2014-03-05,-70.94523437250773,42.80088551116799,263100
M_241314_949161,241313.79900000,949161.33520000,BC,2880771,10,NEWELL FARM DRIVE,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,10,10,,,,,,,,,NEWELL FARM,DRIVE,DR,,,136600,,351,324,324,2014-03-05,-70.9950432216832,42.79195979908004,263100
M_242922_950607,242922.32120000,950606.80840000,BMP,2880919,551,MAIN STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,551,551,,,,,,,,,MAIN,STREET,ST,,,136587,,351,324,324,2014-03-05,-70.97527490543233,42.80488379018853,263100
M_241547_949302,241546.64430000,949302.13500000,DBMP,2880707,46,MAPLE STREET,,,,,,,,01985,,WEST NEWBURY,WEST NEWBURY,MA,,46,46,,,,,,,,,MAPLE,STREET,ST,,,136588,,351,324,324,2016-10-11,-70.99218709798281,42.79321476454593,263100
