ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_107370_873813,107369.62320000,873813.22600000,BC,905665,60,SOUTHWORTH STREET,,,,,2,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,60,60,,,,,,,,,SOUTHWORTH,STREET,ST,,,37275,,353,325,325,2013-12-13,-72.62002733560423,42.10926155927481,812201
M_104003_875855,104002.95820000,875855.45220000,BC,898156,257,SAWMILL ROAD,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,257,257,,,,,,,,,SAWMILL,ROAD,RD,,,37255,,353,325,325,2013-12-13,-72.66106606831178,42.12724117241276,812401
M_103315_873138,103315.16840000,873137.95900000,BMP,898163,52,CRAIWELL AVENUE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,52,52,,,,,,,,,CRAIWELL,AVENUE,AVE,,,36862,,353,325,325,2013-12-13,-72.66893331459863,42.10269276443042,812401
M_108413_872752,108413.18920000,872751.69260000,BC,892126,38,MERRICK STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,38,38,,,,,,,,,MERRICK,STREET,ST,,,37145,,353,325,325,2013-12-13,-72.6072440188011,42.09982783341586,812300
M_108078_873060,108078.48340000,873059.62180000,BC,903861,18,DAY STREET,,,,,3F,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,18,18,,,,,,,,,DAY,STREET,ST,,,36870,,353,325,325,2015-09-01,-72.61133850815314,42.10256076156284,812300
M_107624_873700,107624.30600000,873700.15140000,BC,903868,18,RIVERDALE STREET,,,,,B,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,18,18,,,,,,,,,RIVERDALE,STREET,ST,,,36999,,353,325,325,2013-12-13,-72.6169303239464,42.108273679911015,812201
M_107226_873871,107225.59300000,873870.89080000,BC,898865,89,WARREN STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,89,89,,,,,,,,,WARREN,STREET,ST,,,37324,,353,325,325,2013-12-13,-72.62177782547417,42.109763641907975,812201
M_104693_876026,104693.07120000,876025.93480000,BC,898923,99,VINCENT DRIVE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,99,99,,,,,,,,,VINCENT,DRIVE,DR,,,37320,,353,325,325,2013-12-13,-72.65274816698783,42.12886018586804,812404
M_103387_873828,103387.39400000,873828.25680000,BC,894026,167,GREYSTONE AVENUE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,167,167,,,,,,,,,GREYSTONE,AVENUE,AVE,,,37036,,353,325,325,2013-12-13,-72.66817449909699,42.10891598237851,812401
M_104551_873698,104551.20040000,873698.47160000,BC,907087,86,OXFORD PLACE,,,,,B,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,86,86,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_104640_873553,104640.37720000,873552.53020000,BC,902638,1608,WESTFIELD STREET,,,,,1,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,1608,1608,,,,,,,,,WESTFIELD,STREET,ST,,,37337,,353,325,325,2013-12-13,-72.6529810656429,42.106587277639775,812403
M_107183_873712,107183.47840000,873711.54080000,BMP,902379,128,SOUTHWORTH STREET,,,,,1,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,128,128,,,,,,,,,SOUTHWORTH,STREET,ST,,,37275,,353,325,325,2013-12-13,-72.62226164403063,42.108324118365175,812201
M_107673_872066,107673.12980000,872065.73020000,PC,897762,1131,MEMORIAL AVENUE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,1131,1131,,,,,,,,,MEMORIAL,AVENUE,AVE,,,37141,,353,325,325,2013-12-13,-72.61608148647076,42.093565654089176,812300
M_106327_878721,106326.68840000,878720.75340000,BMP,899476,54,ALTHEA STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,54,54,,,,,,,,,ALTHEA,STREET,ST,,,37212,,353,325,325,2013-12-13,-72.63342481574907,42.15331698098149,812202
M_103576_872259,103575.70340000,872258.73760000,BMP,899523,97,ROBINSON ROAD,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,97,97,,,,,,,,,ROBINSON,ROAD,RD,,,37004,,353,325,325,2013-12-13,-72.6656385450361,42.09480978624349,812401
M_105226_873350,105225.99780000,873350.37860000,BMP,900791,24,DION DRIVE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,24,24,,,,,,,,,DION,DRIVE,DR,,,36876,,353,325,325,2013-12-13,-72.64586842270683,42.10483847853753,812403
M_104640_873553,104640.37720000,873552.53020000,BC,899323,1608,WESTFIELD STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,1608,1608,,,,,,,,,WESTFIELD,STREET,ST,,,37337,,353,325,325,2013-12-13,-72.6529810656429,42.106587277639775,812403
M_107142_872811,107142.47120000,872811.15800000,BC,897244,284,BLISS STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,284,284,,,,,,,,,BLISS,STREET,ST,,,36778,,353,325,325,2013-12-13,-72.62261413662698,42.10021362890477,812300
M_105558_879362,105558.09580000,879361.69300000,BC,895297,158,OVERLOOK DRIVE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,158,158,,,,,,,,,OVERLOOK,DRIVE,DR,,,37195,,353,325,325,2013-12-13,-72.64282739633421,42.158994604355485,812202
M_105300_874585,105299.80980000,874584.90560000,BMP,894004,16,RYAN DRIVE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,16,16,,,,,,,,,RYAN,DRIVE,DR,,,37252,,353,325,325,2013-12-13,-72.64517648768334,42.11596109337675,812404
M_103989_874236,103988.96480000,874235.66640000,BC,895884,282,UPPER VIRGINIA AVENUE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,282,282,,,,,,,,,UPPER VIRGINIA,AVENUE,AVE,,,37314,,353,325,325,2013-12-13,-72.66096865720816,42.112657574915026,812404
M_103151_873566,103150.55280000,873565.98040000,BC,895893,78,TATHAM HILL ROAD,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,78,78,,,,,,,,,TATHAM HILL,ROAD,RD,,,37245,,353,325,325,2013-12-13,-72.67099432949882,42.10652563900627,812401
M_104551_874314,104551.00940000,874314.45600000,BC,895919,29,HUMPHREY LANE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,29,29,,,,,,,,,HUMPHREY,LANE,LN,,,37079,,353,325,325,2013-12-13,-72.6541861181343,42.11343553911332,812404
M_105002_878201,105002.04920000,878200.55140000,BMP,897910,1528,PIPER ROAD,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,1528,1528,,,,,,,,,PIPER,ROAD,RD,,,36933,,353,325,325,2013-12-13,-72.64936589764582,42.1484743643047,812202
M_104842_874932,104841.53580000,874931.50140000,BMP,896399,112,AUTUMN ROAD,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,112,112,,,,,,,,,AUTUMN,ROAD,RD,,,37213,,353,325,325,2013-12-13,-72.65077410822467,42.11902575051235,812404
M_106095_873647,106095.16700000,873647.39020000,BMP,898230,48,OAKLAND STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,48,48,,,,,,,,,OAKLAND,STREET,ST,,,37184,,353,325,325,2013-12-13,-72.63540874758601,42.10761693815415,812403
M_104551_873698,104551.20040000,873698.47160000,BC,906833,77,OXFORD PLACE,,,,,D,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,77,77,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_104551_873698,104551.20040000,873698.47160000,BC,906856,78,OXFORD PLACE,,,,,A,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,78,78,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_104551_873698,104551.20040000,873698.47160000,BC,906872,79,OXFORD PLACE,,,,,B,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,79,79,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_106558_873965,106557.88460000,873965.36160000,BC,895146,135,HERRMAN STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,135,135,,,,,,,,,HERRMAN,STREET,ST,,,37056,,353,325,325,2013-12-13,-72.62986558273859,42.110534763681386,812201
M_105129_873138,105128.77640000,873137.54580000,BMP,895214,153,WILDER TERRACE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,153,153,,,,,,,,,WILDER,TERRACE,TER,,,37341,,353,325,325,2013-12-13,-72.64700913825624,42.10291070930606,812403
M_105770_874334,105770.41880000,874333.54040000,BMP,893177,262,AMOSTOWN ROAD,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,262,262,,,,,,,,,AMOSTOWN,ROAD,RD,,,36736,,353,325,325,2013-12-13,-72.63944565162906,42.11375494814061,812404
M_106632_873400,106631.98840000,873400.34520000,BMP,904550,338,WESTFIELD STREET,,,,,1,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,338,338,,,,,,,,,WESTFIELD,STREET,ST,,,37337,,353,325,325,2013-12-13,-72.62887923859891,42.10545708602324,812201
M_104630_875451,104629.80700000,875450.84120000,BC,894804,9,PAULSON DRIVE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,9,9,,,,,,,,,PAULSON,DRIVE,DR,,,37209,,353,325,325,2013-12-13,-72.65341920675263,42.123675289307926,812404
M_104863_876907,104863.20380000,876906.77980000,BC,894300,56,WOODBROOK TERRACE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,56,56,,,,,,,,,WOODBROOK,TERRACE,TER,,,37361,,353,325,325,2013-12-13,-72.6508343802557,42.136810542156674,812401
M_104551_873698,104551.20040000,873698.47160000,BC,907054,84,OXFORD PLACE,,,,,A,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,84,84,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_104551_873698,104551.20040000,873698.47160000,BC,907088,86,OXFORD PLACE,,,,,C,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,86,86,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_106237_878689,106237.01800000,878689.20800000,BMP,898630,82,ALTHEA STREET,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,82,82,,,,,,,,,ALTHEA,STREET,ST,,,37212,,353,325,325,2013-12-13,-72.6345046018814,42.153022265920995,812202
M_105190_875337,105189.88620000,875337.06000000,BC,893581,45,HERITAGE LANE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,45,45,,,,,,,,,HERITAGE,LANE,LN,,,37055,,353,325,325,2013-12-13,-72.64662785885974,42.122718974113525,812404
M_103174_873797,103174.47820000,873796.86860000,BMP,895222,155,OHIO AVENUE,,,,,,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,155,155,,,,,,,,,OHIO,AVENUE,AVE,,,37187,,353,325,325,2013-12-13,-72.67074340153874,42.10860713331081,812401
M_104551_873698,104551.20040000,873698.47160000,BC,906790,76,OXFORD PLACE,,,,,C,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,76,76,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
M_104551_873698,104551.20040000,873698.47160000,BC,906832,77,OXFORD PLACE,,,,,C,,,01089,,WEST SPRINGFIELD,WEST SPRINGFIELD,MA,,77,77,,,,,,,,,OXFORD,PLACE,PL,,,37196,,353,325,325,2015-09-02,-72.65408303306316,42.1078902399396,812403
