ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_47725_901396,47724.86700000,901396.17580000,BC,986786,6,DEER HILL ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,6,6,,,,,,,,,DEER HILL,ROAD,RD,,,42088,,354,326,326,2013-12-18,-73.3482585343511,42.34821291778895,934200
M_45733_893757,45733.48500000,893757.09340000,BC,986838,33,PIXLEY HILL ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,33,33,,,,,,,,,PIXLEY HILL,ROAD,RD,,,42127,,354,326,326,2013-12-18,-73.3703886132754,42.27906479728199,934200
M_45717_892723,45716.51880000,892722.68280000,BC,986535,66,PIXLEY HILL ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,66,66,,,,,,,,,PIXLEY HILL,ROAD,RD,,,42127,,354,326,326,2013-12-18,-73.370319291655,42.269750945601245,934200
M_46100_900117,46100.20440000,900116.90980000,BC,986409,7,SWAMP ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,7,7,,,,,,,,,SWAMP,ROAD,RD,,,42158,,354,326,326,2013-12-18,-73.36763188187399,42.33638007643391,934200
M_44837_892435,44836.76040000,892434.93080000,BMP,986172,286,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,286,286,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.38090390705885,42.266986801801714,934200
M_46144_900046,46144.16120000,900045.85860000,BC,986635,2,SWAMP ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,2,2,,,,,,,,,SWAMP,ROAD,RD,,,42158,,354,326,326,2013-12-18,-73.36707974922304,42.33574923086058,934200
M_45277_895045,45277.07220000,895045.49460000,BMP,985869,206,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,206,206,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.37626412481616,42.29057114217607,934200
M_46413_900161,46413.27820000,900161.11100000,BC,986240,22,LENOX ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,22,22,,,,,,,,,LENOX,ROAD,RD,,,42108,,354,326,326,2013-12-18,-73.36384554335258,42.33683956425023,934200
M_45272_895764,45271.79660000,895764.34480000,BMP,986113,176,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,176,176,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.37651982783802,42.29704027495002,934200
M_46250_901539,46250.39160000,901539.22240000,BC,985882,5,CONE HILL ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,5,5,,,,,,,,,CONE HILL,ROAD,RD,,,42083,,354,326,326,2013-12-18,-73.36618746247757,42.34921142085394,934200
M_45203_895353,45203.29420000,895353.03260000,BMP,986003,188,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,188,188,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.37724057804658,42.293324596419076,934200
M_43383_895080,43383.32700000,895080.40760000,BMP,986156,88,EAST ALFORD ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,88,88,,,,,,,EAST,,ALFORD,ROAD,RD,,,42091,,354,326,326,2013-12-18,-73.39923071012296,42.29050808607354,934200
M_45745_893817,45745.12140000,893817.11500000,BC,986301,31,PIXLEY HILL ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,31,31,,,,,,,,,PIXLEY HILL,ROAD,RD,,,42127,,354,326,326,2013-12-18,-73.37026352824525,42.27960733497153,934200
M_46819_898644,46818.94920000,898643.77740000,BC,986693,57,STOCKBRIDGE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,57,57,,,,,,,,,STOCKBRIDGE,ROAD,RD,,,42157,,354,326,326,2013-12-18,-73.35852294863271,42.323262187762076,934200
M_43136_896762,43136.08120000,896761.94880000,BMP,985852,140,WEST CENTER ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,140,140,,,,,,,WEST,,CENTER,ROAD,RD,,,42162,,354,326,326,2013-12-18,-73.40268276427855,42.305593472736625,934200
M_45936_893329,45935.76980000,893328.94080000,BC,986365,2,DUGWAY ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,2,2,,,,,,,,,DUGWAY,ROAD,RD,,,42089,,354,326,326,2013-12-18,-73.36782315936556,42.27525099478636,934200
M_42860_899469,42860.16340000,899469.35980000,PC,986778,50,WEST CENTER ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,50,50,,,,,,,WEST,,CENTER,ROAD,RD,,,42162,,354,326,326,2013-12-18,-73.4067623939222,42.329906385384916,934200
M_43987_895238,43986.62660000,895237.88700000,BMP,986142,61,EAST ALFORD ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,61,61,,,,,,,EAST,,ALFORD,ROAD,RD,,,42091,,354,326,326,2013-12-18,-73.39195948191279,42.2920462067291,934200
M_44826_892279,44825.90020000,892279.42500000,BMP,986082,292,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,292,292,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.38099394923643,42.2655849739123,934200
M_45677_894631,45676.55560000,894630.91620000,BC,986481,12,GLENDALE ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,12,12,,,,,,,,,GLENDALE,ROAD,RD,,,42094,,354,326,326,2013-12-18,-73.37131102390009,42.2869186291639,934200
M_43025_901261,43025.47340000,901260.78520000,BMP,985975,114,STATE LINE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,114,114,,,,,,,,,STATE LINE,ROAD,RD,,,42150,,354,326,326,2013-12-18,-73.4052426261187,42.346063503786574,934200
M_45286_892017,45285.95200000,892016.91900000,BMP,986161,91,PIXLEY HILL ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,91,91,,,,,,,,,PIXLEY HILL,ROAD,RD,,,42127,,354,326,326,2013-12-18,-73.3753491290911,42.26331340865566,934200
M_46337_900156,46336.86500000,900155.97900000,BMP,986630,19,LENOX ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,19,19,,,,,,,,,LENOX,ROAD,RD,,,42108,,354,326,326,2013-12-18,-73.36477119596674,42.33677833782724,934200
M_44864_893078,44863.80460000,893077.88900000,BC,986566,270,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,270,270,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.38074800811292,42.272779285230186,934200
M_45738_901669,45738.23620000,901669.29980000,BC,986088,31,IRON MINE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,31,31,,,,,,,,,IRON MINE,ROAD,RD,,,42054,,354,326,326,2013-12-18,-73.37243658076821,42.35028115981121,934200
M_45084_891721,45083.96400000,891720.91540000,BMP,985922,97,PIXLEY HILL ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,97,97,,,,,,,,,PIXLEY HILL,ROAD,RD,,,42127,,354,326,326,2013-12-18,-73.3777177403175,42.2606091390032,934200
M_46100_900200,46099.63620000,900199.62780000,BMP,986737,11,SWAMP ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,11,11,,,,,,,,,SWAMP,ROAD,RD,,,42158,,354,326,326,2013-12-18,-73.36766075121633,42.337124481897405,934200
M_46322_899879,46321.92680000,899878.66840000,BMP,985839,11,HOTEL STREET,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,11,11,,,,,,,,,HOTEL,STREET,ST,,,42100,,354,326,326,2013-12-18,-73.36487885433363,42.33427941399357,934200
M_45648_900452,45647.55680000,900452.01880000,BC,986169,27,ALBANY ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,27,27,,,,,,,,,ALBANY,ROAD,RD,,,42051,,354,326,326,2013-12-18,-73.3732124624667,42.33930692501432,934200
M_41816_896607,41816.36460000,896607.31060000,PC,985957,42,WEST ALFORD ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,42,42,,,,,,,WEST,,ALFORD,ROAD,RD,,,42161,,354,326,326,2013-12-18,-73.41864272131771,42.30393550889436,934200
M_44836_892123,44835.56280000,892122.59280000,BMP,986574,296,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,296,296,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.3808349452165,42.264175281098424,934200
M_42013_896825,42013.35620000,896825.12220000,PC,985949,36,WEST ALFORD ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,36,36,,,,,,,WEST,,ALFORD,ROAD,RD,,,42161,,354,326,326,2013-12-18,-73.41631351721298,42.30593581238281,934200
M_45989_891625,45989.00680000,891624.99140000,BMP,986645,22,HIGH STREET,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,22,22,,,,,,,,,HIGH,STREET,ST,,,42099,,354,326,326,2013-12-18,-73.36672590188964,42.259924579559446,934200
M_46003_898727,46003.33960000,898726.90580000,BMP,986649,24,GREAT BARRINGTON ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,24,24,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.3684375518091,42.32384999474983,934200
M_45826_900169,45825.85560000,900169.49100000,BMP,986709,3,STATE LINE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,3,3,,,,,,,,,STATE LINE,ROAD,RD,,,42150,,354,326,326,2013-12-18,-73.3709741352018,42.33679921726152,934200
M_42440_900784,42440.00980000,900783.54620000,BMP,985928,21,SMITH ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,21,21,,,,,,,,,SMITH,ROAD,RD,,,42145,,354,326,326,2013-12-18,-73.41221634579027,42.341650146199775,934200
M_46166_900337,46165.87740000,900337.02920000,BMP,986235,20,SWAMP ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,20,20,,,,,,,,,SWAMP,ROAD,RD,,,42158,,354,326,326,2013-12-18,-73.36689362640514,42.33837424073949,934200
M_42893_901692,42893.29100000,901691.74280000,BMP,986040,6,BRYAN ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,6,6,,,,,,,,,BRYAN,ROAD,RD,,,42074,,354,326,326,2013-12-18,-73.40696334783188,42.349915772041044,934200
M_43506_898308,43506.28940000,898307.79620000,BC,986803,87,WEST CENTER ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,87,87,,,,,,,WEST,,CENTER,ROAD,RD,,,42162,,354,326,326,2013-12-18,-73.39861110127917,42.31958134992307,934200
M_44265_898380,44264.64060000,898380.15600000,BMP,985891,55,MAPLE HILL ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,55,55,,,,,,,,,MAPLE HILL,ROAD,RD,,,42112,,354,326,326,2013-12-18,-73.38943310195334,42.320384224873116,934200
M_42909_894309,42909.44400000,894309.47660000,BMP,986103,106,EAST ALFORD ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,106,106,,,,,,,EAST,,ALFORD,ROAD,RD,,,42091,,354,326,326,2013-12-18,-73.4047666656603,42.28347405364494,934200
M_45727_901227,45727.36920000,901227.03860000,BC,986629,19,IRON MINE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,19,19,,,,,,,,,IRON MINE,ROAD,RD,,,42054,,354,326,326,2013-12-18,-73.37245061699083,42.34629837990974,934200
M_45512_894836,45512.46520000,894836.47340000,BC,986146,7,GLENDALE ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,7,7,,,,,,,,,GLENDALE,ROAD,RD,,,42094,,354,326,326,2013-12-18,-73.37335486402178,42.28873637301964,934200
M_46550_899095,46549.84120000,899094.58320000,BC,985952,39,STOCKBRIDGE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,39,39,,,,,,,,,STOCKBRIDGE,ROAD,RD,,,42157,,354,326,326,2013-12-18,-73.36190633468777,42.327266926800775,934200
M_45668_900403,45668.38260000,900403.19180000,BMP,986763,25,ALBANY ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,25,25,,,,,,,,,ALBANY,ROAD,RD,,,42051,,354,326,326,2013-12-18,-73.37294679348742,42.33887156703855,934200
M_42908_901883,42908.08260000,901882.88660000,BMP,986519,5,CROSS ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,5,5,,,,,,,,,CROSS,ROAD,RD,,,28807,,354,326,326,2013-12-18,-73.40683572551443,42.351639148449046,934200
M_46170_899459,46169.58920000,899458.79860000,BC,986422,9,OLD GREAT BARRINGTON ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,9,9,,,,,,,,,OLD GREAT BARRINGTON,ROAD,RD,,,42123,,354,326,326,2013-12-18,-73.36661539331057,42.33047030199668,934200
M_45600_900438,45600.43460000,900438.07280000,BMP,986227,19,WASHINGTON SQUARE,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,19,19,,,,,,,,,WASHINGTON,SQUARE,SQ,,,42160,,354,326,326,2013-12-18,-73.37378043342697,42.33917208454648,934200
M_46003_891477,46003.11800000,891477.21620000,BC,986268,7A,HIGH STREET,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,7,7,A,,,,,,,,HIGH,STREET,ST,,,42099,,354,326,326,2014-11-19,-73.36651572944196,42.25859726222547,934200
M_43152_899390,43152.43340000,899390.40760000,PC,986651,49,WEST CENTER ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,49,49,,,,,,,WEST,,CENTER,ROAD,RD,,,42162,,354,326,326,2013-12-18,-73.40319574387732,42.329254529439595,934200
M_46050_899910,46050.02800000,899910.31520000,BMP,985831,1,DEPOT STREET,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,1,1,,,,,,,,,DEPOT,STREET,ST,,,42053,,354,326,326,2013-12-18,-73.36818569391883,42.334510694416686,934200
M_45126_891810,45126.40500000,891810.26740000,BC,985921,95,PIXLEY HILL ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,95,95,,,,,,,,,PIXLEY HILL,ROAD,RD,,,42127,,354,326,326,2013-12-18,-73.37722731619066,42.261421787068166,934200
M_45181_893743,45181.14620000,893743.15540000,PC,986695,251,GREAT BARRINGTON ROAD,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,251,251,,,,,,,,,GREAT BARRINGTON,ROAD,RD,,,42095,,354,326,326,2013-12-18,-73.37707951229889,42.27883011661792,934200
M_43398_897083,43398.16800000,897083.00660000,BC,986796,7,MAPLE VIEW DRIVE,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,7,7,,,,,,,,,MAPLE VIEW,DRIVE,DR,,,42114,,354,326,326,2013-12-18,-73.39959154459788,42.30853578797103,934200
M_43582_901866,43582.30080000,901865.86360000,BC,985864,19,CROSS ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,19,19,,,,,,,,,CROSS,ROAD,RD,,,28807,,354,326,326,2013-12-18,-73.39864994325522,42.351621324041105,934200
M_46309_899461,46308.51800000,899461.29160000,BC,986753,19,STOCKBRIDGE ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,19,19,,,,,,,,,STOCKBRIDGE,ROAD,RD,,,42157,,354,326,326,2013-12-18,-73.36493079641448,42.33052009763534,934200
M_43420_895089,43420.45500000,895088.68500000,BC,986155,82,EAST ALFORD ROAD,,,,,,,,01266,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,82,82,,,,,,,EAST,,ALFORD,ROAD,RD,,,42091,,354,326,326,2013-12-18,-73.39878285589391,42.290590029601724,934200
M_46003_891477,46003.11800000,891477.21620000,BC,986792,7,HIGH STREET,,,,,,,,01236,,WEST STOCKBRIDGE,WEST STOCKBRIDGE,MA,,7,7,,,,,,,,,HIGH,STREET,ST,,,42099,,354,326,326,2013-12-18,-73.36651572944196,42.25859726222547,934200
