ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_270132_795915,270131.51280000,795914.55640000,BMP,1751800,57,DOCTOR FISHER ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,57,57,,,,,,,,,DOCTOR FISHER,ROAD,RD,,,81112,,355,327,327,2014-02-07,-70.66125570575353,41.4102765622231,200400
M_271646_797536,271646.48340000,797536.26300000,PC,1749460,5,SECOND AVENUE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,5,5,,,,,,,,,SECOND,AVENUE,AVE,,,81440,,355,327,327,2014-02-07,-70.64294360714166,41.424741231930334,200400
M_269409_793000,269409.34200000,793000.48020000,BC,1751780,709,OLD COUNTY ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,709,709,,,,,,,,,OLD COUNTY,ROAD,RD,,,81273,,355,327,327,2014-02-07,-70.67023105129198,41.384104660688145,200400
M_272136_792468,272135.64540000,792468.05620000,BC,1751544,100,POND ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,100,100,,,,,,,,,POND,ROAD,RD,,,81304,,355,327,327,2014-02-07,-70.63770539223346,41.37906778342934,200400
M_273898_792056,273898.15260000,792055.71280000,PC,1750576,32,EDGARTOWN ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,32,32,,,,,,,,,EDGARTOWN,ROAD,RD,,,81118,,355,327,327,2014-02-07,-70.61668927630559,41.37519309332801,200400
M_272807_791723,272807.30340000,791723.33320000,BC,1749696,219,CHARLES NECK WAY,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,219,219,,,,,,,,,CHARLES NECK,WAY,WAY,,,81086,,355,327,327,2014-02-07,-70.62976790799553,41.3723016459859,200400
M_267541_797572,267541.36640000,797571.61920000,BMP,1749509,56,MAYHEW NORTON ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,56,56,,,,,,,,,MAYHEW NORTON,ROAD,RD,,,81231,,355,327,327,2014-02-07,-70.69204319624352,41.42542027961652,200400
M_270040_792966,270040.02620000,792965.77580000,BMP,1749517,591,EDGARTOWN ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,591,591,,,,,,,,,EDGARTOWN,ROAD,RD,,,81118,,355,327,327,2014-02-07,-70.66269595570422,41.38373672708658,200400
M_272029_796772,272029.42660000,796772.44120000,BMP,1749250,108,OAK LANE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,108,108,,,,,,,,,OAK,LANE,LN,,,81269,,355,327,327,2014-02-07,-70.63845532533195,41.417829802164384,200400
M_271128_796732,271128.48220000,796732.26940000,BMP,1749604,7,SKIFFS LANE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,7,7,,,,,,,,,SKIFFS,LANE,LN,,,81347,,355,327,327,2014-02-07,-70.64923560328418,41.417549553597915,200400
M_271533_799957,271533.13900000,799956.75160000,BMP,1751257,200,JOHN HOFT ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,200,200,,,,,,,,,JOHN HOFT,ROAD,RD,,,81193,,355,327,327,2014-02-07,-70.64400881009546,41.44654318959876,200400
M_272766_796178,272765.73020000,796178.31360000,BMP,1751316,247,GREAT PLAINS ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,247,247,,,,,,,,,GREAT PLAINS,ROAD,RD,,,81156,,355,327,327,2014-02-07,-70.62972150295093,41.41241357292396,200400
M_271779_797177,271778.56660000,797176.74120000,BMP,1750000,12,LILY FARM ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,12,12,,,,,,,,,LILY FARM,ROAD,RD,,,81205,,355,327,327,2014-02-07,-70.6414069851435,41.42149249267815,200400
M_272284_796416,272283.59620000,796416.23140000,BC,1750053,163,OAK LANE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,163,163,,,,,,,,,OAK,LANE,LN,,,81269,,355,327,327,2014-02-07,-70.63545859142772,41.41459968972578,200400
M_271774_796124,271773.87540000,796123.78520000,BMP,1750118,131,SKIFFS LANE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,131,131,,,,,,,,,SKIFFS,LANE,LN,,,81347,,355,327,327,2014-02-07,-70.64158984786489,41.41201314532046,200400
M_271649_796483,271649.26520000,796482.82640000,BC,1752435,86,SKIFFS LANE,,,,,GARAGE,,,02568,,WEST TISBURY,WEST TISBURY,MA,,86,86,,,,,,,,,SKIFFS,LANE,LN,,,81347,,355,327,327,2014-02-07,-70.64303693498906,41.41525687741266,200400
M_266467_796222,266466.85580000,796221.91100000,BMP,1750754,50,TISBURY LANE EAST,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,50,50,,,,,,,,,TISBURY,LANE,LN,EAST,,81382,,355,327,327,2014-02-07,-70.70504664375072,41.413359663437404,200400
M_269753_794032,269752.83180000,794031.59080000,BMP,1750655,560,OLD COUNTY ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,560,560,,,,,,,,,OLD COUNTY,ROAD,RD,,,81273,,355,327,327,2014-02-07,-70.66600446761636,41.39335760907324,200400
M_272896_797858,272895.74760000,797858.43000000,BMP,1752162,320,TAKEMMY PATH,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,320,320,,,,,,,,,TAKEMMY,PATH,PATH,,,81372,,355,327,327,2014-02-07,-70.62796117298952,41.42752770077514,200400
M_269451_797037,269450.99600000,797037.45020000,BMP,1750646,54,HIDDEN VILLAGE ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,54,54,,,,,,,,,HIDDEN VILLAGE,ROAD,RD,,,81167,,355,327,327,2014-02-07,-70.66926310160468,41.42044597280402,200400
M_272451_796349,272451.43020000,796348.82020000,BC,1749741,186,OAK LANE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,186,186,,,,,,,,,OAK,LANE,LN,,,81269,,355,327,327,2014-02-07,-70.63345955676469,41.4139774531879,200400
M_271766_798711,271765.82020000,798710.53160000,BC,1749798,40,SHADBUSH LANE,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,40,40,,,,,,,,,SHADBUSH,LANE,LN,,,81339,,355,327,327,2014-02-07,-70.64137476378352,41.435302386329525,200400
M_269556_795950,269556.45640000,795950.02920000,PC,1750601,50,OLD STAGE ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,50,50,,,,,,,,,OLD STAGE,ROAD,RD,,,81284,,355,327,327,2014-02-07,-70.66812857051835,41.41064662757234,200400
M_271536_796859,271536.14180000,796859.05340000,BMP,1750948,42,OTIS BASSETT ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,42,42,,,,,,,,,OTIS BASSETT,ROAD,RD,,,81290,,355,327,327,2014-02-07,-70.6443447203739,41.41865427828813,200400
M_272557_790106,272557.34000000,790105.78240000,BMP,1749381,4,THUMB POINT ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,4,4,,,,,,,,,THUMB POINT,ROAD,RD,,,81377,,355,327,327,2014-02-07,-70.6329519238143,41.35776181011908,200400
M_270510_799963,270510.42520000,799963.03020000,BMP,1750919,36,STONE BRIDGE ROAD,,,,,,,,02568,,WEST TISBURY,WEST TISBURY,MA,,36,36,,,,,,,,,STONE BRIDGE,ROAD,RD,,,81362,,355,327,327,2014-02-07,-70.65624542280493,41.44669146108627,200400
