ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_191067_891565,191066.53140000,891564.52480000,BC,1192492,57,EAST MAIN STREET,,,,,200,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,57,57,,,,,,,EAST,,MAIN,STREET,ST,,,53949,,356,328,328,2014-01-16,-71.60829647647675,42.27450230456124,742300
M_191961_893201,191960.52440000,893200.51080000,PC,1186572,182,EAST MAIN STREET,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,182,182,,,,,,,EAST,,MAIN,STREET,ST,,,53949,,356,328,328,2014-01-16,-71.5974816715514,42.28924067210362,761200
M_193119_893914,193118.53920000,893913.93560000,BC,1183377,4,WARBURTON LANE,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,4,4,,,,,,,,,WARBURTON,LANE,LN,,,53802,,356,328,328,2014-01-16,-71.5834487785828,42.2956746266345,761200
M_193064_893928,193064.27520000,893927.58500000,BC,1185572,22,JACOB AMSDEN ROAD,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,22,22,,,,,,,,,JACOB AMSDEN,ROAD,RD,,,54025,,356,328,328,2014-01-16,-71.58410697963575,42.29579703100394,761200
M_191978_892555,191977.77020000,892554.72100000,BC,1189838,135M,EAST MAIN STREET,,PARK VILLAGE APARTMENTS,,,1,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,135,135,M,,,,,,EAST,,MAIN,STREET,ST,,,53949,16784,356,328,328,2016-02-19,-71.59726363080252,42.28342685710991,761200
M_191067_891565,191066.53140000,891564.52480000,BC,1192484,57,EAST MAIN STREET,,,,,114,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,57,57,,,,,,,EAST,,MAIN,STREET,ST,,,53949,,356,328,328,2014-01-16,-71.60829647647675,42.27450230456124,742300
M_191067_891565,191066.53140000,891564.52480000,BC,1192494,57,EAST MAIN STREET,,,,,207,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,57,57,,,,,,,EAST,,MAIN,STREET,ST,,,53949,,356,328,328,2014-01-16,-71.60829647647675,42.27450230456124,742300
M_189730_891918,189729.55640000,891918.18700000,BC,1184950,20,ROBIN ROAD,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,20,20,,,,,,,,,ROBIN,ROAD,RD,,,53741,,356,328,328,2014-01-16,-71.62451026806178,42.27766987529935,761200
M_191978_892555,191977.77020000,892554.72100000,BC,1190813,135,EAST MAIN STREET,,PARK VILLAGE APARTMENTS,,,M8,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,135,135,,,,,,,EAST,,MAIN,STREET,ST,,,53949,16784,356,328,328,2016-02-19,-71.59726363080252,42.28342685710991,761200
M_190716_893161,190716.23340000,893161.12140000,BC,1184126,19,CHAUNCY STREET,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,19,19,,,,,,,,,CHAUNCY,STREET,ST,,,53917,,356,328,328,2014-01-16,-71.61256852220534,42.288872259476825,761200
M_189728_891879,189727.84200000,891878.67880000,BC,1187221,21,ROBIN ROAD,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,21,21,,,,,,,,,ROBIN,ROAD,RD,,,53741,,356,328,328,2014-01-16,-71.62453035270674,42.2773141632241,761200
M_192829_894278,192829.20540000,894278.38260000,PC,1189462,0,SAMUAL HARRINGTON ROAD,,,,,114,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,0,0,,,,,,,,,SAMUAL HARRINGTON,ROAD,RD,,,53750,,356,328,328,2014-01-16,-71.58696191963732,42.29895310400377,761200
M_192829_894278,192829.20540000,894278.38260000,PC,1189463,0,SAMUAL HARRINGTON ROAD,,,,,115,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,0,0,,,,,,,,,SAMUAL HARRINGTON,ROAD,RD,,,53750,,356,328,328,2014-01-16,-71.58696191963732,42.29895310400377,761200
M_190715_889874,190714.91700000,889873.50020000,BMP,1189471,1,DENNY STREET,,,,,L,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,1,1,,,,,,,,,DENNY,STREET,ST,,,53944,,356,328,328,2014-01-16,-71.61253189176449,42.2592739961926,742401
M_191241_893533,191240.85440000,893533.48240000,BC,1182883,10,BAYLOR AVENUE,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,10,10,,,,,,,,,BAYLOR,AVENUE,AVE,,,53842,,356,328,328,2014-01-16,-71.60621296036692,42.292230648709484,761200
M_190547_888794,190546.77820000,888794.24940000,BC,1183259,16,DEERSLAYER LANE,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,16,16,,,,,,,,,DEERSLAYER,LANE,LN,,,53942,,356,328,328,2014-01-16,-71.61455210503466,42.24955551677753,742401
M_190042_887981,190041.97580000,887981.45320000,BC,1186868,47,WAYSIDE ROAD,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,47,47,,,,,,,,,WAYSIDE,ROAD,RD,,,53807,,356,328,328,2014-01-16,-71.62065525152542,42.24223165808193,742401
M_190314_891154,190314.06260000,891153.53380000,BC,1184362,64,MILK STREET,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,64,64,,,,,,,,,MILK,STREET,ST,,,54068,,356,328,328,2014-01-16,-71.61741145266271,42.27079321411447,742300
M_191176_889372,191176.11700000,889372.37940000,BC,1184608,25,WARREN STREET,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,25,25,,,,,,,,,WARREN,STREET,ST,,,53804,,356,328,328,2014-01-16,-71.60693470423526,42.254767763574854,742401
M_190916_893039,190915.69740000,893039.46160000,BC,1187369,19,CHAUNCY CIRCLE,,,,,,,,01581,,WESTBOROUGH,WESTBOROUGH,MA,,19,19,,,,,,,,,CHAUNCY,CIRCLE,CIR,,,53916,,356,328,328,2014-01-16,-71.61014805767581,42.287779311456006,761200
