ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_96118_875541,96117.50780000,875541.05540000,BMP,974716,24,WEST SCHOOL STREET,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,24,24,,,,,,,WEST,,SCHOOL,STREET,ST,,,42023,,357,329,329,2013-12-18,-72.75636982257245,42.12340487114174,812701
M_96553_875641,96552.83060000,875641.24140000,BC,985300,59,WASHINGTON STREET,,,,,3C,,,01085,,WESTFIELD,WESTFIELD,MA,,59,59,,,,,,,,,WASHINGTON,STREET,ST,,,42016,,357,329,329,2015-07-13,-72.75112349406825,42.1243643730873,812702
M_94001_882594,94001.49000000,882593.67380000,BC,977506,734,MONTGOMERY ROAD,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,734,734,,,,,,,,,MONTGOMERY,ROAD,RD,,,41522,,357,329,329,2013-12-18,-72.7832405619112,42.18660992539309,812800
M_98787_882672,98786.62420000,882672.01500000,BC,968380,1343,SOUTHAMPTON ROAD,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,1343,1343,,,,,,,,,SOUTHAMPTON,ROAD,RD,,,41937,,357,329,329,2013-12-18,-72.72533248870592,42.187948649491645,812500
M_96244_881052,96243.63480000,881052.34920000,BC,968537,36,MICHAEL DRIVE,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,36,36,,,,,,,,,MICHAEL,DRIVE,DR,,,41515,,357,329,329,2013-12-18,-72.755825936383,42.17303520009071,812800
M_94636_875510,94636.43560000,875510.47380000,BC,968949,4,LATHROP AVENUE,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,4,4,,,,,,,,,LATHROP,AVENUE,AVE,,,41456,,357,329,329,2013-12-18,-72.77427395165671,42.122931768659335,812901
M_98521_876987,98521.29660000,876986.90740000,BMP,980020,199,SPRINGDALE ROAD,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,199,199,,,,,,,,,SPRINGDALE,ROAD,RD,,,41943,,357,329,329,2013-12-18,-72.72755375602557,42.13673585216343,812500
M_96486_875334,96485.60240000,875333.95100000,BC,976248,15,WASHINGTON STREET,,,WESTFIELD POLICE DEPT,,,,,01085,,WESTFIELD,WESTFIELD,MA,,15,15,,,,,,,,,WASHINGTON,STREET,ST,,,42016,,357,329,329,2013-12-18,-72.75188191454738,42.12158919890795,812702
M_98770_872881,98770.41700000,872881.38340000,BC,972392,4,WILD FLOWER CIRCLE,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,4,4,,,,,,,,,WILD FLOWER,CIRCLE,CIR,,,42042,,357,329,329,2013-12-18,-72.72382812624772,42.09980909009222,812600
M_96861_877007,96861.04280000,877006.89340000,BMP,969206,63,MONTGOMERY STREET,,,,,,,,01085,,WESTFIELD,WESTFIELD,MA,,63,63,,,,,,,,,MONTGOMERY,STREET,ST,,,41523,,357,329,329,2013-12-18,-72.74763798265322,42.13669889794805,812800
