ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_165997_921925,165996.60580000,921924.76660000,BC,4200079,96,MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,96,96,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2015-01-22,-71.91399137901718,42.54713365065395,708100
M_169016_924372,169016.18300000,924371.60580000,BC,1145508,16,WOODLAND DRIVE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,16,16,,,,,,,,,WOODLAND,DRIVE,DR,,,52119,,360,332,332,2014-01-15,-71.87736031971653,42.56928676602593,708100
M_166550_924137,166549.92840000,924136.58820000,BC,1146603,54,OAKMONT AVENUE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,54,54,,,,,,,,,OAKMONT,AVENUE,AVE,,,52292,,360,332,332,2014-01-15,-71.90738339337311,42.5670689570881,708100
M_167273_920271,167272.50200000,920271.20420000,BMP,1143502,95,WORCESTER ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,95,95,,,,,,,,,WORCESTER,ROAD,RD,,,52121,,360,332,332,2014-01-15,-71.89836354738502,42.53230252428205,708100
M_167821_923065,167820.99020000,923064.97080000,BMP,1145575,3,HOWARD ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,3,3,,,,,,,,,HOWARD,ROAD,RD,,,52237,,360,332,332,2014-01-15,-71.8918435897075,42.5574756290143,708100
M_166375_922279,166375.07660000,922278.64060000,BC,1143413,38,BACON STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,38,38,,,,,,,,,BACON,STREET,ST,,,52155,,360,332,332,2014-01-15,-71.90940424698539,42.55033575762571,708100
M_166424_921995,166424.14740000,921995.41260000,BMP,1144247,21,ELLIOTT STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,21,21,,,,,,,,,ELLIOTT,STREET,ST,,,52202,,360,332,332,2014-01-15,-71.90879026172638,42.54778818723068,708100
M_165284_918808,165283.66040000,918807.67440000,BC,1146363,27,HARRINGTON ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,27,27,,,,,,,,,HARRINGTON,ROAD,RD,,,52229,,360,332,332,2014-01-15,-71.92248337660435,42.51904122808763,708100
M_165933_921909,165932.96320000,921908.88440000,BC,1144813,87,MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,87,87,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91476527530723,42.54698789172017,708100
M_164077_921132,164077.00960000,921131.83660000,BC,1145022,14,LAKE DRIVE EAST,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,14,14,,,,,,,,,LAKE,DRIVE,DR,EAST,,52246,,360,332,332,2014-01-15,-71.93731257195559,42.53990925616295,708100
M_167625_925678,167624.70900000,925678.42440000,BC,1143696,223,SOUTH ASHBURNHAM ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,223,223,,,,,,,SOUTH,,ASHBURNHAM,ROAD,RD,,,52362,,360,332,332,2014-01-15,-71.89438081336267,42.580994332408615,708100
M_165997_921925,165996.60580000,921924.76660000,BC,1146714,94,MAIN STREET,,,,,3,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91399137901718,42.54713365065395,708100
M_165933_921909,165932.96320000,921908.88440000,BC,1146688,87,MAIN STREET,,,,,3,,,01473,,WESTMINSTER,WESTMINSTER,MA,,87,87,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91476527530723,42.54698789172017,708100
M_165917_925822,165917.38580000,925822.15020000,BMP,1144934,113,EAST GARDNER ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,113,113,,,,,,,EAST,,GARDNER,ROAD,RD,,,52195,,360,332,332,2014-01-15,-71.91518683637672,42.58221523707371,708100
M_163305_917832,163305.19980000,917832.22720000,BMP,1145558,338,KNOWER ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,338,338,,,,,,,,,KNOWER,ROAD,RD,,,52244,,360,332,332,2014-01-15,-71.94649784980514,42.51016921120174,708100
M_165997_921925,165996.60580000,921924.76660000,BC,1146713,94,MAIN STREET,,,,,2,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91399137901718,42.54713365065395,708100
M_165791_921392,165790.70040000,921392.14820000,BC,1145129,34,CHURCH STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,34,34,,,,,,,,,CHURCH,STREET,ST,,,52180,,360,332,332,2014-01-15,-71.91646657624621,42.54232985913149,708100
M_166032_921889,166032.45680000,921889.88430000,BC,1146789,100,MAIN STREET,,,,,A,,,01473,,WESTMINSTER,WESTMINSTER,MA,,100,100,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2017-05-23,-71.91355284079971,42.54682119701216,708100
M_162092_921228,162091.95120000,921227.96920000,BC,1143739,301,MINOTT ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,301,301,,,,,,,,,MINOTT,ROAD,RD,,,52275,,360,332,332,2014-01-15,-71.96148377646942,42.54068051358521,708100
M_168559_920081,168559.03180000,920080.51300000,BC,1146027,40,EDRO ISLE ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,40,40,,,,,,,,,EDRO ISLE,ROAD,RD,,,52201,,360,332,332,2014-01-15,-71.88269353252922,42.530638891775816,708100
M_165420_919841,165419.78580000,919840.66700000,BMP,1145690,9,SPRUCE ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,9,9,,,,,,,,,SPRUCE,ROAD,RD,,,52141,,360,332,332,2014-01-15,-71.92088884508456,42.52834660232897,708100
M_165997_921925,165996.60580000,921924.76660000,BC,1146712,94,MAIN STREET,,,,,1,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91399137901718,42.54713365065395,708100
M_165997_921925,165996.60580000,921924.76660000,BC,1146715,94,MAIN STREET,,,,,4,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91399137901718,42.54713365065395,708100
M_167944_919544,167944.25780000,919544.45020000,BC,1145767,10,PATRICIA ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,10,10,,,,,,,,,PATRICIA,ROAD,RD,,,52316,,360,332,332,2014-01-15,-71.8901464976096,42.525788013906045,708100
M_169250_919303,169251.12260000,919301.51790000,DBMP,1145830,115,EAST ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,115,115,,,,,,,,,EAST,ROAD,RD,,,52197,,360,332,332,2017-05-23,-71.874228043096,42.52365377392242,708100
M_166032_921889,166032.45680000,921889.88430000,BC,1145369,100,MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,100,100,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2017-05-23,-71.91355284079971,42.54682119701216,708100
M_169739_923518,169739.19700000,923517.71710000,BC,1144918,10A,WEST HILL DRIVE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,10,10,A,,,,,,WEST,,HILL,DRIVE,DR,,,52094,,360,332,332,2017-05-25,-71.86850971642401,42.56162832566744,708100
M_166032_921889,166032.45680000,921889.88430000,BC,1146790,100,MAIN STREET,,,,,B,,,01473,,WESTMINSTER,WESTMINSTER,MA,,100,100,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2017-05-23,-71.91355284079971,42.54682119701216,708100
M_165997_921925,165996.60580000,921924.76660000,BC,4175707,94,MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-11-06,-71.91399137901718,42.54713365065395,708100
M_166494_921908,166494.08320000,921907.89900000,BC,1143663,15,ELLIOTT STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,15,15,,,,,,,,,ELLIOTT,STREET,ST,,,52202,,360,332,332,2014-01-15,-71.9079337017614,42.54700338175723,708100
M_166363_916774,166363.30060000,916773.65740000,BC,1145103,261,WEST PRINCETON ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,261,261,,,,,,,WEST,,PRINCETON,ROAD,RD,,,52101,,360,332,332,2014-01-15,-71.90922605286556,42.50077769537552,708100
M_163951_919523,163951.49200000,919523.17640000,BC,1143987,76,MINOTT ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,76,76,,,,,,,,,MINOTT,ROAD,RD,,,52275,,360,332,332,2014-01-15,-71.93873981782365,42.52542185119487,708100
M_165650_922233,165650.39700000,922233.21520000,BC,1145582,3,WEST MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,3,3,,,,,,,WEST,,MAIN,STREET,ST,,,52096,,360,332,332,2014-01-15,-71.91822481770475,42.549895176813834,708100
M_165997_921925,165996.60580000,921924.76660000,BC,1145307,94-96,MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,96,96,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91399137901718,42.54713365065395,708100
M_165295_917545,165294.54940000,917545.05300000,BMP,1144070,197,DAVIS ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,197,197,,,,,,,,,DAVIS,ROAD,RD,,,52188,,360,332,332,2014-01-15,-71.92227479448,42.50767517737405,708100
M_166951_924044,166951.05840000,924044.10540000,BC,1144909,103,NORTH COMMON ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,103,103,,,,,,,NORTH,,COMMON,ROAD,RD,,,52286,,360,332,332,2014-01-15,-71.90249284948739,42.56625355122641,708100
M_166550_928152,166550.33020000,928152.17080000,BMP,1143714,25,BARREL ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,25,25,,,,,,,,,BARREL,ROAD,RD,,,52125,,360,332,332,2014-01-15,-71.90761220604094,42.60321787952896,708100
M_166426_922931,166426.05840000,922931.33100000,BC,1145057,17,NORTH COMMON ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,17,17,,,,,,,NORTH,,COMMON,ROAD,RD,,,52286,,360,332,332,2014-01-15,-71.90882161058067,42.55621363379587,708100
M_166483_922459,166482.90200000,922459.22940000,BC,1144316,41B,BACON STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,41,41,B,,,,,,,,BACON,STREET,ST,,,52155,,360,332,332,2014-01-15,-71.90810194615906,42.55196611379234,708100
M_165997_921925,165996.60580000,921924.76660000,BC,1146716,94,MAIN STREET,,,,,LEFT,,,01473,,WESTMINSTER,WESTMINSTER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91399137901718,42.54713365065395,708100
M_165933_921909,165932.96320000,921908.88440000,BC,1146687,87,MAIN STREET,,,,,2,,,01473,,WESTMINSTER,WESTMINSTER,MA,,87,87,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91476527530723,42.54698789172017,708100
M_163854_921192,163853.73740000,921192.09380000,BC,1145602,6,LAKE DRIVE WEST,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,6,6,,,,,,,,,LAKE,DRIVE,DR,WEST,,52247,,360,332,332,2014-01-15,-71.94003433744014,42.54044136973714,708100
M_168153_922900,168153.29800000,922900.41540000,BMP,1145659,49,NEWCOMB ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,49,49,,,,,,,,,NEWCOMB,ROAD,RD,,,52281,,360,332,332,2014-01-15,-71.88778802594801,42.556007933661846,708100
M_169307_926478,169306.95140000,926478.06020000,BC,1145859,138,BEAN PORRIDGE HILL ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,138,138,,,,,,,,,BEAN PORRIDGE HILL,ROAD,RD,,,52163,,360,332,332,2014-01-15,-71.87393148727277,42.58826099508995,708100
M_166352_922358,166352.31840000,922358.13180000,BMP,1144757,46,BACON STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,46,46,,,,,,,,,BACON,STREET,ST,,,52155,,360,332,332,2014-01-15,-71.9096859865655,42.55105037318983,708100
M_163317_922594,163317.40460000,922593.84300000,BC,1145459,124,STATE ROAD WEST,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,124,124,,,,,,,,,STATE,ROAD,RD,WEST,,52371,,360,332,332,2014-01-15,-71.94665273965074,42.553035152925446,708100
M_169739_923518,169739.19700000,923517.71710000,BC,1145775,10C,WEST HILL DRIVE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,10,10,C,,,,,,WEST,,HILL,DRIVE,DR,,,52094,,360,332,332,2017-05-25,-71.86850971642401,42.56162832566744,708100
M_169739_923518,169739.19700000,923517.71710000,BC,1145776,10D,WEST HILL DRIVE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,10,10,D,,,,,,WEST,,HILL,DRIVE,DR,,,52094,,360,332,332,2017-05-25,-71.86850971642401,42.56162832566744,708100
M_169739_923518,169739.19700000,923517.71710000,BC,1144473,10B,WEST HILL DRIVE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,10,10,B,,,,,,WEST,,HILL,DRIVE,DR,,,52094,,360,332,332,2017-05-25,-71.86850971642401,42.56162832566744,708100
M_169678_923780,169677.79960000,923779.51290000,BC,1143619,20,CRESTVIEW LANE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,20,20,,,,,,,,,CRESTVIEW,LANE,LN,,,52184,,360,332,332,2017-05-25,-71.86927119385915,42.563982682263564,708100
M_165981_921940,165980.66300000,921940.08680000,BC,1146117,90,MAIN STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,90,90,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91418638530888,42.54727087018872,708100
M_167402_927533,167401.66580000,927533.41060000,BMP,1145308,95,BRAGG HILL ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,95,95,,,,,,,,,BRAGG HILL,ROAD,RD,,,52171,,360,332,332,2014-01-15,-71.8972030093662,42.59768388296405,708100
M_169293_920948,169292.88520000,920947.77100000,BC,1146862,139,NARROWS ROAD,,,,,2,,,01473,,WESTMINSTER,WESTMINSTER,MA,,139,139,,,,,,,,,NARROWS,ROAD,RD,,,52279,,360,332,332,2014-01-15,-71.87380758467505,42.53847550586172,708100
M_163127_918167,163126.99600000,918166.95640000,BC,1144649,331,KNOWER ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,331,331,,,,,,,,,KNOWER,ROAD,RD,,,52244,,360,332,332,2014-01-15,-71.94868759693651,42.513174132783256,708100
M_168927_923151,168927.25440000,923150.62500000,BC,1144240,30,BARTHERICK ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,30,30,,,,,,,,,BARTHERICK,ROAD,RD,,,52160,,360,332,332,2014-01-15,-71.87837742454026,42.55829167300095,708100
M_165981_921940,165980.66300000,921940.08680000,BC,1146705,90,MAIN STREET,,,,,2D,,,01473,,WESTMINSTER,WESTMINSTER,MA,,90,90,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91418638530888,42.54727087018872,708100
M_168392_920024,168391.97670000,920023.93180000,BMP,1145877,16,EDRO ISLE ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,16,16,,,,,,,,,EDRO ISLE,ROAD,RD,,,52201,,360,332,332,2017-05-23,-71.88472376187131,42.53012276500602,708100
M_167031_923079,167031.02040000,923079.11220000,BMP,1146711,91,TOWN FARM ROAD,,,,,RIGHT,,,01473,,WESTMINSTER,WESTMINSTER,MA,,91,91,,,,,,,,,TOWN FARM,ROAD,RD,,,52081,,360,332,332,2014-01-15,-71.90146371686617,42.55756986226141,708100
M_169293_920948,169292.88520000,920947.77100000,BC,1146861,139,NARROWS ROAD,,,,,1A,,,01473,,WESTMINSTER,WESTMINSTER,MA,,139,139,,,,,,,,,NARROWS,ROAD,RD,,,52279,,360,332,332,2014-01-15,-71.87380758467505,42.53847550586172,708100
M_166574_923110,166573.94200000,923109.71740000,BC,1145560,33R,NORTH COMMON ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,33,33,R,,,,,,NORTH,,COMMON,ROAD,RD,,,52286,,360,332,332,2014-01-15,-71.90703126130472,42.557825876052156,708100
M_169211_920275,169211.28260000,920274.98600000,BMP,1146034,41A,MOUNTAIN VIEW ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,41,41,A,,,,,,,,MOUNTAIN VIEW,ROAD,RD,,,52277,,360,332,332,2014-01-15,-71.87476496232006,42.53241566950131,708100
M_165641_923585,165640.97620000,923584.58260000,BC,1146092,80,OVERLOOK ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,80,80,,,,,,,,,OVERLOOK,ROAD,RD,,,52308,,360,332,332,2014-01-15,-71.91842023186844,42.5620600772417,708100
M_169803_928660,169803.04780000,928659.56520000,BMP,1145621,7,FRED SMITH ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,7,7,,,,,,,,,FRED SMITH,ROAD,RD,,,52214,,360,332,332,2014-01-15,-71.86800231558566,42.607918632707765,708100
M_169293_920948,169292.88520000,920947.77100000,BC,1146290,139,NARROWS ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,139,139,,,,,,,,,NARROWS,ROAD,RD,,,52279,,360,332,332,2014-01-15,-71.87380758467505,42.53847550586172,708100
M_165429_924532,165429.14400000,924531.94580000,BC,1146295,142,OVERLOOK ROAD,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,142,142,,,,,,,,,OVERLOOK,ROAD,RD,,,52308,,360,332,332,2014-01-15,-71.92105680861387,42.57057904605741,708100
M_165981_921940,165980.66300000,921940.08680000,BC,1146708,90,MAIN STREET,,,,,C,,,01473,,WESTMINSTER,WESTMINSTER,MA,,90,90,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91418638530888,42.54727087018872,708100
M_165981_921940,165980.66300000,921940.08680000,BC,1146706,90,MAIN STREET,,,,,A,,,01473,,WESTMINSTER,WESTMINSTER,MA,,90,90,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91418638530888,42.54727087018872,708100
M_165981_921940,165980.66300000,921940.08680000,BC,1146709,90,MAIN STREET,,,,,D,,,01473,,WESTMINSTER,WESTMINSTER,MA,,90,90,,,,,,,,,MAIN,STREET,ST,,,52263,,360,332,332,2014-01-15,-71.91418638530888,42.54727087018872,708100
M_161901_920150,161900.99460000,920150.03700000,BC,1145916,26,BOURGEOIS TERRACE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,26,26,,,,,,,,,BOURGEOIS,TERRACE,TER,,,52170,,360,332,332,2014-01-15,-71.96373704840624,42.53096737077014,708100
M_166509_921884,166508.58640000,921884.31620000,BC,1144548,13,ELLIOTT STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,13,13,,,,,,,,,ELLIOTT,STREET,ST,,,52202,,360,332,332,2014-01-15,-71.90775575579319,42.54679170765092,708100
M_168791_919941,168790.52320000,919941.05360000,BMP,1145952,36,SHORE AVENUE,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,36,36,,,,,,,,,SHORE,AVENUE,AVE,,,52359,,360,332,332,2014-01-15,-71.87986834058418,42.52939275045076,708100
M_162273_922217,162272.89120000,922217.18720000,BMP,1144612,25,RIDGE STREET,,,,,,,,01473,,WESTMINSTER,WESTMINSTER,MA,,25,25,,,,,,,,,RIDGE,STREET,ST,,,52347,,360,332,332,2014-01-15,-71.95934594973143,42.54959447577265,708100
