ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_234817_825119,234816.94440000,825119.26400000,ABC,4208651,8,RODRIGUES ESTATE DRIVE,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,8,8,,,,,,,,,RODRIGUES ESTATE,DRIVE,DR,,,138141,,362,334,334,2015-06-08,-71.08188125815306,41.67555755657889,646101
M_235348_822901,235347.83120000,822900.56780000,BMP,4202375,741,STATE ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,741,741,,,,,,,,,STATE,ROAD,RD,,,132510,,362,334,334,2015-01-22,-71.07563847105008,41.65555811855477,646101
M_234136_813736,234135.94000000,813736.00540000,BMP,4200380,938,MAIN ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,938,938,,,,,,,,,MAIN,ROAD,RD,,,138088,,362,334,334,2015-01-22,-71.09071530061978,41.57309908630552,646103
M_234136_813736,234135.94000000,813736.00540000,BMP,4195909,930,MAIN ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,930,930,,,,,,,,,MAIN,ROAD,RD,,,138088,,362,334,334,2015-01-22,-71.09071530061978,41.57309908630552,646103
M_235426_822096,235349.53030000,822091.40490000,ABC,4208640,2,MELISSA BETH WAY,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,2,2,,,,,,,,,MELISSA BETH,WAY,WAY,,,138239,,362,334,334,2015-06-08,-71.07566639955412,41.64827281696731,646101
M_235222_809066,235221.97800000,809066.19140000,BMP,2921771,1780,MAIN ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,1780,1780,,,,,,,,,MAIN,ROAD,RD,,,138088,,362,334,334,2016-05-31,-71.07797110814056,41.53100719167557,646104
M_234203_814698,234202.80900000,814697.82680000,BC,2924905,767,MAIN ROAD,,,,,2,,,02790,,WESTPORT,WESTPORT,MA,,767,767,,,,,,,,,MAIN,ROAD,RD,,,138088,,362,334,334,2016-05-31,-71.08985811278892,41.581755872630005,646103
M_237229_822023,237229.02120000,822023.43340000,BC,2921221,1,ORIOLE LANE,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,1,1,,,,,,,,,ORIOLE,LANE,LN,,,138305,,362,334,334,2014-03-05,-71.05310978298544,41.64757442056145,646101
M_231008_819663,231007.85300000,819663.22280000,BC,2921613,40,ROBERT STREET,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,40,40,,,,,,,,,ROBERT,STREET,ST,,,138136,,362,334,334,2014-03-05,-71.12791007217798,41.62659335844183,646103
M_234001_812483,234000.57480000,812483.18180000,BC,2919169,1143,MAIN ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,1143,1143,,,,,,,,,MAIN,ROAD,RD,,,138088,,362,334,334,2014-03-05,-71.09241006250073,41.561825231065534,646104
M_236750_823309,236749.76160000,823309.29880000,BC,2919196,356,HIGHLAND AVENUE,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,356,356,,,,,,,,,HIGHLAND,AVENUE,AVE,,,132279,,362,334,334,2014-03-05,-71.05878277985406,41.659174044453074,646101
M_235993_808311,235992.76100000,808310.67080000,BC,2916958,86,MASQUESATCH ROAD,,,,,,,,02791,,WESTPORT,WESTPORT,MA,,86,86,,,,,,,,,MASQUESATCH,ROAD,RD,,,138101,,362,334,334,2014-03-05,-71.06878152615198,41.52417022884539,
M_235130_823439,235129.77340000,823438.54000000,BC,2917511,16,PRESIDENT STREET,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,16,16,,,,,,,,,PRESIDENT,STREET,ST,,,138338,,362,334,334,2014-03-05,-71.07822434272538,41.66041144088506,646101
M_230956_817762,230956.01760000,817762.17640000,BC,2918072,9,GRANADA DRIVE,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,9,9,,,,,,,,,GRANADA,DRIVE,DR,,,137955,,362,334,334,2014-03-05,-71.12863140325835,41.60947944053826,646103
M_232742_818427,232741.84160000,818427.12040000,BC,2922757,17,JILLIAN WAY,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,17,17,,,,,,,,,JILLIAN,WAY,WAY,,,138026,,362,334,334,2014-03-05,-71.10717104921848,41.61539419163655,646103
M_231403_819500,231403.46040000,819500.10880000,BC,2917897,7,TUPELO ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,7,7,,,,,,,,,TUPELO,ROAD,RD,,,138226,,362,334,334,2014-03-05,-71.12317154700635,41.625109135066474,646103
M_238523_819521,238522.99800000,819521.32620000,PC,2919315,327,BEEDEN ROAD,,,,,,,,02790,,WESTPORT,WESTPORT,MA,,327,327,,,,,,,,,BEEDEN,ROAD,RD,,,132448,,362,334,334,2014-03-05,-71.03774019775929,41.624984873206756,646103
