ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_227760_885002,227760.43300000,885002.15820000,ABC,4189444,398,WEATHERBEE DRIVE,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,398,398,,,,,,,,,WEATHERBEE,DRIVE,DR,,,137660,,363,335,335,2015-01-14,-71.16378772259213,42.2149798327493,412300
M_227913_883841,227913.08260000,883841.33160000,BC,2912770,91,HEMLOCK DRIVE,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,91,91,,,,,,,,,HEMLOCK,DRIVE,DR,,,137483,,363,335,335,2014-03-05,-71.16199468319535,42.204523498411085,412300
M_228234_884561,228233.84200000,884561.18860000,BC,2912789,99,ENDICOTT STREET,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,99,99,,,,,,,,,ENDICOTT,STREET,ST,,,137448,,363,335,335,2014-03-05,-71.15807563928536,42.21099285061396,412300
M_222561_884132,222560.87880000,884132.39660000,BC,2911412,31,SHERMAN'S WAY,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,31,31,,,,,,,,,SHERMAN'S,WAY,WAY,,,137609,,363,335,335,2014-03-05,-71.22679384594235,42.20731660268363,412100
M_222730_883661,222729.98680000,883660.81960000,BC,2910893,46,WHITNEY AVENUE,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,46,46,,,,,,,,,WHITNEY,AVENUE,AVE,,,137677,,363,335,335,2014-03-05,-71.22476443514684,42.2030660933765,412100
M_228565_884679,228564.77780000,884678.83240000,PC,2912778,95,JUNIPER RIDGE ROAD,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,95,95,,,,,,,,,JUNIPER RIDGE,ROAD,RD,,,137499,,363,335,335,2014-03-05,-71.15406212527903,42.21203998148786,412300
M_221130_884299,221129.92580000,884298.93340000,BC,2912426,127,BURGESS AVENUE,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,127,127,,,,,,,,,BURGESS,AVENUE,AVE,,,137384,,363,335,335,2014-03-05,-71.24411614310478,42.2088558920222,412100
M_221708_882534,221707.69860000,882534.40680000,BMP,2909654,141,BRIAR LANE,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,141,141,,,,,,,,,BRIAR,LANE,LN,,,137378,,363,335,335,2014-03-05,-71.23718518620758,42.192953996447976,412100
M_227863_884087,227862.69760000,884086.77420000,BC,2910891,46,HEMLOCK DRIVE,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,46,46,,,,,,,,,HEMLOCK,DRIVE,DR,,,137483,,363,335,335,2014-03-05,-71.16259304247052,42.206735011627806,412300
M_222742_883756,222742.06660000,883756.36720000,BC,2910442,15,SHERMAN'S WAY,,,,,,,,02090,,WESTWOOD,WESTWOOD,MA,,15,15,,,,,,,,,SHERMAN'S,WAY,WAY,,,137609,,363,335,335,2014-03-05,-71.2246144274544,42.203925959006284,412100
