ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_105343_910192,105342.85040000,910192.22940000,BMP,964972,77,MASTERSON ROAD,,,,,,,,01039,,WHATELY,WHATELY,MA,,77,77,,,,,,,,,MASTERSON,ROAD,RD,,,41067,,365,337,337,2013-12-18,-72.650463435864,42.43650751516426,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965483,317,STATE ROAD,,,,,,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
M_106541_910542,106540.75860000,910541.77480000,BC,965524,348B,HAYDENVILLE ROAD,,,,,,,,01039,,WHATELY,WHATELY,MA,,348,348,B,,,,,,,,HAYDENVILLE,ROAD,RD,,,41047,,365,337,337,2015-09-10,-72.63596236251591,42.439798592408366,040800
M_107369_911769,107369.05800000,911768.87420000,PC,964911,268,STATE ROAD,,,,,,,,01373,,WHATELY,WHATELY,MA,,268,268,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.6260927639678,42.45094358234151,040800
M_106541_910542,106540.75860000,910541.77480000,BC,965070,348,HAYDENVILLE ROAD,,,,,,,,01039,,WHATELY,WHATELY,MA,,348,348,,,,,,,,,HAYDENVILLE,ROAD,RD,,,41047,,365,337,337,2013-12-18,-72.63596236251591,42.439798592408366,040800
M_109304_910895,109303.97660000,910895.10800000,BMP,965004,207,LONG PLAIN ROAD,,,,,,,,01373,,WHATELY,WHATELY,MA,,207,207,,,,,,,,,LONG PLAIN,ROAD,RD,,,41061,,365,337,337,2013-12-18,-72.60243577546625,42.44330563905872,040800
M_106575_911278,106575.16260000,911277.82400000,BMP,965293,12,NORTH STREET,,,,,,,,01373,,WHATELY,WHATELY,MA,,12,12,,,,,,,,,NORTH,STREET,ST,,,41082,,365,337,337,2013-12-18,-72.6356633528682,42.44642848995967,040800
M_104963_908128,104963.02760000,908128.23440000,BC,965439,58,WESTBROOK ROAD,,,,,,,,01039,,WHATELY,WHATELY,MA,,58,58,,,,,,,,,WESTBROOK,ROAD,RD,,,41130,,365,337,337,2013-12-18,-72.65473964935248,42.417881600494184,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965824,317,STATE ROAD,,,,,8,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965820,317,STATE ROAD,,,,,1,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965823,317,STATE ROAD,,,,,4,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965825,317,STATE ROAD,,,,,9,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
M_106541_910542,106540.75860000,910541.77480000,BC,965829,348,HAYDENVILLE ROAD,,,,,A,,,01039,,WHATELY,WHATELY,MA,,348,348,,,,,,,,,HAYDENVILLE,ROAD,RD,,,41047,,365,337,337,2013-12-18,-72.63596236251591,42.439798592408366,040800
M_103409_908673,103408.64200000,908672.51840000,BMP,965477,29,LAUREL MOUNTAIN ROAD,,,,,,,,01039,,WHATELY,WHATELY,MA,,29,29,,,,,,,,,LAUREL MOUNTAIN,ROAD,RD,,,41059,,365,337,337,2013-12-18,-72.67371472730714,42.422590149602186,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965822,317,STATE ROAD,,,,,3,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
M_107608_912465,107608.05340000,912465.07240000,BMP,965821,317,STATE ROAD,,,,,11,,,01373,,WHATELY,WHATELY,MA,,317,317,,,,,,,,,STATE,ROAD,RD,,,41106,,365,337,337,2013-12-18,-72.62329914213919,42.4572389876366,040800
