ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_246662_870167,246662.11370000,870167.23300000,ABC,3205393,27,SOUTH AVENUE,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,27,27,,,,,,,,,SOUTH,AVENUE,AVE,,,151515,,366,338,338,2016-12-12,-70.93605881285441,42.080522632069744,521201
M_247362_870282,247362.32980000,870281.87280000,BC,3206585,275,SOUTH AVENUE,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,275,275,,,,,,,,,SOUTH,AVENUE,AVE,,,151515,,366,338,338,2016-12-12,-70.92758721238377,42.08151274494268,521201
M_245119_870258,245119.03500000,870257.73300000,BC,3208926,473,TEMPLE STREET,,,,,2,,,02382,,WHITMAN,WHITMAN,MA,,473,473,,,,,,,,,TEMPLE,STREET,ST,,,151529,,366,338,338,2014-03-11,-70.95470038682186,42.081427741728284,521101
M_245841_870264,245840.55380000,870263.87640000,BC,3205204,214,WARREN AVENUE,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,214,214,,,,,,,,,WARREN,AVENUE,AVE,,,151544,,366,338,338,2014-03-11,-70.94598001630295,42.081441190165904,521102
M_245795_869718,245795.29100000,869718.36220000,BMP,3209158,575,BEDFORD STREET,,,,,2,,,02382,,WHITMAN,WHITMAN,MA,,575,575,,,,,,,,,BEDFORD,STREET,ST,,,151312,,366,338,338,2014-03-11,-70.94656981523771,42.076532544026044,521102
M_246653_870513,246652.74940000,870512.73940000,BC,3203801,62,PARK AVENUE,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,62,62,,,,,,,,,PARK,AVENUE,AVE,,,151477,,366,338,338,2014-03-11,-70.93614437992059,42.08363379706569,521201
M_246080_869179,246079.87800000,869178.55000000,BC,3205701,90,HARVEY LANE,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,90,90,,,,,,,,,HARVEY,LANE,LN,,,151402,,366,338,338,2014-03-11,-70.94317330176185,42.07165590968026,521102
M_245562_870518,245562.48900000,870518.27740000,BC,3204654,16,EASY STREET,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,16,16,,,,,,,,,EASY,STREET,ST,,,151366,,366,338,338,2014-03-11,-70.949320709623,42.083747785818325,521101
M_247820_871809,247820.22740000,871808.56140000,BMP,3205028,78,GREEN ACRES DRIVE,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,78,78,,,,,,,,,GREEN ACRES,DRIVE,DR,,,151394,,366,338,338,2014-03-11,-70.9219282641936,42.09522975516801,521202
M_243889_870159,243888.85160000,870158.90740000,BMP,3204954,59,SPORTSMENS TRAIL,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,59,59,,,,,,,,,SPORTSMENS,TRAIL,TRL,,,151516,,366,338,338,2014-03-11,-70.96957517549049,42.08060784970088,521101
M_245119_870258,245119.03500000,870257.73300000,BC,3206113,473,TEMPLE STREET,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,473,473,,,,,,,,,TEMPLE,STREET,ST,,,151529,,366,338,338,2014-03-11,-70.95470038682186,42.081427741728284,521101
M_245795_869718,245795.29100000,869718.36220000,BMP,3209159,575,BEDFORD STREET,,,,,3,,,02382,,WHITMAN,WHITMAN,MA,,575,575,,,,,,,,,BEDFORD,STREET,ST,,,151312,,366,338,338,2014-03-11,-70.94656981523771,42.076532544026044,521102
M_246543_869930,246543.20320000,869930.03020000,BC,3208453,26,SCHOOL STREET,,,,,1,,,02382,,WHITMAN,WHITMAN,MA,,26,26,,,,,,,,,SCHOOL,STREET,ST,,,151510,,366,338,338,2014-03-11,-70.93751478431813,42.078394154130734,521102
M_248218_870367,248218.04580000,870367.29410000,BC,3207609,100,FRANKLIN STREET,,CHURCHILL AVENUE CONDOMINIUMS,,,D-5,,,02382,,WHITMAN,WHITMAN,MA,,100,100,,,,,,,,,FRANKLIN,STREET,ST,,,151385,18100,366,338,338,2016-12-13,-70.9172384449035,42.08222962629314,521202
M_245583_870186,245583.39900000,870185.79080000,BC,3204749,314,TEMPLE STREET,,,,,,,,02382,,WHITMAN,WHITMAN,MA,,314,314,,,,,,,,,TEMPLE,STREET,ST,,,151529,,366,338,338,2014-03-11,-70.94909394755324,42.08075317737486,521101
M_248218_870367,248218.04580000,870367.29410000,BC,3207607,100,FRANKLIN STREET,,CHURCHILL AVENUE CONDOMINIUMS,,,D-3,,,02382,,WHITMAN,WHITMAN,MA,,100,100,,,,,,,,,FRANKLIN,STREET,ST,,,151385,18100,366,338,338,2016-12-13,-70.9172384449035,42.08222962629314,521202
M_246427_869386,246427.29280000,869385.90220000,BC,3207897,157,HARVARD STREET,,,,,2,,,02382,,WHITMAN,WHITMAN,MA,,157,157,,,,,,,,,HARVARD,STREET,ST,,,151401,,366,338,338,2014-03-11,-70.93895880039904,42.073502216465364,521102
