ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_122601_876593,122600.63100000,876592.71200000,BC,961286,8,LEEMOND STREET,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,8,8,,,,,,,,,LEEMOND,STREET,ST,,,40687,,367,339,339,2013-12-18,-72.43624884076944,42.135936840642415,813601
M_122158_877764,122158.13460000,877764.29560000,BC,958392,49,MANCHONIS ROAD,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,49,49,,,,,,,,,MANCHONIS,ROAD,RD,,,40697,,367,339,339,2013-12-18,-72.4417574585495,42.14644029620214,813601
M_121087_874811,121086.79420000,874810.52740000,BC,958604,740,STONY HILL ROAD,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,740,740,,,,,,,,,STONY HILL,ROAD,RD,,,40816,,367,339,339,2013-12-18,-72.45431802041175,42.11974146226132,813602
M_122698_874697,122698.14400000,874696.52960000,BC,958105,9,HUNTING LANE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,9,9,,,,,,,,,HUNTING,LANE,LN,,,40661,,367,339,339,2013-12-18,-72.43481801435654,42.118875832003866,813602
M_123804_878702,123803.94620000,878702.33760000,BC,959682,4,COTTAGE AVENUE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,4,4,,,,,,,,,COTTAGE,AVENUE,AVE,,,40954,,367,339,339,2013-12-18,-72.42197010006505,42.15504699756055,813601
M_119879_874770,119878.93600000,874769.58400000,BMP,961057,7,INWOOD DRIVE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,7,7,,,,,,,,,INWOOD,DRIVE,DR,,,40662,,367,339,339,2013-12-18,-72.46891809392852,42.11925026842593,813601
M_126362_874059,126362.04700000,874059.20880000,BMP,957779,726,MONSON ROAD,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,726,726,,,,,,,,,MONSON,ROAD,RD,,,40721,,367,339,339,2013-12-18,-72.39043296385418,42.11349117503923,813602
M_122948_875457,122947.94320000,875456.91820000,BMP,964810,417,MAIN STREET,,WILBRAHAM & MONSON ACADEMY,,,1,,,01095,,WILBRAHAM,WILBRAHAM,MA,,417,417,,,,,,,,,MAIN,STREET,ST,,,40696,16421,367,339,339,2014-11-05,-72.43189787225852,42.12574594931693,813601
M_120665_876452,120664.53600000,876452.14400000,BC,958625,12,KENSINGTON DRIVE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,12,12,,,,,,,,,KENSINGTON,DRIVE,DR,,,40675,,367,339,339,2013-12-18,-72.4596474163495,42.13447764434251,813601
M_125684_875569,125684.36780000,875568.86480000,BMP,962791,691,GLENDALE ROAD,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,691,691,,,,,,,,,GLENDALE,ROAD,RD,,,41002,,367,339,339,2013-12-18,-72.39881923882658,42.12701814941087,813602
M_120377_877103,120376.89840000,877102.98980000,BC,963325,5,LAUREL LANE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,5,5,,,,,,,,,LAUREL,LANE,LN,,,40683,,367,339,339,2013-12-18,-72.46321530535198,42.14030775346262,813601
M_119467_874008,119466.71200000,874007.63700000,BMP,963395,6,EAST COLONIAL ROAD,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,6,6,,,,,,,EAST,,COLONIAL,ROAD,RD,,,40979,,367,339,339,2013-12-18,-72.47379756619209,42.11234849400151,813602
M_120026_871536,120025.70640000,871535.70240000,BMP,958067,41,STONEGATE CIRCLE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,41,41,,,,,,,,,STONEGATE,CIRCLE,CIR,,,40813,,367,339,339,2013-12-18,-72.4667001165755,42.090151830896325,813602
M_119716_872685,119716.32380000,872684.65620000,BC,960884,5,LADD LANE,,,,,,,,01095,,WILBRAHAM,WILBRAHAM,MA,,5,5,,,,,,,,,LADD,LANE,LN,,,40678,,367,339,339,2013-12-18,-72.47059752712886,42.10046381495069,813602
