ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_98952_905420,98952.00920000,905420.39840000,BC,956963,4,VALLEY VIEW ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,4,4,,,,,,,,,VALLEY VIEW,ROAD,RD,,,40630,,368,340,340,2013-12-18,-72.7272929233092,42.392750565287514,822606
M_102558_906120,102557.63740000,906119.97380000,BC,956603,90,ADAMS ROAD,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,90,90,,,,,,,,,ADAMS,ROAD,RD,,,40529,,368,340,340,2013-12-18,-72.68362387140873,42.399506745958426,822606
M_99953_904631,99953.04960000,904631.30820000,BMP,956309,5,NORTH KELLOGG ROAD,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,5,5,,,,,,,NORTH,,KELLOGG,ROAD,RD,,,40599,,368,340,340,2013-12-18,-72.7149997857289,42.385776351007294,822606
M_100992_903281,100992.22300000,903280.92200000,BC,956496,5,BRIDGE STREET,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,5,5,,,,,,,,,BRIDGE,STREET,ST,,,40534,,368,340,340,2013-12-18,-72.70215031967876,42.37375294659799,822606
M_98709_905842,98708.81940000,905841.65600000,BMP,956652,17,NORTH STREET,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,17,17,,,,,,,,,NORTH,STREET,ST,,,40601,,368,340,340,2013-12-18,-72.73032000598901,42.39651109249667,822606
M_101183_903498,101183.18780000,903497.96260000,BC,956122,6,GROVE STREET,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,6,6,,,,,,,,,GROVE,STREET,ST,,,40563,,368,340,340,2013-12-18,-72.69986900396613,42.37573092222498,822606
M_101514_903078,101514.09300000,903077.85980000,BC,956187,186,MAIN STREET,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,186,186,,,,,,,,,MAIN,STREET,ST,,,40583,,368,340,340,2013-12-18,-72.69578005458997,42.37199104681131,822606
M_99999_904178,99999.14720000,904177.94800000,BMP,956210,88,MAIN STREET,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,88,88,,,,,,,,,MAIN,STREET,ST,,,40583,,368,340,340,2013-12-18,-72.71436165841557,42.3817011933632,822606
M_97857_905858,97857.30740000,905857.64680000,BC,957045,14,GOSHEN ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,14,14,,,,,,,,,GOSHEN,ROAD,RD,,,40560,,368,340,340,2013-12-18,-72.74066415682324,42.396544002876034,822606
M_95361_908547,95360.52400000,908547.28640000,PC,955644,125,OLD GOSHEN ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,125,125,,,,,,,,,OLD GOSHEN,ROAD,RD,,,40604,,368,340,340,2013-12-18,-72.77147355800845,42.420424351757234,822606
M_101127_903691,101126.89640000,903691.29420000,BMP,956686,3,MAPLE STREET,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,3,3,,,,,,,,,MAPLE,STREET,ST,,,40584,,368,340,340,2013-12-18,-72.70058546410124,42.377464134946294,822606
M_101201_903076,101200.66700000,903075.70380000,BMP,956715,6,FAIRFIELD AVENUE,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,6,6,,,,,,,,,FAIRFIELD,AVENUE,AVE,,,40555,,368,340,340,2013-12-18,-72.69958468995371,42.37193201925424,822606
M_96621_908412,96621.14740000,908411.86440000,BC,955738,72,OLD GOSHEN ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,72,72,,,,,,,,,OLD GOSHEN,ROAD,RD,,,40604,,368,340,340,2013-12-18,-72.7561337285594,42.41937347548818,822606
M_100207_908083,100206.92500000,908083.14740000,BC,956832,110R,NASH HILL ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,110,110,R,,,,,,,,NASH HILL,ROAD,RD,,,40594,,368,340,340,2013-12-18,-72.71251293306231,42.41688158919956,822606
M_98150_905391,98150.07300000,905390.62780000,BC,956470,22,PETTICOAT HILL ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,22,22,,,,,,,,,PETTICOAT HILL,ROAD,RD,,,40606,,368,340,340,2013-12-18,-72.73702635100858,42.39237828849446,822606
M_99517_904887,99517.38680000,904886.81020000,PC,956526,7,RIVER ROAD,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,7,7,,,,,,,,,RIVER,ROAD,RD,,,40612,,368,340,340,2013-12-18,-72.72033427358289,42.38802034158965,822606
M_99222_904697,99222.35340000,904696.75060000,PC,955896,505,EASTERN AVENUE EXTENSION,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,505,505,,,,,,,,,EASTERN,AVENUE,AVE,,EXTENSION,189748,,368,340,340,2014-11-07,-72.72388376605107,42.386271407553615,822606
M_99820_903928,99820.17960000,903927.80860000,PC,956905,30,WALPOLE ROAD,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,30,30,,,,,,,,,WALPOLE,ROAD,RD,,,40633,,368,340,340,2013-12-18,-72.71649134047077,42.379426523843165,822606
M_97598_903815,97598.29880000,903815.23100000,PC,956383,79,PETTICOAT HILL ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,79,79,,,,,,,,,PETTICOAT HILL,ROAD,RD,,,40606,,368,340,340,2013-12-18,-72.7434481032721,42.3781246879609,822606
M_99184_905335,99183.64180000,905334.67520000,PC,956424,12,VALLEY VIEW ROAD,,,,,,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,12,12,,,,,,,,,VALLEY VIEW,ROAD,RD,,,40630,,368,340,340,2013-12-18,-72.72446503778417,42.39200887270792,822606
M_100722_904319,100721.81600000,904319.31080000,PC,957187,5R,HATFIELD ROAD,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,5,5,R,,,,,,,,HATFIELD,ROAD,RD,,,40564,,368,340,340,2013-12-18,-72.70561135558073,42.38306600663877,822606
M_97857_905858,97857.30740000,905857.64680000,BC,957433,14,GOSHEN ROAD,,,,,1,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,14,14,,,,,,,,,GOSHEN,ROAD,RD,,,40560,,368,340,340,2013-12-18,-72.74066415682324,42.396544002876034,822606
M_98150_905391,98150.07300000,905390.62780000,BC,957493,22,PETTICOAT HILL ROAD,,,,,A,,,01096,,WILLIAMSBURG,WILLIAMSBURG,MA,,22,22,,,,,,,,,PETTICOAT HILL,ROAD,RD,,,40606,,368,340,340,2013-12-18,-72.73702635100858,42.39237828849446,822606
M_103058_906241,103058.19400000,906241.15600000,BMP,956418,113,MOUNTAIN STREET,,,,,,,,01039,,WILLIAMSBURG,WILLIAMSBURG,MA,,113,113,,,,,,,,,MOUNTAIN,STREET,ST,,,40589,,368,340,340,2013-12-18,-72.67756474905858,42.4006599796004,822606
