ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_60701_941105,60701.18780000,941104.90620000,BC,953517,118,WATER STREET,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,118,118,,,,,,,,,WATER,STREET,ST,,,40511,,369,341,341,2013-12-18,-73.20040721068642,42.70803909091825,920102
M_60701_941105,60701.18780000,941104.90620000,BC,955169,118,WATER STREET,,,,,C,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,118,118,,,,,,,,,WATER,STREET,ST,,,40511,,369,341,341,2013-12-18,-73.20040721068642,42.70803909091825,920102
M_60581_944069,60581.39520000,944069.08800000,BC,953549,206,SAND SPRINGS ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,206,206,,,,,,,,,SAND SPRINGS,ROAD,RD,,,40468,,369,341,341,2013-12-18,-73.2025912809318,42.73469546894398,920101
M_60135_944314,60135.41940000,944313.94220000,BC,953850,929,SIMONDS ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,929,929,,,,,,,,,SIMONDS,ROAD,RD,,,40474,,369,341,341,2013-12-18,-73.20809599177166,42.73681890541086,920101
M_55265_937300,55265.31300000,937300.44380000,BC,954671,991,OBLONG ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,991,991,,,,,,,,,OBLONG,ROAD,RD,,,40447,,369,341,341,2013-12-18,-73.26578253121127,42.67280431775604,920102
M_60586_943624,60586.34840000,943624.34760000,BMP,954390,1232,NORTH HOOSAC ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,1232,1232,,,,,,,NORTH,,HOOSAC,ROAD,RD,,,40442,,369,341,341,2013-12-18,-73.20242242112417,42.7306936736279,920101
M_62113_940321,62112.67340000,940321.40260000,BMP,955355,187,MAIN STREET,,,,,FRONT,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,187,187,,,,,,,,,MAIN,STREET,ST,,,40423,,369,341,341,2013-12-18,-73.18299314886438,42.70123942365187,920102
M_60579_941029,60578.92120000,941029.45480000,BMP,953457,88,MEACHAM STREET,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,88,88,,,,,,,,,MEACHAM,STREET,ST,,,40527,,369,341,341,2013-12-18,-73.20188093690038,42.707338069178086,920102
M_58317_937734,58316.92020000,937733.76340000,BC,954121,39,SCOTT HILL ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,39,39,,,,,,,,,SCOTT HILL,ROAD,RD,,,40473,,369,341,341,2013-12-18,-73.22866994468495,42.67726692370043,920102
M_61984_941723,61984.16280000,941722.64080000,BC,954282,420,NORTH HOOSAC ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,420,420,,,,,,,NORTH,,HOOSAC,ROAD,RD,,,40442,,369,341,341,2013-12-18,-73.18489908522444,42.71382795858973,920101
M_62440_940715,62440.91260000,940715.76880000,BC,954666,96,BACHAND AVENUE,,SPRUCES MOBILE HOME PARK,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,96,96,,,,,,,,,BACHAND,AVENUE,AVE,,,40325,17020,369,341,341,2015-03-24,-73.17908258158644,42.704847021382804,920101
M_61517_941143,61517.17140000,941142.66020000,BC,952904,48,COLONIAL AVENUE,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,48,48,,,,,,,,,COLONIAL,AVENUE,AVE,,,40354,,369,341,341,2013-12-18,-73.1904583254662,42.70852487761883,920101
M_58114_938557,58113.96200000,938556.98140000,BC,953143,1262,COLD SPRING ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,1262,1262,,,,,,,,,COLD SPRING,ROAD,RD,,,40351,,369,341,341,2013-12-18,-73.23134939797175,42.68463894995236,920102
M_62113_940321,62112.67340000,940321.40260000,BMP,953209,187,MAIN STREET,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,187,187,,,,,,,,,MAIN,STREET,ST,,,40423,,369,341,341,2013-12-18,-73.18299314886438,42.70123942365187,920102
M_60701_941105,60701.18780000,941104.90620000,BC,955168,118,WATER STREET,,,,,A,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,118,118,,,,,,,,,WATER,STREET,ST,,,40511,,369,341,341,2013-12-18,-73.20040721068642,42.70803909091825,920102
M_60046_941177,60046.16040000,941177.19680000,BC,952744,160,THE KNOLLS,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,160,160,,,,,,,,,THE,KNOLLS,KNLS,,,40501,,369,341,341,2013-12-18,-73.20841860628337,42.70857189686769,920102
M_61889_939414,61888.90580000,939414.03660000,BC,954626,6,ELLIOTT DRIVE,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,6,6,,,,,,,,,ELLIOTT,DRIVE,DR,,,40522,,369,341,341,2013-12-18,-73.18550482998367,42.69303318190155,920102
M_60670_941871,60670.39480000,941871.93440000,BC,954687,64,MISSION PARK DRIVE,,WILLIAMS COLLEGE,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,64,64,,,,,,,,,MISSION PARK,DRIVE,DR,,,40432,17022,369,341,341,2015-03-25,-73.20096969085907,42.7149369073359,920101
M_60306_943865,60306.33260000,943865.42020000,BMP,952093,757,SIMONDS ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,757,757,,,,,,,,,SIMONDS,ROAD,RD,,,40474,,369,341,341,2013-12-18,-73.20589973592722,42.732812980767015,920101
M_61276_941564,61276.49980000,941563.91580000,BC,952126,54,GRANDVIEW DRIVE,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,54,54,,,,,,,,,GRANDVIEW,DRIVE,DR,,,40523,,369,341,341,2013-12-18,-73.19349751257934,42.71227326293304,920101
M_61065_943332,61064.92520000,943331.63040000,BC,952662,1049,NORTH HOOSAC ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,1049,1049,,,,,,,NORTH,,HOOSAC,ROAD,RD,,,40442,,369,341,341,2013-12-18,-73.1965088330049,42.72814502966748,920101
M_61601_941946,61600.70340000,941946.22300000,BC,953629,17,ELM STREET,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,17,17,,,,,,,,,ELM,STREET,ST,,,40361,,369,341,341,2013-12-18,-73.1896332012635,42.715771950604626,920101
M_60788_943447,60788.37300000,943446.90240000,BC,952253,1147,NORTH HOOSAC ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,1147,1147,,,,,,,NORTH,,HOOSAC,ROAD,RD,,,40442,,369,341,341,2013-12-18,-73.19991291266462,42.7291329243677,920101
M_61411_943247,61410.66700000,943247.34240000,BMP,952355,17,MAY STREET,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,17,17,,,,,,,,,MAY,STREET,ST,,,40427,,369,341,341,2013-12-18,-73.19226774008771,42.72744825238901,920101
M_61473_944444,61473.12720000,944444.19980000,BMP,951613,392,WHITE OAKS ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,392,392,,,,,,,,,WHITE OAKS,ROAD,RD,,,40513,,369,341,341,2013-12-18,-73.19179508989023,42.7382312058388,920101
M_61391_940802,61390.58480000,940801.77720000,BC,954384,227,ADAMS ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,227,227,,,,,,,,,ADAMS,ROAD,RD,,,40323,,369,341,341,2013-12-18,-73.19192063223117,42.70543428746201,920102
M_54296_933413,54295.96120000,933412.65540000,BMP,954403,1351,HANCOCK ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,1351,1351,,,,,,,,,HANCOCK,ROAD,RD,,,40380,,369,341,341,2013-12-18,-73.27661754082891,42.63763253604833,920102
M_61675_943446,61674.66160000,943446.47730000,BC,953774,49,PINES LODGE PARK,,PINE LODGE MOBILE HOME PARK,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,49,49,,,,,,,,,PINES LODGE,PARK,PARK,,,40456,17373,369,341,341,2017-04-06,-73.18909317965009,42.72928758486781,920101
M_62110_940175,62110.32740000,940174.55200000,BMP,952843,25,SUNSET DRIVE,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,25,25,,,,,,,,,SUNSET,DRIVE,DR,,,40494,,369,341,341,2013-12-18,-73.182986414314,42.69991732432626,920102
M_61235_941700,61234.87300000,941699.91120000,BMP,954529,40,MOUNT WILLIAMS DRIVE,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,40,40,,,,,,,,,MOUNT WILLIAMS,DRIVE,DR,,,40436,,369,341,341,2013-12-18,-73.19403851553172,42.71348979822308,920101
M_60382_943783,60382.04460000,943783.16140000,BMP,952472,726,SIMONDS ROAD,,,,,,,,01267,,WILLIAMSTOWN,WILLIAMSTOWN,MA,,726,726,,,,,,,,,SIMONDS,ROAD,RD,,,40474,,369,341,341,2013-12-18,-73.20495533223617,42.732086274115844,920101
