ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_226248_921530,226248.18880000,921529.74250000,BC,2650921,23,DEMING WAY,,DEMING WAY,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,23,23,,,,,,,,,DEMING,WAY,WAY,,,126659,16542,370,342,342,2016-12-22,-71.18044526314534,42.54387773751804,331300
M_226248_921530,226248.18880000,921529.74250000,BC,2655482,21,DEMING WAY,,DEMING WAY,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,21,21,,,,,,,,,DEMING,WAY,WAY,,,126659,16542,370,342,342,2016-12-22,-71.18044526314534,42.54387773751804,331300
M_226216_920072,226215.93730000,920072.05050000,ABC,4214720,28,ELEANOR DRIVE,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,28,28,,,,,,,,,ELEANOR,DRIVE,DR,,,126681,,370,342,342,2016-12-22,-71.18090429053,42.530756215372264,331300
M_226248_921530,226248.18880000,921529.74250000,BC,2653144,22,DEMING WAY,,DEMING WAY,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,22,22,,,,,,,,,DEMING,WAY,WAY,,,126659,16542,370,342,342,2016-12-22,-71.18044526314534,42.54387773751804,331300
M_226248_921530,226248.18880000,921529.74250000,BC,2653306,24,DEMING WAY,,DEMING WAY,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,24,24,,,,,,,,,DEMING,WAY,WAY,,,126659,16542,370,342,342,2016-12-22,-71.18044526314534,42.54387773751804,331300
M_229330_924455,229329.72560000,924455.06820000,BC,2657671,46,PARK STREET,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,46,46,,,,,,,,,PARK,STREET,ST,,,126338,,370,342,342,2014-03-03,-71.1427808092331,42.57010223238473,331102
M_226105_919741,226104.75840000,919741.32140000,BMP,2655109,43,MILL ROAD,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,43,43,,,,,,,,,MILL,ROAD,RD,,,126278,,370,342,342,2014-03-03,-71.18227252290191,42.52778261588684,331300
M_224898_922446,224898.07340000,922445.83240000,BC,2655404,5,KENDALL STREET,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,5,5,,,,,,,,,KENDALL,STREET,ST,,,126807,,370,342,342,2014-03-03,-71.19684226458348,42.552169016193346,331300
M_228404_921317,228404.40940000,921316.85220000,BMP,2652206,7,BIRCH STREET,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,7,7,,,,,,,,,BIRCH,STREET,ST,,,126553,,370,342,342,2014-03-03,-71.15420545466635,42.54188552744792,331102
M_226377_920334,226376.54620000,920334.04780000,BC,2653896,137,MARION STREET,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,137,137,,,,,,,,,MARION,STREET,ST,,,126256,,370,342,342,2014-03-03,-71.17893740248061,42.533109376519164,331300
M_227542_924793,227541.98080000,924792.80000000,BC,2653924,42,OAKDALE ROAD,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,42,42,,,,,,,,,OAKDALE,ROAD,RD,,,126920,,370,342,342,2014-03-03,-71.16453810350883,42.57320791667294,331101
M_226050_922205,226050.27320000,922204.86020000,BC,2654023,15,GRAND STREET,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,15,15,,,,,,,,,GRAND,STREET,ST,,,126747,,370,342,342,2014-03-03,-71.18282417247393,42.54996199688715,331300
M_226604_921290,226604.02040000,921289.53580000,BC,2656974,10,PATCHES POND LANE,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,10,10,,,,,,,,,PATCHES POND,LANE,LN,,,126340,,370,342,342,2014-03-03,-71.17612438869243,42.541703241461114,331300
M_225985_924412,225984.94480000,924411.53660000,BC,2654430,3,BEVERLY AVENUE,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,3,3,,,,,,,,,BEVERLY,AVENUE,AVE,,,126550,,370,342,342,2014-03-03,-71.18351988509279,42.56982926338699,331200
M_227285_923508,227284.57960000,923508.31540000,BC,2653472,10,LAWRENCE STREET,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,10,10,,,,,,,,,LAWRENCE,STREET,ST,,,126824,,370,342,342,2014-03-03,-71.16773416768399,42.56165375166604,331101
M_224941_921465,224940.85140000,921465.01960000,BMP,2649685,57,SWAIN ROAD,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,57,57,,,,,,,,,SWAIN,ROAD,RD,,,126474,,370,342,342,2014-03-03,-71.19636391815429,42.543338075906185,331300
M_226037_921325,226036.70540000,921325.01000000,BC,2649944,1,ROBERTS ROAD,,,,,,,,01887,,WILMINGTON,WILMINGTON,MA,,1,1,,,,,,,,,ROBERTS,ROAD,RD,,,126415,,370,342,342,2014-03-03,-71.18302917542916,42.542041776724155,331300
