ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_159216_932747,159216.34400000,932746.96580000,BMP,948308,59,BEMIS ROAD,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,59,59,,,,,,,,,BEMIS,ROAD,RD,,,40010,,371,343,343,2013-12-18,-71.99730756766533,42.64423014949911,701100
M_152792_937922,152792.31440000,937921.71020000,BC,946815,115,BAYBERRY CIRCLE,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,115,115,,,,,,,,,BAYBERRY,CIRCLE,CIR,,,40004,,371,343,343,2013-12-18,-72.07606480497455,42.69044859577556,702200
M_155746_936516,155745.71600000,936516.23520000,BC,946941,32,CROSS STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,32,32,,,,,,,,,CROSS,STREET,ST,,,40052,,371,343,343,2013-12-18,-72.03991754110737,42.67797072299745,701100
M_157728_938512,157727.60520000,938512.13880000,BMP,946356,380-382,ELMWOOD ROAD,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,380,380,,,382,382,,,,,ELMWOOD,ROAD,RD,,,40069,,371,343,343,2013-12-18,-72.01588568775641,42.69604787629289,701100
M_154120_935051,154119.57200000,935050.74940000,BC,947489,279,HALE STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,279,279,,,,,,,,,HALE,STREET,ST,,,40093,,371,343,343,2013-12-18,-72.05963919204821,42.66468430731016,701100
M_157384_937231,157383.52100000,937231.18080000,BMP,947904,101,GLENALLEN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,101,101,,,,,,,,,GLENALLEN,STREET,ST,,,40085,,371,343,343,2013-12-18,-72.01998943404038,42.68449813757173,701100
M_155571_938025,155570.53880000,938025.43080000,BMP,946528,51,WINTER STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,51,51,,,,,,,,,WINTER,STREET,ST,,,40314,,371,343,343,2013-12-18,-72.0421717421018,42.691546201878616,701100
M_152892_937989,152892.03180000,937988.91080000,BC,947678,588,BROWN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,588,588,,,,,,,,,BROWN,STREET,ST,,,40024,,371,343,343,2013-12-18,-72.07485353932495,42.69105957564202,702200
M_151648_935558,151647.60780000,935557.55640000,BC,946207,14,ROYALSTON ROAD SOUTH,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,14,14,,,,,,,,,ROYALSTON,ROAD,RD,SOUTH,,40249,,371,343,343,2013-12-18,-72.08983346962243,42.66909655779754,702200
M_155565_937666,155565.41700000,937666.14920000,BC,947776,93,LINDEN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,93,93,,,,,,,,,LINDEN,STREET,ST,,,40152,,371,343,343,2013-12-18,-72.04220637202526,42.688311732273114,701100
M_155168_935477,155168.26000000,935477.14280000,BMP,949114,353,BENJAMIN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,353,353,,,,,,,,,BENJAMIN,STREET,ST,,,40013,,371,343,343,2013-12-18,-72.04688123161101,42.668583868361075,701100
M_157759_938223,157758.65800000,938222.98840000,BC,946194,180,GLENALLEN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,180,180,,,,,,,,,GLENALLEN,STREET,ST,,,40085,,371,343,343,2013-12-18,-72.01548540780405,42.69344669498405,701100
M_158266_930905,158265.96540000,930905.27560000,PC,948399,7,MADISON AVENUE,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,7,7,,,,,,,,,MADISON,AVENUE,AVE,,,40155,,371,343,343,2013-12-18,-72.00876207028683,42.62760086101284,701100
M_155527_937661,155526.78920000,937661.41060000,BC,951202,90,LINDEN STREET,,,,,3,,,01475,,WINCHENDON,WINCHENDON,MA,,90,90,,,,,,,,,LINDEN,STREET,ST,,,40152,,371,343,343,2013-12-18,-72.04267734140436,42.68826686502315,701100
M_158259_933624,158258.87980000,933624.20400000,BC,948912,611,TEEL ROAD,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,611,611,,,,,,,,,TEEL,ROAD,RD,,,40278,,371,343,343,2013-12-18,-72.00904625454568,42.65207614235806,701100
M_155505_937722,155504.62480000,937721.56460000,BMP,947409,15,NORTH STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,15,15,,,,,,,,,NORTH,STREET,ST,,,40194,,371,343,343,2013-12-18,-72.04295246404124,42.68880708901617,701100
M_152249_935745,152249.39480000,935745.36480000,BC,948676,24,SIBLEY ROAD,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,24,24,,,,,,,,,SIBLEY,ROAD,RD,,,40262,,371,343,343,2013-12-18,-72.08250836141666,42.67082440261319,702200
M_155565_937666,155565.41700000,937666.14920000,BC,951221,93,LINDEN STREET,,,,,1,,,01475,,WINCHENDON,WINCHENDON,MA,,93,93,,,,,,,,,LINDEN,STREET,ST,,,40152,,371,343,343,2013-12-18,-72.04220637202526,42.688311732273114,701100
M_157759_938223,157758.65800000,938222.98840000,BC,949225,178,GLENALLEN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,178,178,,,,,,,,,GLENALLEN,STREET,ST,,,40085,,371,343,343,2013-12-18,-72.01548540780405,42.69344669498405,701100
M_154019_939866,154019.25120000,939866.37720000,BMP,948080,25,ROBBINS ROAD,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,25,25,,,,,,,,,ROBBINS,ROAD,RD,,,40242,,371,343,343,2013-12-18,-72.0612493518329,42.7080276196907,701100
M_157759_938223,157758.65800000,938222.98840000,BC,949816,178-180,GLENALLEN STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,178,178,,,180,180,,,,,GLENALLEN,STREET,ST,,,40085,,371,343,343,2013-12-18,-72.01548540780405,42.69344669498405,701100
M_153320_935678,153319.63760000,935677.59380000,BC,949840,147,ALGER STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,147,147,,,,,,,,,ALGER,STREET,ST,,,39994,,371,343,343,2013-12-18,-72.06944737106281,42.67027939761006,701100
M_156920_937609,156920.03180000,937609.11840000,BC,949466,348,MAPLE STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,348,348,,,,,,,,,MAPLE,STREET,ST,,,40161,,371,343,343,2013-12-18,-72.02567302329606,42.68787468585604,701100
M_152174_935123,152174.48020000,935122.53220000,BC,949841,15,CHASE LANE,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,15,15,,,,,,,,,CHASE,LANE,LN,,,40037,,371,343,343,2013-12-18,-72.08337025005198,42.66521316537824,702200
M_152943_936405,152943.01260000,936404.94520000,PC,950082,531,RIVER STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,531,531,,,,,,,,,RIVER,STREET,ST,,,40237,,371,343,343,2013-12-18,-72.07410134946174,42.67680415290072,702200
M_155338_928470,155338.41620000,928470.36860000,BMP,946368,40,HAPPY HOLLOW ROAD,,,,,,,,01440,,WINCHENDON,WINCHENDON,MA,,40,40,,,,,,,,,HAPPY HOLLOW,ROAD,RD,,,40098,,371,343,343,2013-12-18,-72.04426025507684,42.605519139517945,701100
M_153719_937989,153719.42260000,937989.19160000,BC,947478,265,WEST STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,265,265,,,,,,,,,WEST,STREET,ST,,,40302,,371,343,343,2013-12-18,-72.06475729756013,42.69111185901509,702200
M_156237_938106,156236.91080000,938106.30620000,BMP,947251,61,TUCKER STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,61,61,,,,,,,,,TUCKER,STREET,ST,,,40286,,371,343,343,2013-12-18,-72.03404641243114,42.692312068392646,701100
M_155606_937855,155606.39840000,937855.28020000,BMP,948218,40,EAST STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,40,40,,,,,,,,,EAST,STREET,ST,,,39974,,371,343,343,2013-12-18,-72.04172097313118,42.69001659377934,701100
M_158022_935189,158021.65280000,935189.06520000,BMP,948392,673,SPRING STREET,,,,,,,,01475,,WINCHENDON,WINCHENDON,MA,,673,673,,,,,,,,,SPRING,STREET,ST,,,40265,,371,343,343,2013-12-18,-72.01205380870995,42.66615007851013,701100
