ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_229210_912886,229210.05760000,912886.35510000,BC,3004978,400,CROSS STREET,,WINCHESTER CROSSING,,,302,,,01890,,WINCHESTER,WINCHESTER,MA,,400,400,,,,,,,,,CROSS,STREET,ST,,,142127,17880,372,344,344,2017-01-30,-71.14482498904952,42.46596112058115,338200
M_229210_912886,229210.05760000,912886.35510000,BC,3004981,400,CROSS STREET,,WINCHESTER CROSSING,,,305,,,01890,,WINCHESTER,WINCHESTER,MA,,400,400,,,,,,,,,CROSS,STREET,ST,,,142127,17880,372,344,344,2017-01-30,-71.14482498904952,42.46596112058115,338200
M_229210_912886,229210.05760000,912886.35510000,BC,3004977,400,CROSS STREET,,WINCHESTER CROSSING,,,301,,,01890,,WINCHESTER,WINCHESTER,MA,,400,400,,,,,,,,,CROSS,STREET,ST,,,142127,17880,372,344,344,2017-01-30,-71.14482498904952,42.46596112058115,338200
M_229210_912886,229210.05760000,912886.35510000,BC,3004980,400,CROSS STREET,,WINCHESTER CROSSING,,,304,,,01890,,WINCHESTER,WINCHESTER,MA,,400,400,,,,,,,,,CROSS,STREET,ST,,,142127,17880,372,344,344,2017-01-30,-71.14482498904952,42.46596112058115,338200
M_229210_912886,229210.05760000,912886.35510000,BC,3004979,400,CROSS STREET,,WINCHESTER CROSSING,,,303,,,01890,,WINCHESTER,WINCHESTER,MA,,400,400,,,,,,,,,CROSS,STREET,ST,,,142127,17880,372,344,344,2017-01-30,-71.14482498904952,42.46596112058115,338200
M_228725_912087,228725.00120000,912086.92040000,BMP,2998989,51,WOODSIDE ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,51,51,,,,,,,,,WOODSIDE,ROAD,RD,,,142477,,372,344,344,2014-03-06,-71.15076268801894,42.45878225257919,338300
M_228554_911010,228554.40760000,911010.49800000,BMP,2997592,24,WEDGEMERE AVENUE,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,24,24,,,,,,,,,WEDGEMERE,AVENUE,AVE,,,142445,,372,344,344,2014-03-06,-71.1528899919173,42.44909802200368,338300
M_228242_911498,228242.08140000,911498.35260000,BMP,2999119,79,SALISBURY STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,79,79,,,,,,,,,SALISBURY,STREET,ST,,,142362,,372,344,344,2014-03-06,-71.15666274553075,42.45350131980843,338300
M_227679_911302,227679.13080000,911301.94340000,BC,2999893,6,SOCRATES WAY,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,6,6,,,,,,,,,SOCRATES,WAY,WAY,,,142381,,372,344,344,2014-03-06,-71.16351584910456,42.45175333977924,338400
M_229376_910396,229376.30740000,910396.33820000,BC,3004027,9,LAKEVIEW TERRACE,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,9,9,,,,,,,,,LAKEVIEW,TERRACE,TER,,,142236,,372,344,344,2014-03-06,-71.14293027076035,42.44353849202612,338400
M_230463_909878,230462.54240000,909877.71320000,BC,3004072,63,FRANKLIN ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,63,63,,,,,,,,,FRANKLIN,ROAD,RD,,,142178,,372,344,344,2014-03-06,-71.12975458411977,42.438827863564484,338500
M_227113_910056,227112.95180000,910055.92020000,BC,2998291,12,PLYMOUTH ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,12,12,,,,,,,,,PLYMOUTH,ROAD,RD,,,142326,,372,344,344,2014-03-06,-71.1704571141408,42.440555878099886,338400
M_230238_913201,230238.14800000,913200.57620000,BC,3000283,10,WILLIAMS CIRCLE,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,10,10,,,,,,,,,WILLIAMS,CIRCLE,CIR,,,142457,,372,344,344,2014-03-06,-71.13230777075391,42.46875066768027,338200
M_229622_911165,229621.83540000,911164.55380000,BC,3000087,7,RANGELEY ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,7,7,,,,,,,,,RANGELEY,ROAD,RD,,,142337,,372,344,344,2014-03-06,-71.13990648669956,42.4504450740737,338300
M_230031_913104,230030.79200000,913103.95820000,BC,2996479,14,EAST STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,14,14,,,,,,,,,EAST,STREET,ST,,,142144,,372,344,344,2014-03-06,-71.13483419351117,42.467888886876814,338200
M_228891_911233,228891.18100000,911232.56020000,BMP,2997025,6,COPLEY STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,6,6,,,,,,,,,COPLEY,STREET,ST,,,142121,,372,344,344,2014-03-06,-71.1487850744351,42.45108472933462,338300
M_230682_912537,230681.74820000,912536.61520000,BC,2997805,419-421,WASHINGTON STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,419,419,,,421,421,,,,,WASHINGTON,STREET,ST,,,141885,,372,344,344,2014-03-06,-71.12694902504744,42.46275603837105,338100
M_229313_910571,229313.16020000,910571.16300000,BC,2998265,11-13,LAKEVIEW ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,11,11,,,13,13,,,,,LAKEVIEW,ROAD,RD,,,142497,,372,344,344,2014-03-06,-71.14368894076036,42.44511473384908,338400
M_229360_912226,229359.92260000,912226.26040000,BC,3002874,50,RICHARDSON STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,50,50,,,,,,,,,RICHARDSON,STREET,ST,,,142342,,372,344,344,2014-03-06,-71.14303634075972,42.46001299761324,338200
M_228761_911656,228761.28940000,911655.82100000,BMP,3002664,3,WOODSIDE ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,3,3,,,,,,,,,WOODSIDE,ROAD,RD,,,142477,,372,344,344,2014-03-06,-71.15034298828365,42.454899942157866,338300
M_230747_912980,230747.49280000,912979.82380000,BMP,3001920,534,WASHINGTON STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,534,534,,,,,,,,,WASHINGTON,STREET,ST,,,141885,,372,344,344,2014-03-06,-71.12612604413911,42.46674341923057,338200
M_229594_911822,229594.40260000,911822.06040000,BC,3003671,40B,LAKE STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,40,40,B,,,,,,,,LAKE,STREET,ST,,,142235,,372,344,344,2014-03-06,-71.1402062503664,42.45636532103379,338300
M_229250_912181,229249.72120000,912180.72760000,BC,2997587,20,BELKNAP TERRACE,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,20,20,,,,,,,,,BELKNAP,TERRACE,TER,,,142068,,372,344,344,2014-03-06,-71.1443784833723,42.45960723316031,338200
M_230747_912980,230747.49280000,912979.82380000,BMP,3005135,534,WASHINGTON STREET,,,,,1,,,01890,,WINCHESTER,WINCHESTER,MA,,534,534,,,,,,,,,WASHINGTON,STREET,ST,,,141885,,372,344,344,2014-03-06,-71.12612604413911,42.46674341923057,338200
M_229928_912960,229927.69240000,912959.59720000,BC,3000618,235,CROSS STREET,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,235,235,,,,,,,,,CROSS,STREET,ST,,,142127,,372,344,344,2014-03-06,-71.1360953288968,42.46659324820913,338200
M_230454_910889,230454.12220000,910889.34020000,BMP,2996791,326,HIGHLAND AVENUE,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,326,326,,,,,,,,,HIGHLAND,AVENUE,AVE,,,142495,,372,344,344,2014-03-06,-71.12980355941029,42.44793538529769,338500
M_230947_912717,230947.48920000,912716.75480000,BMP,3004009,29,KENWIN ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,29,29,,,,,,,,,KENWIN,ROAD,RD,,,142231,,372,344,344,2014-03-06,-71.12370833221814,42.464367231581896,338100
M_227310_909728,227309.98240000,909728.43920000,BC,2996729,38,HUTCHINSON ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,38,38,,,,,,,,,HUTCHINSON,ROAD,RD,,,142221,,372,344,344,2014-03-06,-71.1680778297218,42.437600837154775,338400
M_229942_910436,229941.71100000,910435.71280000,BMP,2997139,22,SYMMES ROAD,,,,,,,,01890,,WINCHESTER,WINCHESTER,MA,,22,22,,,,,,,,,SYMMES,ROAD,RD,,,142407,,372,344,344,2014-03-06,-71.13605581681585,42.4438714493469,338500
