ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_78000_915525,77999.50800000,915524.71240000,BMP,929653,37,WORTHINGTON ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,37,37,,,,,,,,,WORTHINGTON,ROAD,RD,,,38914,,373,345,345,2017-05-11,-72.98386243475669,42.480706809872515,931400
M_77323_919702,77322.69240000,919701.73640000,BMP,929313,140,WINDIGO ROAD,,,,,,,,01026,,WINDSOR,WINDSOR,MA,,140,140,,,,,,,,,WINDIGO,ROAD,RD,,,38909,,373,345,345,2013-12-18,-72.99298186451233,42.518198321139245,931400
M_70529_919698,70529.15620000,919698.23720000,BC,929587,301,NORTH STREET,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,301,301,,,,,,,,,NORTH,STREET,ST,,,38871,,373,345,345,2013-12-18,-73.07564004597585,42.517066763391696,931400
M_69029_922998,69029.07760000,922997.63740000,BC,929602,1523,NORTH STREET,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,1523,1523,,,,,,,,,NORTH,STREET,ST,,,38871,,373,345,345,2013-12-18,-73.09464213424876,42.54651319316454,931400
M_77722_916246,77721.55080000,916246.35340000,BC,929637,85,SHAW ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,85,85,,,,,,,,,SHAW,ROAD,RD,,,38888,,373,345,345,2013-12-18,-72.9873955171023,42.487158824897456,931400
M_78784_921648,78784.35000000,921647.90160000,BC,929667,69,ACCESS ROAD 3,,,,,,,,01070,,WINDSOR,WINDSOR,MA,,69,69,,,,,,,,ACCESS ROAD,3,,,,,38833,,373,345,345,2013-12-18,-72.97560677490385,42.53594480920925,931400
M_74598_916168,74598.15520000,916167.66560000,BMP,929888,604,EAST WINDSOR ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,604,604,,,,,,,EAST,,WINDSOR,ROAD,RD,,,38850,,373,345,345,2013-12-18,-73.025363398707,42.48595398596241,931400
M_78795_922214,78795.30780000,922213.51620000,BMP,721561,801,WEST MAIN STREET,,,,,,,,01070,,WINDSOR,WINDSOR,MA,,801,801,,,,,,,WEST,,MAIN,STREET,ST,,,28778,,373,237,345,2016-05-12,-72.97559251197758,42.54103763111441,931400
M_69340_918611,69340.10920000,918611.06520000,BC,929672,954,ROUTE 9,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,954,954,,,,,,,,ROUTE,9,,,,,38897,,373,345,345,2013-12-18,-73.08986064341151,42.5070826245542,931400
M_68653_923073,68653.04200000,923073.11380000,BMP,929772,1581,NORTH STREET,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,1581,1581,,,,,,,,,NORTH,STREET,ST,,,38871,,373,345,345,2013-12-18,-73.09923672852005,42.547129164472686,931400
M_68874_916312,68874.44380000,916312.41080000,BMP,929615,1130,MAIN DALTON ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,1130,1130,,,,,,,,,MAIN DALTON,ROAD,RD,,,38862,,373,345,345,2013-12-18,-73.09500254458709,42.48631437586198,931400
M_69336_922999,69335.69880000,922999.48160000,BMP,929394,1496,NORTH STREET,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,1496,1496,,,,,,,,,NORTH,STREET,ST,,,38871,,373,345,345,2013-12-18,-73.09091014010099,42.54658133418576,931400
M_71895_917710,71895.05920000,917709.56940000,BMP,929439,503,PERU ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,503,503,,,,,,,,,PERU,ROAD,RD,,,38876,,373,345,345,2013-12-18,-73.0585787595551,42.499392799790186,931400
M_76509_917228,76509.37200000,917227.85300000,BMP,929560,756,HIGH STREET HILL ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,756,756,,,,,,,,,HIGH STREET HILL,ROAD,RD,,,38853,,373,345,345,2013-12-18,-73.00234769392448,42.495802170852855,931400
M_72398_918963,72397.67320000,918962.76700000,BMP,929673,2025,ROUTE 9,,,WINDSOR FIRE DEPARTMENT HEADQUARTERS,,,,,01270,,WINDSOR,WINDSOR,MA,,2025,2025,,,,,,,,ROUTE,9,,,,,38897,,373,345,345,2013-12-18,-73.05274262584221,42.51075530664552,931400
M_77650_914631,77650.21340000,914630.98140000,BMP,929686,11,STEARNS ROAD,,,,,,,,01270,,WINDSOR,WINDSOR,MA,,11,11,,,,,,,,,STEARNS,ROAD,RD,,,38898,,373,345,345,2013-12-18,-72.98792035644794,42.47260741501159,931400
M_78962_922058,78962.13740000,922057.91740000,BC,929437,50,ACCESS ROAD 4,,,,,,,,01070,,WINDSOR,WINDSOR,MA,,50,50,,,,,,,,ACCESS ROAD,4,,,,,38834,,373,345,345,2013-12-18,-72.97352914664926,42.53966304393907,931400
