ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_243860_902203,243859.77040000,902202.85260000,BC,4192344,28,FAUN BAR AVENUE,,,,,,,,02152,,WINTHROP,WINTHROP,MA,,28,28,,,,,,,,,FAUN BAR,AVENUE,AVE,,,165541,,374,346,346,2015-01-22,-70.96750898072042,42.36909615694653,180500
M_242272_902757,242271.66260000,902757.12920000,BC,4201627,16,BARTLETT ROAD,,,,,,,,02152,,WINTHROP,WINTHROP,MA,,16,16,,,,,,,,,BARTLETT,ROAD,RD,,,165464,,374,346,346,2015-01-22,-70.98674885298733,42.37417372513631,180301
M_242229_902431,242229.42180000,902431.30260000,BC,3592091,128,BARTLETT ROAD,,,,,1,,,02152,,WINTHROP,WINTHROP,MA,,128,128,,,,,,,,,BARTLETT,ROAD,RD,,,165464,,374,346,346,2014-03-14,-70.987285496879,42.37124272763763,180301
M_242346_902381,242346.37940000,902381.39860000,BMP,3593630,200,WOODSIDE AVENUE,,,,,2,,,02152,,WINTHROP,WINTHROP,MA,,200,200,,,,,,,,,WOODSIDE,AVENUE,AVE,,,165460,,374,346,346,2014-03-14,-70.985869181399,42.370787124096765,180301
M_242636_903039,242636.46480000,903038.78820000,BC,3589193,42,MADISON AVENUE,,,,,,,,02152,,WINTHROP,WINTHROP,MA,,42,42,,,,,,,,,MADISON,AVENUE,AVE,,,165588,,374,346,346,2014-03-14,-70.98229887492758,42.376689537031716,180200
M_242505_903702,242504.63540000,903701.89380000,BC,3593450,29,WILSHIRE STREET,,,,,1,,,02152,,WINTHROP,WINTHROP,MA,,29,29,,,,,,,,,WILSHIRE,STREET,ST,,,165455,,374,346,346,2014-03-14,-70.98385081509026,42.382666388858496,180200
M_242542_903575,242541.94840000,903574.55680000,BMP,3593461,291,MAIN STREET,,,,,2,,,02152,,WINTHROP,WINTHROP,MA,,291,291,,,,,,,,,MAIN,STREET,ST,,,165589,,374,346,346,2014-03-14,-70.98340708589384,42.381517994694164,180200
M_243455_900961,243454.58980000,900961.35100000,BC,3588975,70,PEBBLE AVENUE,,,,,,,,02152,,WINTHROP,WINTHROP,MA,,70,70,,,,,,,,,PEBBLE,AVENUE,AVE,,,165367,,374,346,346,2014-03-14,-70.97252126609176,42.35794207768842,180500
M_242317_903489,242316.90720000,903489.10940000,BC,3592386,150,HERMON STREET,,,,,2,,,02152,,WINTHROP,WINTHROP,MA,,150,150,,,,,,,,,HERMON,STREET,ST,,,165563,,374,346,346,2014-03-14,-70.98614597761446,42.38076098578803,180200
M_243731_900808,243730.96860000,900807.64020000,BC,3592390,150,TAFTS AVENUE,,,,,2,,,02152,,WINTHROP,WINTHROP,MA,,150,150,,,,,,,,,TAFTS,AVENUE,AVE,,,165421,,374,346,346,2014-03-14,-70.96917810682689,42.35654284275738,180500
M_243672_902360,243672.35420000,902360.45000000,BMP,3592472,16,MOORE STREET,,,,,2,,,02152,,WINTHROP,WINTHROP,MA,,16,16,,,,,,,,,MOORE,STREET,ST,,,165596,,374,346,346,2014-03-14,-70.96977240353179,42.370525452296945,180500
M_243453_902885,243452.93640000,902884.87440000,BMP,3592474,16,NEVADA STREET,,,,,2,,,02152,,WINTHROP,WINTHROP,MA,,16,16,,,,,,,,,NEVADA,STREET,ST,,,165602,,374,346,346,2014-03-14,-70.97239691142329,42.37525887566414,180500
