ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_214375_868193,214374.66120000,868192.91440000,BC,1842294,52,TAUNTON STREET,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,52,52,,,,,,,,,TAUNTON,STREET,ST,,,86083,,378,350,350,2014-02-08,-71.32631941357492,42.064004392177594,441203
M_212771_867568,212770.60260000,867568.21700000,BC,1840132,145,POKANOKET PATH,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,145,145,,,,,,,,,POKANOKET,PATH,PATH,,,86026,,378,350,350,2014-02-08,-71.34571391912331,42.05840785313581,441204
M_205203_863333,205202.92820000,863333.31540000,BC,1840316,345,SPRING STREET,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,345,345,,,,,,,,,SPRING,STREET,ST,,,86066,,378,350,350,2014-02-08,-71.4371792439948,42.02036655755326,441202
M_214723_867997,214722.73700000,867997.29980000,BC,1841629,50,TILTING ROCK ROAD,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,50,50,,,,,,,,,TILTING ROCK,ROAD,RD,,,86087,,378,350,350,2014-02-08,-71.32211875918637,42.06223676872536,441203
M_212464_867133,212464.40460000,867133.49080000,BC,1838846,145,RIVERSIDE DRIVE,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,145,145,,,,,,,,,RIVERSIDE,DRIVE,DR,,,86045,,378,350,350,2014-02-08,-71.34942246737792,42.05449882995558,441204
M_215637_866974,215637.13980000,866973.51380000,BMP,1841768,10,STONEY BROOK LANE,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,10,10,,,,,,,,,STONEY BROOK,LANE,LN,,,86078,,378,350,350,2014-02-08,-71.31109830340954,42.05300167213687,441203
M_213102_870027,213101.82720000,870026.58280000,BC,1841837,20,CATHERINE AVENUE,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,20,20,,,,,,,,,CATHERINE,AVENUE,AVE,,,86140,,378,350,350,2014-02-08,-71.34165715341565,42.08053563613423,441204
M_215694_866854,215693.97440000,866854.05780000,BMP,1839873,385,MADISON STREET,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,385,385,,,,,,,,,MADISON,STREET,ST,,,85980,,378,350,350,2014-02-08,-71.31041493281145,42.051925044676324,441203
M_215727_866193,215727.20700000,866192.50420000,BC,1842160,560,MADISON STREET,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,560,560,,,,,,,,,MADISON,STREET,ST,,,85980,,378,350,350,2014-02-08,-71.31003127912223,42.045968244211736,441203
M_206163_864500,206163.08100000,864500.12760000,BMP,1840459,60,SPRING STREET,,,,,,,,02093,,WRENTHAM,WRENTHAM,MA,,60,60,,,,,,,,,SPRING,STREET,ST,,,86066,,378,350,350,2014-02-08,-71.42557396077554,42.03086476209572,441202
